col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,Indicator
1,0.061073,1,0.052976,0.050454,1,0.055298,0.057066,0.057333,1,0.050246,0.05379,0.060094,0.067257,1,0.052109,0.049952,0.053099,0.058786,0.055085,1,0.052998,0.051454,0.05535,0.061557,0.061644,0.063298,1,-
1,0.14818,1,0.065856,0.065999,1,0.058132,0.057964,0.066687,1,0.052358,0.053077,0.089909,0.08262,1,0.054442,0.05644,0.054935,0.068882,0.056904,1,0.053191,0.049923,0.063138,0.058746,0.077177,0.058956,1,-
1,0.16012,1,0.058834,0.056825,1,0.074324,0.083611,0.061719,1,0.05522,0.054881,0.13912,0.062187,1,0.062708,0.069061,0.052066,0.0908,0.054568,1,0.048041,0.050266,0.080823,0.051937,0.082691,0.06308,1,-
1,0.15425,1,0.063571,0.059961,1,0.072073,0.082683,0.059936,1,0.050299,0.054239,0.077616,0.057815,1,0.058715,0.060098,0.050531,0.07586,0.051541,1,0.051887,0.052603,0.073625,0.05437,0.069875,0.059554,1,-
1,0.15411,1,0.062307,0.058198,1,0.066886,0.070053,0.062555,1,0.055924,0.055272,0.072782,0.06227,1,0.057442,0.059705,0.055095,0.081783,0.051951,1,0.052293,0.050592,0.06501,0.058613,0.069385,0.058136,1,-
1,0.12072,1,0.059564,0.056376,1,0.082415,0.099354,0.060256,1,0.055443,0.056186,0.1058,0.067055,1,0.067136,0.076378,0.051858,0.11953,0.054725,1,0.053498,0.050045,0.077793,0.053782,0.11117,0.058946,1,-
1,0.171,1,0.061913,0.056796,1,0.082064,0.077899,0.065624,1,0.054842,0.054478,0.16275,0.068448,1,0.072597,0.070561,0.052819,0.095571,0.056712,1,0.052853,0.051075,0.097391,0.054873,0.11088,0.059233,1,-
1,0.26642,1,0.062859,0.060701,1,0.088478,0.096454,0.079982,1,0.067345,0.065371,0.22417,0.089135,1,0.072564,0.074334,0.066125,0.15695,0.075145,1,0.051796,0.051692,0.091102,0.058492,0.098044,0.063667,1,-
1,0.15469,1,0.05929,0.058104,1,0.083116,0.088345,0.054962,1,0.055122,0.053834,0.113,0.054921,1,0.066026,0.070869,0.050816,0.10387,0.052892,1,0.052397,0.053771,0.0784,0.052824,0.092982,0.05848,1,-
1,0.19933,1,0.054921,0.056021,1,0.079238,0.084928,0.055643,1,0.053388,0.053222,0.08536,0.062636,1,0.067864,0.070308,0.052446,0.11051,0.054425,1,0.052485,0.053483,0.07288,0.054099,0.087609,0.069412,1,-
