col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,Indicator
1,0.060372,1,0.060928,0.055407,1,0.05315,0.052843,0.051451,1,0.052086,0.053234,0.055195,0.051314,1,0.05445,0.053817,0.066461,0.053821,0.060077,1,0.054077,0.053326,0.058893,0.050329,0.057864,0.078617,1,-
1,0.10099,1,0.085151,0.07965,1,0.13107,0.12989,0.11271,1,0.05536,0.05561,0.070874,0.058883,1,0.052286,0.055992,0.093464,0.067336,0.062164,1,0.053085,0.05068,0.05758,0.053737,0.053835,0.082625,1,-
1,0.1156,1,0.065611,0.058693,1,0.21824,0.12317,0.070024,1,0.055928,0.0533,0.072926,0.056208,1,0.05316,0.049579,0.13215,0.059468,0.07667,1,0.051326,0.050537,0.076915,0.0533,0.061906,0.093004,1,-
1,0.086396,1,0.057701,0.054054,1,0.091842,0.068519,0.055786,1,0.052041,0.051871,0.059685,0.048483,1,0.05711,0.053839,0.085202,0.052793,0.063873,1,0.053701,0.052063,0.068855,0.051482,0.058034,0.11857,1,-
1,0.098026,1,0.064036,0.058088,1,0.10486,0.086695,0.067805,1,0.053902,0.052275,0.084602,0.054939,1,0.051819,0.051346,0.069376,0.054,0.070993,1,0.050395,0.049805,0.070039,0.052473,0.06602,0.071056,1,-
1,0.076009,1,0.058993,0.053675,1,0.08933,0.064933,0.061092,1,0.052441,0.050442,0.070536,0.052765,1,0.0553,0.054677,0.10827,0.058195,0.084297,1,0.052288,0.053376,0.087046,0.054238,0.077843,0.19842,1,-
1,0.10358,1,0.063196,0.059182,1,0.16154,0.10107,0.069254,1,0.054077,0.051739,0.089687,0.055803,1,0.05729,0.057802,0.13294,0.063565,0.092767,1,0.053766,0.052926,0.096359,0.057951,0.081147,0.15628,1,-
1,0.14642,1,0.089059,0.0734,1,0.23889,0.12507,0.10388,1,0.055495,0.056393,0.076812,0.059374,1,0.059745,0.056661,0.11891,0.066116,0.097251,1,0.054595,0.051534,0.091985,0.060372,0.077305,0.18789,1,-
1,0.093787,1,0.060829,0.053825,1,0.14861,0.095088,0.0592,1,0.052859,0.049817,0.084344,0.051735,1,0.054626,0.051743,0.10922,0.056374,0.09075,1,0.051743,0.048753,0.068615,0.051407,0.073773,0.08657,1,-
1,0.12584,1,0.062392,0.055978,1,0.11792,0.10937,0.061572,1,0.052334,0.052249,0.1038,0.051947,1,0.052685,0.05132,0.092516,0.053593,0.086668,1,0.050349,0.04801,0.075338,0.050705,0.08043,0.091044,1,-
1,0.090225,1,0.097618,0.067371,1,0.16387,0.089413,0.098405,1,0.059857,0.052942,0.070976,0.064125,1,0.061431,0.054958,0.097241,0.070984,0.077333,1,0.054659,0.052611,0.076863,0.061158,0.066168,0.17101,1,-
1,0.085691,1,0.09243,0.065769,1,0.10569,0.074399,0.070117,1,0.054029,0.051559,0.055893,0.048476,1,0.062303,0.059897,0.090288,0.062297,0.055808,1,0.059424,0.054903,0.071992,0.057483,0.053469,0.10695,1,-
1,0.11083,1,0.089662,0.063639,1,0.16655,0.10672,0.092269,1,0.057866,0.053823,0.083631,0.057439,1,0.059573,0.059764,0.12217,0.068887,0.080627,1,0.052542,0.057562,0.091465,0.057673,0.065136,0.15098,1,+
1,0.12669,1,0.076956,0.067078,1,0.19366,0.13622,0.077633,1,0.061901,0.054499,0.068608,0.055569,1,0.05459,0.053944,0.14002,0.059777,0.066415,1,0.049543,0.050971,0.072539,0.053262,0.055355,0.12055,1,+
1,0.093004,1,0.12396,0.073645,1,0.1443,0.092545,0.095668,1,0.056554,0.050572,0.062754,0.05631,1,0.067283,0.058666,0.1124,0.067135,0.06318,1,0.05962,0.053544,0.095911,0.05632,0.058542,0.11862,1,+
1,0.055539,1,0.083299,0.051981,1,0.098534,0.053373,0.07342,1,0.055112,0.051653,0.085997,0.056266,1,0.061843,0.051148,0.12401,0.061967,0.096009,1,0.055066,0.051345,0.083952,0.054735,0.079662,0.14647,1,+
1,0.15094,1,0.069836,0.063311,1,0.13391,0.1044,0.08105,1,0.053169,0.053098,0.098169,0.060351,1,0.053512,0.05344,0.10851,0.058733,0.09492,1,0.050512,0.051219,0.074257,0.052146,0.073978,0.14203,1,+
1,0.2066,1,0.15096,0.12549,1,0.31245,0.22737,0.15067,1,0.056941,0.057188,0.073134,0.057528,1,0.060758,0.063008,0.11242,0.065194,0.093777,1,0.053652,0.053963,0.085716,0.056327,0.080344,0.19615,1,+
1,0.21625,1,0.10785,0.09719,1,0.16972,0.16099,0.16975,1,0.074789,0.072649,0.12925,0.08581,1,0.073528,0.072297,0.21562,0.11715,0.10256,1,0.059177,0.058725,0.1078,0.077752,0.077279,0.21494,1,+
1,0.27397,1,0.26846,0.20688,1,0.35945,0.32386,0.23953,1,0.1387,0.11696,0.17838,0.13055,1,0.13479,0.12919,0.18404,0.14553,0.15104,1,0.085988,0.083893,0.10201,0.088056,0.098557,0.13978,1,+
1,0.062985,1,0.060106,0.053466,1,0.086654,0.063727,0.059305,1,0.055661,0.052714,0.10043,0.054503,1,0.057122,0.04923,0.082084,0.056926,0.081787,1,0.052094,0.051911,0.089857,0.054091,0.093949,0.088383,1,+
1,0.213,1,0.10479,0.090789,1,0.21375,0.22382,0.10286,1,0.060921,0.061092,0.097204,0.06253,1,0.06856,0.065412,0.13717,0.073189,0.10431,1,0.059277,0.05846,0.089562,0.060787,0.078937,0.1395,1,+
1,0.17706,1,0.064706,0.057718,1,0.15169,0.14355,0.076256,1,0.058259,0.05481,0.079932,0.061024,1,0.052705,0.050682,0.15125,0.065038,0.075479,1,0.052295,0.051339,0.079671,0.055801,0.06115,0.14289,1,+
1,0.11968,1,0.070196,0.06531,1,0.12721,0.1123,0.076827,1,0.053158,0.050255,0.063235,0.051818,1,0.054628,0.056674,0.10873,0.06438,0.065626,1,0.050979,0.05137,0.07361,0.054713,0.061617,0.13663,1,+
1,0.10058,1,0.10316,0.085414,1,0.16574,0.12308,0.11385,1,0.067359,0.059141,0.079299,0.068449,1,0.064975,0.061947,0.12306,0.074759,0.072148,1,0.053847,0.053773,0.076466,0.057291,0.063274,0.10008,1,+
