col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,Indicator
1,0.057085,1,0.0514,0.052815,1,0.051529,0.051887,0.050303,1,0.055414,0.05443,0.053501,0.058907,1,0.05439,0.055199,0.053643,0.051833,0.049961,1,0.050801,0.057907,0.053789,0.06131,0.062793,0.057281,1,-
1,0.07281,1,0.05374,0.056838,1,0.060064,0.066678,0.054287,1,0.060615,0.068862,0.054141,0.095718,1,0.048685,0.054018,0.064135,0.055074,0.06074,1,0.056737,0.067229,0.053901,0.089405,0.10753,0.056356,1,-
1,0.099134,1,0.050738,0.055106,1,0.084587,0.080823,0.050347,1,0.086712,0.091111,0.049836,0.13692,1,0.048933,0.050843,0.064994,0.053662,0.057773,1,0.079432,0.080556,0.051623,0.17555,0.16081,0.055157,1,-
1,0.13211,1,0.052421,0.05512,1,0.08099,0.10014,0.051407,1,0.089273,0.12595,0.051897,0.12366,1,0.051525,0.053545,0.075962,0.059363,0.058863,1,0.083811,0.10531,0.050916,0.1363,0.13095,0.058605,1,-
1,0.092839,1,0.057861,0.064158,1,0.057288,0.089203,0.054071,1,0.059785,0.1194,0.05897,0.10904,1,0.051626,0.06652,0.060138,0.06882,0.075859,1,0.058724,0.085308,0.05223,0.10516,0.11222,0.061691,1,-
1,0.11648,1,0.052225,0.055426,1,0.086051,0.087368,0.050804,1,0.082344,0.10067,0.051929,0.13653,1,0.053869,0.05019,0.067945,0.05298,0.057768,1,0.067546,0.080971,0.048789,0.11569,0.15211,0.062942,1,-
1,0.084372,1,0.052878,0.05279,1,0.059948,0.073025,0.050713,1,0.06039,0.067124,0.0602,0.10264,1,0.054444,0.053839,0.088636,0.058604,0.064345,1,0.056364,0.075223,0.050496,0.10404,0.10064,0.072501,1,-
1,0.11376,1,0.061292,0.064015,1,0.062716,0.093233,0.048844,1,0.069152,0.12564,0.051098,0.16094,1,0.05491,0.060088,0.059561,0.061772,0.068306,1,0.058039,0.092192,0.050155,0.1353,0.15993,0.070272,1,-
1,0.10277,1,0.053367,0.053075,1,0.053309,0.065758,0.050587,1,0.069348,0.11384,0.046926,0.090785,1,0.05161,0.051714,0.05248,0.053046,0.063918,1,0.057411,0.069585,0.050168,0.096856,0.13853,0.059835,1,-
1,0.076607,1,0.056569,0.060282,1,0.057722,0.066079,0.053699,1,0.054683,0.0623,0.053697,0.081511,1,0.051372,0.050965,0.052714,0.053091,0.053737,1,0.055889,0.065054,0.053045,0.097593,0.079941,0.053801,1,-
1,0.13256,1,0.056004,0.054526,1,0.064999,0.081218,0.052963,1,0.074534,0.10366,0.051889,0.14414,1,0.052344,0.050854,0.063034,0.059015,0.063066,1,0.058401,0.077047,0.051129,0.10903,0.11996,0.063332,1,-
1,0.098305,1,0.050391,0.050861,1,0.055322,0.067275,0.051862,1,0.061335,0.085538,0.048622,0.11037,1,0.048604,0.05222,0.052636,0.054205,0.0629,1,0.05545,0.071351,0.04947,0.10909,0.15254,0.060954,1,-
1,0.10875,1,0.059663,0.066163,1,0.073071,0.11021,0.0546,1,0.070111,0.12315,0.055546,0.19477,1,0.050843,0.0551,0.056085,0.057671,0.064462,1,0.064233,0.1063,0.05489,0.21399,0.2381,0.06027,1,+
1,0.14236,1,0.057251,0.058896,1,0.065408,0.095484,0.053244,1,0.065693,0.10863,0.054055,0.17912,1,0.054108,0.054526,0.092282,0.055151,0.063078,1,0.064108,0.091706,0.057095,0.16972,0.22626,0.068025,1,+
1,0.1158,1,0.076847,0.10124,1,0.052753,0.080532,0.063032,1,0.059729,0.12047,0.071125,0.17618,1,0.052249,0.055951,0.058548,0.13391,0.10499,1,0.05126,0.06543,0.054294,0.19,0.14989,0.13791,1,+
1,0.25457,1,0.13841,0.13788,1,0.070218,0.069808,0.069474,1,0.080966,0.094468,0.079625,0.11034,1,0.066368,0.068771,0.081535,0.077291,0.087875,1,0.066548,0.072023,0.06565,0.10605,0.13217,0.092531,1,+
1,0.091553,1,0.054383,0.060565,1,0.063768,0.06624,0.052924,1,0.06539,0.087087,0.053379,0.11972,1,0.054646,0.055873,0.086548,0.058713,0.060136,1,0.05963,0.069917,0.051504,0.11167,0.15709,0.059716,1,+
1,0.1372,1,0.06492,0.064816,1,0.076481,0.094247,0.056793,1,0.082436,0.11675,0.056372,0.17017,1,0.057572,0.052867,0.075548,0.058022,0.060144,1,0.073531,0.094795,0.054187,0.14091,0.16623,0.058429,1,+
1,0.10135,1,0.058004,0.063466,1,0.060718,0.081937,0.054173,1,0.056527,0.085674,0.056836,0.18563,1,0.050883,0.049922,0.057138,0.075352,0.079429,1,0.052621,0.067657,0.054298,0.13775,0.15766,0.078517,1,+
1,0.090075,1,0.050787,0.053012,1,0.05563,0.06459,0.047518,1,0.060122,0.070896,0.050067,0.10772,1,0.0507,0.049149,0.059477,0.055997,0.063492,1,0.057893,0.058013,0.048187,0.09654,0.14015,0.067059,1,+
1,0.10878,1,0.066273,0.063422,1,0.056196,0.058704,0.054291,1,0.055213,0.06485,0.054049,0.078756,1,0.04765,0.052355,0.054029,0.061146,0.076825,1,0.053729,0.062825,0.051239,0.078151,0.1461,0.087694,1,+
1,0.14153,1,0.06222,0.059765,1,0.057746,0.068453,0.05442,1,0.055718,0.063991,0.050886,0.13356,1,0.049506,0.050828,0.059765,0.066853,0.066574,1,0.053674,0.061397,0.055745,0.14511,0.14015,0.069347,1,+
1,0.13686,1,0.059912,0.055057,1,0.069251,0.074744,0.057671,1,0.07916,0.10611,0.051828,0.11198,1,0.055424,0.054472,0.059508,0.057457,0.055673,1,0.062831,0.075473,0.05378,0.11087,0.11992,0.058521,1,+
1,0.087291,1,0.060475,0.060949,1,0.053309,0.064731,0.055377,1,0.054207,0.077284,0.052149,0.13442,1,0.052355,0.053606,0.068017,0.06653,0.070477,1,0.0539,0.054203,0.053913,0.12073,0.10344,0.078188,1,+
1,0.094014,1,0.053681,0.060852,1,0.059216,0.075424,0.052168,1,0.05505,0.084332,0.051837,0.16975,1,0.05335,0.050973,0.069399,0.062281,0.07075,1,0.055378,0.070717,0.05303,0.14719,0.16637,0.069344,1,+
