col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109,col110,col111,col112,col113,col114,col115,col116,col117,col118,col119,col120,col121,col122,col123,col124,col125,col126,col127,col128,col129,col130,col131,col132,col133,col134,col135,col136,col137,col138,col139,col140,col141,col142,col143,col144,col145,col146,col147,col148,col149,col150,col151,col152,col153,col154,col155,col156,col157,col158,col159,col160,col161,col162,col163,col164,col165,col166,col167,col168,col169,col170,col171,col172,col173,col174,col175,col176,col177,col178,col179,col180,col181,col182,col183,col184,col185,col186,col187,col188,col189,col190,col191,col192,col193,col194,col195,col196,col197,col198,col199,col200,col201,col202,col203,col204,col205,col206,col207,col208,col209,col210,col211,col212,col213,col214,col215,col216,col217,col218,col219,col220,col221,col222,col223,col224,col225,col226,col227,col228,col229,col230,col231,Indicator
1,0.16331,0.081515,0.12112,0.073052,0.16543,0.073891,0.074031,0.058046,0.056432,0.087166,0.091991,0.060329,0.05643,0.051782,0.064125,0.053938,0.053096,0.056422,0.058673,0.053381,1,0.080221,0.10731,0.073018,0.16407,0.069764,0.073196,0.05641,0.058487,0.085829,0.097703,0.060656,0.056742,0.052141,0.066673,0.053582,0.053143,0.057444,0.060678,0.052694,1,0.082312,0.11552,0.088599,0.1404,0.14017,0.05921,0.059122,0.066971,0.066134,0.079163,0.055147,0.053275,0.056503,0.067559,0.06241,0.052836,0.052749,0.056035,1,0.071022,0.13478,0.077701,0.073501,0.090544,0.056523,0.084034,0.075506,0.060219,0.055681,0.052249,0.058573,0.055718,0.054233,0.052984,0.054211,0.05298,1,0.080089,0.094628,0.11193,0.057071,0.076613,0.067379,0.070775,0.07785,0.053766,0.054507,0.056974,0.062926,0.058705,0.052677,0.051888,0.053441,1,0.095967,0.088845,0.062896,0.059853,0.13995,0.14042,0.07337,0.066293,0.054983,0.082504,0.060969,0.058237,0.063453,0.064004,0.054426,1,0.13342,0.060157,0.060076,0.088425,0.085025,0.10758,0.05871,0.060142,0.066435,0.090832,0.076564,0.054913,0.053481,0.06266,1,0.057554,0.062526,0.074046,0.075985,0.092487,0.056469,0.057247,0.06006,0.074115,0.067985,0.053488,0.052819,0.057783,1,0.053527,0.063342,0.057327,0.055426,0.058721,0.051598,0.056201,0.055052,0.052688,0.054217,0.05423,0.052549,1,0.057917,0.061365,0.064937,0.052551,0.057012,0.054634,0.056613,0.055933,0.052345,0.051464,0.054193,1,0.18201,0.085873,0.10477,0.059776,0.15952,0.084563,0.070798,0.086296,0.082176,0.058828,1,0.10787,0.08345,0.066496,0.14325,0.090203,0.082249,0.091925,0.098443,0.062113,1,0.065014,0.092593,0.082967,0.13334,0.13411,0.064113,0.065684,0.083242,1,0.066432,0.14381,0.08157,0.071447,0.11221,0.088078,0.067756,1,0.070008,0.097858,0.12306,0.07373,0.081309,0.13422,1,0.11714,0.09271,0.15402,0.13274,0.075943,1,0.1921,0.092302,0.090759,0.13626,1,0.084019,0.089873,0.14722,1,0.24303,0.096243,1,0.10952,1,-
1,0.49125,0.070017,0.33259,0.070654,0.37372,0.067544,0.072413,0.055957,0.061092,0.10783,0.12869,0.06534,0.054162,0.055201,0.071573,0.053355,0.05574,0.057684,0.062164,0.054802,1,0.067421,0.22967,0.070712,0.38333,0.065759,0.070473,0.054628,0.064253,0.11084,0.15025,0.066372,0.054803,0.055677,0.076002,0.053993,0.055898,0.059775,0.066421,0.054433,1,0.071098,0.35897,0.070146,0.19985,0.35615,0.054084,0.069423,0.061635,0.058363,0.11829,0.053562,0.056782,0.054316,0.074058,0.070273,0.054214,0.054392,0.057478,1,0.069666,0.24523,0.07032,0.072776,0.062909,0.058938,0.10437,0.10369,0.064436,0.054501,0.054118,0.068107,0.053843,0.055127,0.055562,0.057976,0.054692,1,0.070126,0.15412,0.29053,0.053615,0.082208,0.060953,0.060154,0.11838,0.05386,0.056468,0.055231,0.068131,0.069264,0.054889,0.05473,0.056371,1,0.082202,0.080576,0.059949,0.065521,0.16269,0.19027,0.078673,0.05762,0.057417,0.091367,0.05754,0.061375,0.063438,0.069352,0.054344,1,0.33072,0.064804,0.072134,0.091329,0.077183,0.24807,0.058279,0.061977,0.068187,0.12759,0.11466,0.055605,0.054627,0.070324,1,0.056639,0.07904,0.073479,0.069207,0.1915,0.054945,0.058701,0.05968,0.090916,0.088222,0.054108,0.053423,0.062688,1,0.056823,0.079895,0.060959,0.063483,0.090012,0.055664,0.06939,0.067275,0.063398,0.056507,0.054373,0.056616,1,0.068165,0.0751,0.10054,0.057494,0.079324,0.066724,0.068323,0.080471,0.057166,0.059258,0.061303,1,0.26842,0.10427,0.10268,0.071934,0.25074,0.092441,0.096655,0.10778,0.1047,0.067988,1,0.10465,0.076673,0.077506,0.21799,0.080032,0.095676,0.1107,0.13555,0.066884,1,0.068628,0.087915,0.092399,0.17257,0.21788,0.067242,0.066676,0.094201,1,0.086993,0.1658,0.10994,0.099038,0.16807,0.10997,0.094575,1,0.095376,0.10976,0.16477,0.10732,0.1217,0.21466,1,0.12404,0.13109,0.26299,0.22233,0.094463,1,0.39304,0.10292,0.087661,0.20802,1,0.10688,0.10254,0.23511,1,0.41294,0.12226,1,0.11983,1,-
1,0.55719,0.20151,0.31028,0.16945,0.46161,0.18565,0.19414,0.085477,0.089239,0.16786,0.15592,0.10097,0.06804,0.069964,0.077435,0.073405,0.071084,0.079136,0.078994,0.085152,1,0.19915,0.23221,0.17446,0.38317,0.16605,0.18665,0.077896,0.091805,0.14738,0.15232,0.098197,0.066995,0.070283,0.075383,0.072035,0.071225,0.080135,0.080166,0.086897,1,0.1583,0.33083,0.19354,0.31741,0.41474,0.077684,0.10165,0.11986,0.11451,0.13108,0.06699,0.073534,0.071604,0.079008,0.076062,0.079933,0.080342,0.087064,1,0.1465,0.37546,0.19138,0.17304,0.11709,0.086915,0.22424,0.16423,0.11064,0.074835,0.067396,0.084642,0.076937,0.072039,0.075327,0.074809,0.076654,1,0.17461,0.24185,0.35346,0.080568,0.15029,0.11827,0.11903,0.15493,0.066302,0.0727,0.07137,0.077276,0.077052,0.076428,0.076837,0.082466,1,0.24643,0.2249,0.091095,0.091397,0.25946,0.22869,0.12729,0.075951,0.070668,0.092299,0.08364,0.078534,0.083478,0.083033,0.082822,1,0.46138,0.085181,0.09444,0.19797,0.17835,0.1863,0.076602,0.077533,0.090085,0.1087,0.093818,0.079952,0.079473,0.089416,1,0.081457,0.10976,0.15194,0.14981,0.18489,0.071388,0.076093,0.080868,0.093028,0.086447,0.07857,0.078796,0.086234,1,0.076891,0.09984,0.081541,0.075957,0.08907,0.059223,0.070949,0.063009,0.060018,0.06216,0.061848,0.060946,1,0.079732,0.083874,0.11161,0.058081,0.076483,0.060038,0.061532,0.067354,0.062471,0.062988,0.067013,1,0.34744,0.15766,0.11477,0.077607,0.16319,0.12205,0.10126,0.10165,0.099043,0.087504,1,0.1956,0.098191,0.082009,0.16766,0.136,0.11781,0.11726,0.11615,0.093453,1,0.086165,0.10536,0.11078,0.14533,0.15621,0.085814,0.085341,0.10236,1,0.10825,0.2531,0.15309,0.1351,0.14371,0.13411,0.11497,1,0.10837,0.13072,0.25866,0.12964,0.13224,0.22409,1,0.26832,0.18904,0.23089,0.21425,0.13781,1,0.32,0.18953,0.18158,0.21127,1,0.1846,0.18422,0.29947,1,0.86031,0.25773,1,0.26867,1,-
1,0.50402,0.10092,0.28047,0.0932,0.30632,0.085676,0.090704,0.084953,0.058757,0.070635,0.095458,0.056343,0.060878,0.053385,0.058116,0.052092,0.053154,0.061085,0.060999,0.061777,1,0.098703,0.20938,0.097106,0.2533,0.079513,0.091439,0.076851,0.060013,0.066007,0.094929,0.058571,0.062126,0.052605,0.058475,0.052856,0.053482,0.061518,0.06145,0.06228,1,0.094159,0.30086,0.10476,0.19638,0.24425,0.065271,0.063937,0.061755,0.065952,0.069296,0.05434,0.062617,0.054487,0.052298,0.055775,0.064807,0.06479,0.059081,1,0.085278,0.37748,0.10116,0.091198,0.11841,0.057153,0.092938,0.10336,0.058418,0.060311,0.053743,0.056719,0.052203,0.053912,0.060083,0.060025,0.058454,1,0.099552,0.16756,0.29251,0.061744,0.080892,0.058697,0.072408,0.087316,0.053737,0.058116,0.05205,0.051515,0.05516,0.059378,0.059361,0.055874,1,0.13192,0.1165,0.10122,0.059877,0.10159,0.14174,0.06562,0.061788,0.053877,0.056984,0.052361,0.054557,0.059165,0.059113,0.056764,1,0.2989,0.074323,0.061696,0.092707,0.10756,0.094008,0.058352,0.056641,0.05505,0.0625,0.058612,0.055769,0.055747,0.054441,1,0.064726,0.071402,0.069692,0.099083,0.12174,0.053681,0.058164,0.052,0.055901,0.060086,0.056095,0.05613,0.053876,1,0.053748,0.11683,0.079241,0.055715,0.082489,0.052242,0.063124,0.056912,0.054196,0.055399,0.055339,0.052741,1,0.053827,0.065563,0.098365,0.052127,0.075947,0.051963,0.055339,0.073862,0.052813,0.052762,0.053115,1,0.1331,0.066247,0.14155,0.05466,0.1125,0.087921,0.061736,0.065185,0.065026,0.061114,1,0.11483,0.069482,0.061773,0.072495,0.07556,0.080804,0.068225,0.0682,0.059195,1,0.056358,0.095633,0.058819,0.071492,0.12799,0.059615,0.059696,0.064157,1,0.058001,0.28137,0.11813,0.065158,0.097172,0.096608,0.087207,1,0.065919,0.073619,0.25086,0.10386,0.10468,0.13597,1,0.18646,0.078219,0.16504,0.16359,0.12981,1,0.11882,0.13207,0.13173,0.18597,1,0.11554,0.11634,0.15979,1,0.96835,0.27911,1,0.28035,1,-
1,0.46959,0.11819,0.2117,0.093815,0.32346,0.10392,0.11159,0.074055,0.0656,0.16369,0.15374,0.081638,0.062669,0.053932,0.084779,0.058107,0.058468,0.059534,0.061637,0.052119,1,0.11584,0.16849,0.095853,0.30964,0.096776,0.10882,0.068894,0.068546,0.15372,0.16362,0.081555,0.061442,0.053835,0.085029,0.056969,0.057834,0.060055,0.06252,0.052117,1,0.092997,0.18576,0.10871,0.24904,0.32429,0.067696,0.07484,0.086754,0.080034,0.13247,0.056545,0.057126,0.061519,0.07678,0.072292,0.053261,0.052901,0.056953,1,0.080003,0.1768,0.094234,0.092735,0.088051,0.061293,0.12589,0.10602,0.073691,0.060735,0.053418,0.073421,0.0577,0.057091,0.055203,0.055145,0.051648,1,0.094122,0.1399,0.18362,0.062487,0.084405,0.078094,0.077681,0.11201,0.054301,0.055864,0.059452,0.064848,0.06436,0.051867,0.052747,0.055262,1,0.1238,0.12075,0.075559,0.068397,0.21046,0.18606,0.093825,0.066773,0.055689,0.096274,0.0632,0.063196,0.060526,0.061725,0.053436,1,0.35845,0.074243,0.077092,0.13151,0.11082,0.21006,0.064535,0.062484,0.077973,0.11214,0.098982,0.055166,0.053618,0.06539,1,0.069565,0.081099,0.10141,0.09431,0.1798,0.059776,0.060894,0.066726,0.087749,0.083829,0.054718,0.054376,0.061363,1,0.059155,0.082993,0.06561,0.064123,0.064753,0.051885,0.062606,0.057422,0.054424,0.052145,0.052466,0.050871,1,0.068018,0.074186,0.099657,0.05505,0.072126,0.060032,0.060615,0.066496,0.052084,0.05159,0.052947,1,0.26872,0.10197,0.10003,0.060105,0.18417,0.081828,0.074377,0.074374,0.071068,0.057269,1,0.12721,0.088803,0.068067,0.20403,0.096417,0.095134,0.091101,0.09404,0.063259,1,0.065401,0.089806,0.083713,0.13057,0.15801,0.059899,0.060023,0.077668,1,0.067906,0.18859,0.092408,0.07964,0.1435,0.094747,0.074807,1,0.071332,0.099065,0.16083,0.078486,0.097563,0.16285,1,0.13619,0.10287,0.16729,0.12516,0.078027,1,0.29087,0.10254,0.09211,0.1541,1,0.090177,0.10064,0.19474,1,0.31395,0.11346,1,0.14972,1,-
1,0.61389,0.22723,0.21009,0.1639,0.51376,0.21862,0.22099,0.075317,0.10158,0.21396,0.22945,0.14952,0.061727,0.069257,0.09956,0.071469,0.070182,0.059674,0.060589,0.072437,1,0.23914,0.16926,0.1779,0.44704,0.20235,0.22414,0.07016,0.10611,0.20342,0.23491,0.14599,0.06154,0.070038,0.09957,0.070015,0.069711,0.060239,0.060631,0.072682,1,0.14131,0.29962,0.22476,0.36921,0.49007,0.08035,0.10205,0.15312,0.1499,0.18451,0.059162,0.072379,0.085346,0.080206,0.073365,0.05721,0.059118,0.075037,1,0.12792,0.20915,0.14955,0.14324,0.11723,0.09434,0.14444,0.1281,0.11184,0.058607,0.070804,0.07673,0.066363,0.064176,0.055696,0.059812,0.07655,1,0.17323,0.21809,0.30602,0.077386,0.14849,0.13706,0.1385,0.16937,0.057783,0.074433,0.083545,0.073706,0.070577,0.058115,0.06016,0.079396,1,0.27694,0.25594,0.07927,0.10742,0.29791,0.29994,0.18273,0.059771,0.069178,0.11732,0.080423,0.077526,0.060564,0.061481,0.072251,1,0.52495,0.087635,0.10282,0.23614,0.22385,0.29574,0.058245,0.069469,0.111,0.10698,0.092933,0.059155,0.060258,0.072062,1,0.081574,0.11231,0.1918,0.193,0.25848,0.058391,0.069936,0.098893,0.092419,0.083322,0.057924,0.059062,0.073035,1,0.073611,0.081136,0.070709,0.076443,0.054546,0.065215,0.062578,0.062066,0.060159,0.057638,0.063948,0.067902,1,0.10545,0.10907,0.12082,0.055969,0.067074,0.076942,0.069324,0.071895,0.05853,0.061701,0.073599,1,0.42877,0.21999,0.060357,0.065048,0.23874,0.11275,0.098686,0.072382,0.068181,0.066002,1,0.26977,0.058253,0.065136,0.20087,0.11634,0.113,0.07166,0.071188,0.064792,1,0.056332,0.065659,0.13731,0.14836,0.15281,0.06408,0.065216,0.065866,1,0.067237,0.078119,0.065998,0.063599,0.11463,0.071465,0.06874,1,0.060488,0.07321,0.10214,0.08437,0.13949,0.38293,1,0.1682,0.12959,0.12512,0.092194,0.06018,1,0.29611,0.10573,0.1011,0.074368,1,0.09631,0.11687,0.094585,1,0.23625,0.093959,1,0.16876,1,-
1,0.3888,0.088058,0.18065,0.074102,0.30516,0.070627,0.080548,0.069742,0.053647,0.081658,0.09003,0.056984,0.058991,0.061851,0.063703,0.061065,0.060294,0.061702,0.062009,0.065718,1,0.083862,0.13991,0.076254,0.25069,0.064866,0.077314,0.064108,0.055107,0.079696,0.094203,0.056377,0.060545,0.062008,0.065138,0.061528,0.060794,0.062437,0.063534,0.067017,1,0.072955,0.18249,0.082347,0.16162,0.26388,0.055944,0.074818,0.056176,0.056775,0.081153,0.058913,0.058682,0.055893,0.062091,0.060327,0.05995,0.059974,0.056313,1,0.068274,0.17836,0.069274,0.070928,0.11095,0.054264,0.079223,0.072989,0.054558,0.056097,0.055286,0.058049,0.054596,0.054593,0.0559,0.056151,0.058138,1,0.073241,0.10661,0.21795,0.054727,0.13639,0.05418,0.055878,0.087493,0.054367,0.059638,0.05418,0.056332,0.058702,0.057088,0.055958,0.055488,1,0.09428,0.09518,0.078281,0.056485,0.11659,0.1285,0.062338,0.059535,0.054734,0.068804,0.056016,0.054444,0.062185,0.062721,0.056342,1,0.28869,0.059197,0.07245,0.071188,0.070311,0.127,0.053078,0.064567,0.054605,0.079698,0.07406,0.052688,0.051643,0.063261,1,0.057274,0.09408,0.061949,0.06577,0.1306,0.053014,0.063991,0.052676,0.067864,0.069364,0.053456,0.052654,0.059239,1,0.059039,0.088268,0.067225,0.060311,0.067465,0.06164,0.06623,0.059312,0.060711,0.059666,0.058462,0.05879,1,0.058382,0.05867,0.10561,0.055132,0.086683,0.056059,0.062615,0.071718,0.054977,0.055201,0.061294,1,0.24552,0.090124,0.15353,0.076148,0.19865,0.091928,0.087886,0.13292,0.12477,0.074018,1,0.091124,0.10271,0.068335,0.14841,0.073849,0.075422,0.12301,0.12902,0.064235,1,0.073937,0.15449,0.080279,0.14564,0.17736,0.069003,0.067296,0.12165,1,0.097303,0.24861,0.10977,0.10788,0.21682,0.16872,0.1063,1,0.09487,0.16416,0.25443,0.088677,0.087467,0.25614,1,0.11464,0.1103,0.25921,0.21784,0.10099,1,0.24668,0.093782,0.08427,0.22192,1,0.096098,0.091747,0.27316,1,0.33296,0.098419,1,0.093834,1,-
1,0.39055,0.10529,0.28384,0.095153,0.42911,0.088968,0.10505,0.061779,0.070267,0.11661,0.12476,0.075796,0.055307,0.056469,0.070326,0.056958,0.054373,0.05438,0.055486,0.059035,1,0.10164,0.23035,0.10003,0.44991,0.081742,0.10212,0.057169,0.074555,0.10753,0.13266,0.075315,0.056857,0.056583,0.069865,0.057199,0.0542,0.055868,0.057399,0.060603,1,0.1052,0.25553,0.10944,0.26715,0.49551,0.065533,0.071069,0.083353,0.074494,0.12399,0.054258,0.060038,0.058678,0.072991,0.059616,0.051965,0.052964,0.056928,1,0.093603,0.3156,0.097746,0.10542,0.079427,0.068477,0.14519,0.11408,0.077125,0.05305,0.057558,0.069407,0.057186,0.053947,0.052745,0.052818,0.059406,1,0.10139,0.16043,0.27397,0.062432,0.10708,0.078679,0.075764,0.12403,0.052317,0.059246,0.057529,0.063478,0.056255,0.051816,0.052007,0.057272,1,0.10085,0.11464,0.063542,0.075467,0.15032,0.15847,0.085311,0.054427,0.056168,0.07636,0.057699,0.055068,0.055924,0.057442,0.059313,1,0.31535,0.076956,0.068079,0.12107,0.094156,0.17594,0.054274,0.056463,0.067542,0.097224,0.070992,0.051413,0.051252,0.057629,1,0.067116,0.076869,0.091323,0.084066,0.15753,0.053299,0.057254,0.06115,0.076992,0.063708,0.051303,0.051548,0.056159,1,0.057119,0.092665,0.061432,0.065497,0.069714,0.052612,0.064961,0.059998,0.053856,0.053754,0.054119,0.054317,1,0.068316,0.073506,0.092951,0.051568,0.054703,0.058697,0.055012,0.058055,0.050914,0.049698,0.0564,1,0.18065,0.09918,0.062945,0.052538,0.13355,0.071892,0.06265,0.063111,0.058838,0.053261,1,0.11973,0.055987,0.05322,0.13834,0.076925,0.07542,0.073231,0.075872,0.053453,1,0.054399,0.059676,0.077836,0.10605,0.12255,0.053561,0.051586,0.058476,1,0.061038,0.10056,0.073016,0.06596,0.091674,0.066018,0.063835,1,0.055737,0.066372,0.1234,0.069906,0.081487,0.17304,1,0.11631,0.090229,0.13511,0.099821,0.057014,1,0.19589,0.097789,0.079133,0.098795,1,0.089816,0.090562,0.12129,1,0.29445,0.08927,1,0.10179,1,-
1,0.35112,0.11621,0.14939,0.089114,0.23454,0.088346,0.10146,0.060812,0.065293,0.11509,0.10204,0.066916,0.057864,0.053837,0.071708,0.054443,0.054076,0.057919,0.05792,0.056605,1,0.12513,0.10781,0.097678,0.18614,0.078541,0.10506,0.057283,0.070154,0.10945,0.11322,0.068913,0.057741,0.053274,0.074682,0.054106,0.054898,0.060101,0.060461,0.056371,1,0.081469,0.22735,0.092684,0.13841,0.31771,0.05572,0.080534,0.070814,0.069817,0.097641,0.057321,0.055475,0.060206,0.06329,0.065279,0.058443,0.056735,0.059649,1,0.072403,0.1298,0.080208,0.080527,0.086479,0.057894,0.088032,0.071523,0.060943,0.057627,0.055764,0.061378,0.054764,0.053793,0.057544,0.056385,0.058633,1,0.082887,0.1171,0.22598,0.054208,0.10536,0.06881,0.072842,0.10465,0.055881,0.057454,0.059442,0.062821,0.065622,0.057276,0.056987,0.061146,1,0.13108,0.10547,0.064178,0.068669,0.19442,0.14198,0.078453,0.063234,0.054466,0.084772,0.059197,0.057966,0.062376,0.06097,0.057482,1,0.20333,0.06057,0.081603,0.11189,0.092811,0.12773,0.059534,0.059387,0.068673,0.074711,0.075644,0.059896,0.058583,0.062066,1,0.056477,0.092409,0.083795,0.082676,0.12825,0.057916,0.058341,0.0656,0.069915,0.073481,0.058597,0.057697,0.060733,1,0.053754,0.069296,0.056457,0.055283,0.05785,0.051439,0.057834,0.052761,0.052417,0.053448,0.052027,0.051966,1,0.072507,0.085665,0.12523,0.054908,0.077879,0.066479,0.069982,0.088524,0.055773,0.058273,0.061561,1,0.2349,0.09203,0.084386,0.057303,0.15023,0.069103,0.065768,0.079675,0.074947,0.057804,1,0.12058,0.07703,0.065647,0.17514,0.083697,0.087077,0.092846,0.096918,0.06456,1,0.061715,0.07935,0.088137,0.11283,0.139,0.066867,0.068352,0.073339,1,0.072233,0.15969,0.095379,0.07837,0.20506,0.12059,0.084732,1,0.078126,0.14088,0.19651,0.093855,0.12009,0.25846,1,0.14011,0.1156,0.20315,0.16199,0.086265,1,0.35312,0.14362,0.15528,0.20922,1,0.10665,0.12999,0.19486,1,0.2891,0.1274,1,0.17097,1,-
1,0.33365,0.070433,0.17857,0.060914,0.26955,0.064881,0.067545,0.078777,0.053106,0.07523,0.10126,0.052937,0.057107,0.051155,0.065916,0.050886,0.0507,0.059005,0.062681,0.053825,1,0.072969,0.13739,0.065276,0.24131,0.061967,0.069129,0.072095,0.054342,0.073361,0.11073,0.052966,0.05767,0.051443,0.067834,0.050451,0.051177,0.06118,0.066418,0.05537,1,0.061177,0.16884,0.067644,0.15477,0.24218,0.051426,0.077181,0.052834,0.052801,0.078288,0.050923,0.052995,0.051038,0.063693,0.057781,0.05195,0.051056,0.052388,1,0.056837,0.18573,0.061737,0.060481,0.11369,0.051482,0.077244,0.083014,0.052455,0.057626,0.050805,0.062094,0.051508,0.049843,0.055353,0.056665,0.053021,1,0.062514,0.1029,0.18,0.051076,0.12454,0.052424,0.05476,0.085286,0.050218,0.05472,0.050415,0.058857,0.057509,0.051534,0.049658,0.052382,1,0.074605,0.071183,0.084029,0.054675,0.089983,0.12017,0.055454,0.059935,0.051234,0.072315,0.051381,0.051431,0.061071,0.064566,0.05361,1,0.18065,0.054767,0.071906,0.057378,0.058263,0.084246,0.051322,0.055603,0.052381,0.071192,0.061612,0.050681,0.051024,0.055115,1,0.052223,0.088388,0.054653,0.057427,0.097464,0.051307,0.055579,0.05271,0.067144,0.061591,0.051692,0.050349,0.05316,1,0.051425,0.08383,0.069776,0.05082,0.070019,0.052009,0.066962,0.052786,0.050424,0.055954,0.055035,0.052995,1,0.052861,0.058397,0.10463,0.051174,0.072183,0.051976,0.06442,0.071177,0.051066,0.051051,0.053859,1,0.103,0.052074,0.082056,0.050535,0.10451,0.055883,0.052083,0.065784,0.065391,0.050375,1,0.068439,0.069945,0.054625,0.10931,0.061216,0.062807,0.076026,0.09065,0.051945,1,0.05157,0.081654,0.054569,0.090235,0.10622,0.051155,0.051774,0.061376,1,0.052141,0.11504,0.059615,0.054837,0.097779,0.078175,0.053629,1,0.055045,0.087663,0.16213,0.055378,0.060401,0.12563,1,0.073787,0.063135,0.11362,0.11105,0.054525,1,0.16408,0.062615,0.06772,0.10729,1,0.058978,0.066753,0.12477,1,0.21267,0.065801,1,0.074416,1,-
