col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109,col110,col111,col112,col113,col114,col115,col116,col117,col118,col119,col120,col121,col122,col123,col124,col125,col126,col127,col128,col129,col130,col131,col132,col133,col134,col135,col136,col137,col138,col139,col140,col141,col142,col143,col144,col145,col146,col147,col148,col149,col150,col151,col152,col153,col154,col155,col156,col157,col158,col159,col160,col161,col162,col163,col164,col165,col166,col167,col168,col169,col170,col171,col172,col173,col174,col175,col176,col177,col178,col179,col180,col181,col182,col183,col184,col185,col186,col187,col188,col189,col190,col191,col192,col193,col194,col195,col196,col197,col198,col199,col200,col201,col202,col203,col204,col205,col206,col207,col208,col209,col210,col211,col212,col213,col214,col215,col216,col217,col218,col219,col220,col221,col222,col223,col224,col225,col226,col227,col228,col229,col230,col231,Indicator
1,0.13893,0.076851,0.11059,0.069297,0.14305,0.069328,0.068605,0.05771,0.055511,0.082583,0.083036,0.058856,0.056998,0.051781,0.063477,0.053136,0.05259,0.055802,0.057475,0.053349,1,0.075332,0.10168,0.067024,0.14764,0.067083,0.069673,0.056722,0.056386,0.082106,0.090906,0.059625,0.057572,0.052125,0.066086,0.052605,0.053218,0.057934,0.060723,0.053256,1,0.078367,0.10444,0.085211,0.13822,0.12621,0.058814,0.058222,0.065302,0.065345,0.077536,0.05533,0.053236,0.055828,0.067602,0.062655,0.052968,0.052416,0.056513,1,0.068513,0.12557,0.076078,0.071101,0.08549,0.055286,0.08136,0.075,0.060074,0.054159,0.051831,0.057619,0.055779,0.05456,0.052922,0.053604,0.053429,1,0.074966,0.089036,0.098451,0.056354,0.071014,0.06567,0.069128,0.074322,0.05413,0.053946,0.057372,0.062384,0.058136,0.053522,0.052339,0.05368,1,0.092623,0.083424,0.06184,0.059127,0.13032,0.13011,0.071489,0.066962,0.05458,0.081694,0.061357,0.059035,0.064501,0.06448,0.054945,1,0.12326,0.059849,0.059217,0.085741,0.083787,0.10709,0.058906,0.060197,0.065224,0.091916,0.075731,0.054521,0.052898,0.062315,1,0.056956,0.061041,0.070935,0.07412,0.087318,0.057032,0.056897,0.059173,0.07347,0.066989,0.053835,0.052187,0.058566,1,0.053279,0.064222,0.058383,0.055934,0.059204,0.051171,0.057957,0.056327,0.052563,0.055219,0.054018,0.052527,1,0.057153,0.059523,0.063945,0.052936,0.056242,0.055868,0.057648,0.055957,0.053086,0.051093,0.054585,1,0.16541,0.083871,0.10632,0.059675,0.15745,0.085464,0.070106,0.085017,0.080449,0.059131,1,0.10285,0.080877,0.066477,0.13335,0.089713,0.080402,0.089008,0.095065,0.062687,1,0.063784,0.089602,0.08005,0.13121,0.12701,0.062555,0.064528,0.080964,1,0.066119,0.14331,0.080334,0.069228,0.11261,0.088127,0.067904,1,0.068344,0.094662,0.11123,0.072312,0.079128,0.12615,1,0.11155,0.086928,0.1478,0.12727,0.074161,1,0.17202,0.087156,0.084848,0.13022,1,0.07894,0.08221,0.13424,1,0.23599,0.095529,1,0.10582,1,-
1,0.37521,0.09007,0.17539,0.077111,0.30244,0.071679,0.082744,0.06492,0.054301,0.081178,0.08973,0.058239,0.061158,0.064067,0.06662,0.063132,0.062696,0.064466,0.06391,0.067745,1,0.084905,0.13839,0.078827,0.24676,0.066139,0.079065,0.061089,0.05619,0.079954,0.093435,0.057384,0.062873,0.063948,0.068022,0.062802,0.061942,0.064942,0.065046,0.067841,1,0.072527,0.18898,0.083718,0.16201,0.26988,0.055685,0.072228,0.056305,0.056478,0.081922,0.060385,0.058953,0.056437,0.062981,0.061065,0.059615,0.059032,0.056525,1,0.068291,0.17663,0.069398,0.071281,0.097097,0.05282,0.077937,0.07351,0.054679,0.055576,0.054058,0.057755,0.05375,0.054757,0.054971,0.055744,0.056759,1,0.074882,0.10863,0.22205,0.052386,0.12542,0.053448,0.054895,0.084999,0.05502,0.057969,0.053836,0.056649,0.057941,0.056202,0.055638,0.05487,1,0.092995,0.095652,0.071299,0.055447,0.11219,0.12518,0.061116,0.059531,0.055054,0.069567,0.055778,0.054497,0.062942,0.063139,0.05635,1,0.2859,0.058004,0.07019,0.069178,0.069126,0.12402,0.053379,0.063757,0.054835,0.078268,0.072189,0.052212,0.050759,0.063063,1,0.056396,0.089118,0.061184,0.064355,0.12579,0.053964,0.062545,0.052401,0.067119,0.067764,0.052691,0.051644,0.058351,1,0.056287,0.0825,0.065202,0.058922,0.066646,0.059552,0.063622,0.05713,0.059305,0.058743,0.057469,0.057222,1,0.057749,0.058092,0.10079,0.054625,0.083977,0.055299,0.06197,0.069988,0.054121,0.054124,0.060739,1,0.24022,0.08922,0.16266,0.076904,0.20429,0.093778,0.088662,0.13826,0.12774,0.076445,1,0.089085,0.10546,0.068396,0.15058,0.074946,0.075019,0.12594,0.13019,0.064968,1,0.075109,0.15157,0.081717,0.14342,0.17585,0.06927,0.067343,0.12443,1,0.099696,0.25289,0.11267,0.11198,0.22859,0.17724,0.1096,1,0.098509,0.16658,0.25614,0.090808,0.089195,0.26341,1,0.11743,0.11419,0.26335,0.22039,0.10528,1,0.24174,0.096488,0.086483,0.22356,1,0.09821,0.093429,0.27972,1,0.34003,0.10106,1,0.095677,1,-
1,0.44377,0.11946,0.32319,0.10773,0.47926,0.10043,0.12035,0.0657,0.078505,0.12909,0.14044,0.086942,0.055353,0.059051,0.073927,0.061094,0.05667,0.052046,0.051352,0.063569,1,0.11588,0.26334,0.11187,0.47553,0.093575,0.11604,0.060351,0.081334,0.11958,0.14764,0.085838,0.057489,0.059265,0.073454,0.060173,0.056038,0.052574,0.051998,0.064704,1,0.11943,0.29472,0.12464,0.30461,0.54023,0.070505,0.076856,0.095219,0.085153,0.13771,0.053716,0.064071,0.0624,0.076358,0.059961,0.051607,0.051794,0.059112,1,0.10829,0.36188,0.11068,0.12095,0.082379,0.075614,0.16276,0.12957,0.088679,0.053527,0.059786,0.073996,0.06118,0.055236,0.051086,0.04991,0.063219,1,0.11662,0.19717,0.31972,0.066977,0.10988,0.090162,0.086701,0.14329,0.052178,0.062771,0.060395,0.069275,0.057985,0.051715,0.051774,0.061326,1,0.11477,0.13093,0.067616,0.08405,0.16236,0.17658,0.098438,0.054455,0.058866,0.080536,0.062365,0.05753,0.053405,0.052542,0.063917,1,0.36022,0.0826,0.075243,0.13649,0.10856,0.19424,0.053219,0.05776,0.072505,0.09893,0.069431,0.051108,0.050385,0.05836,1,0.071758,0.082835,0.10414,0.09567,0.17213,0.053073,0.060003,0.064898,0.080857,0.063541,0.051325,0.05062,0.057956,1,0.059816,0.098683,0.064807,0.070059,0.067134,0.053905,0.068494,0.06255,0.054608,0.052217,0.053219,0.056423,1,0.074242,0.082408,0.10126,0.050581,0.054837,0.062425,0.057101,0.059295,0.051469,0.050336,0.058708,1,0.19693,0.11082,0.058443,0.053032,0.1386,0.077696,0.063463,0.059164,0.054986,0.054732,1,0.13706,0.053063,0.052216,0.13839,0.085846,0.078508,0.064349,0.063644,0.053715,1,0.053116,0.054368,0.083861,0.1111,0.11624,0.052772,0.050344,0.055984,1,0.063495,0.088471,0.068062,0.065275,0.088537,0.064432,0.065124,1,0.053784,0.056353,0.097142,0.068682,0.085025,0.18232,1,0.12881,0.094787,0.12283,0.090185,0.055213,1,0.19366,0.10359,0.082838,0.075615,1,0.096031,0.098662,0.10321,1,0.28713,0.091246,1,0.11048,1,-
1,0.35969,0.11142,0.14654,0.0883,0.25389,0.093595,0.10118,0.060215,0.064235,0.12463,0.10584,0.066825,0.060407,0.054885,0.074681,0.055581,0.054613,0.060007,0.058912,0.058802,1,0.11834,0.10679,0.096116,0.20173,0.082464,0.10486,0.05726,0.070081,0.11923,0.11923,0.069354,0.060598,0.053774,0.076474,0.054463,0.055223,0.061616,0.06118,0.057726,1,0.079895,0.22401,0.091999,0.14945,0.32709,0.055883,0.082943,0.071661,0.069054,0.10211,0.058166,0.056856,0.059588,0.063074,0.065162,0.059423,0.058116,0.060801,1,0.070279,0.1241,0.079899,0.079935,0.081894,0.057981,0.085636,0.070609,0.060316,0.0578,0.056017,0.061377,0.05468,0.054398,0.059048,0.056631,0.05922,1,0.080572,0.12098,0.22007,0.053686,0.10809,0.068784,0.069922,0.10574,0.056762,0.059045,0.058571,0.061147,0.064367,0.057836,0.057783,0.062043,1,0.13056,0.10411,0.062351,0.066925,0.19792,0.14219,0.078194,0.065059,0.054272,0.085534,0.060064,0.058975,0.063828,0.0614,0.058036,1,0.21441,0.059373,0.081202,0.11009,0.092223,0.1301,0.060135,0.060795,0.068195,0.077563,0.078139,0.060997,0.0597,0.06408,1,0.056425,0.091462,0.082969,0.080218,0.12865,0.058504,0.058666,0.063905,0.067912,0.071946,0.06005,0.058208,0.060787,1,0.052176,0.065924,0.054347,0.054487,0.057083,0.050969,0.056375,0.05178,0.05249,0.054131,0.052367,0.051592,1,0.071517,0.082439,0.12938,0.054584,0.075931,0.065315,0.068532,0.086691,0.055651,0.057272,0.061586,1,0.23243,0.089907,0.084156,0.05725,0.15068,0.06906,0.06644,0.079713,0.074354,0.058095,1,0.11743,0.077108,0.064977,0.17743,0.084066,0.08704,0.092395,0.094015,0.065006,1,0.061491,0.078648,0.083275,0.10798,0.13294,0.065477,0.066586,0.073261,1,0.07191,0.16539,0.098199,0.079418,0.21243,0.12201,0.084751,1,0.079218,0.14558,0.19908,0.095456,0.12326,0.26875,1,0.14374,0.11583,0.21553,0.1647,0.088355,1,0.35491,0.14926,0.16116,0.21859,1,0.10839,0.13243,0.19591,1,0.28819,0.12767,1,0.1748,1,-
1,0.33,0.067412,0.16851,0.059504,0.26946,0.063026,0.065891,0.079759,0.053122,0.07451,0.10246,0.052462,0.055781,0.050417,0.065795,0.05173,0.05029,0.058906,0.062703,0.054094,1,0.07204,0.13292,0.064068,0.24282,0.061957,0.069048,0.073891,0.054731,0.072204,0.11198,0.051934,0.056591,0.050172,0.067273,0.050177,0.050378,0.061189,0.065815,0.055073,1,0.060155,0.16376,0.067863,0.1504,0.24495,0.052996,0.076348,0.052636,0.05317,0.076606,0.050967,0.051651,0.05209,0.061731,0.055589,0.052624,0.051665,0.05089,1,0.055701,0.16951,0.059815,0.059301,0.10825,0.050532,0.07412,0.081046,0.051895,0.056757,0.0502,0.062166,0.050312,0.048421,0.055216,0.055998,0.052696,1,0.062007,0.099655,0.16902,0.051285,0.11534,0.052146,0.05421,0.080874,0.049467,0.052119,0.050703,0.057774,0.055269,0.051124,0.049363,0.051582,1,0.072436,0.070254,0.0831,0.053361,0.087739,0.11873,0.054788,0.057349,0.050845,0.071032,0.05162,0.05125,0.060259,0.063078,0.052461,1,0.16502,0.054681,0.070133,0.057055,0.057504,0.078835,0.05087,0.054258,0.052014,0.067019,0.057392,0.051522,0.051045,0.053859,1,0.052869,0.086517,0.054479,0.058445,0.092365,0.05117,0.0528,0.0531,0.065583,0.059284,0.051388,0.050364,0.051448,1,0.050785,0.081184,0.070436,0.049878,0.070425,0.052019,0.067177,0.052038,0.049405,0.056274,0.054694,0.051894,1,0.051471,0.057222,0.096237,0.051457,0.067503,0.052079,0.061746,0.068994,0.049678,0.051388,0.053014,1,0.097854,0.05098,0.081609,0.049619,0.10119,0.055992,0.051425,0.066147,0.064457,0.050062,1,0.068307,0.068491,0.053768,0.10615,0.060675,0.061742,0.076502,0.091553,0.051646,1,0.050577,0.07863,0.054307,0.085774,0.10072,0.049624,0.051419,0.060739,1,0.049075,0.11785,0.058794,0.053573,0.098548,0.076933,0.051735,1,0.053398,0.084183,0.15583,0.05403,0.0595,0.12588,1,0.071464,0.061645,0.11997,0.11239,0.053737,1,0.15872,0.060777,0.065336,0.10634,1,0.05791,0.06541,0.1241,1,0.20989,0.060456,1,0.070034,1,-
1,0.50198,0.19015,0.34853,0.16182,0.47355,0.17999,0.18661,0.10023,0.097714,0.14839,0.14783,0.098122,0.06972,0.06786,0.070976,0.070559,0.063399,0.074065,0.073429,0.080683,1,0.18284,0.29109,0.17136,0.46266,0.16766,0.18632,0.091821,0.1054,0.14129,0.15798,0.10298,0.070552,0.065583,0.069093,0.068975,0.062995,0.073523,0.071713,0.078862,1,0.17506,0.31316,0.20112,0.39871,0.44399,0.094967,0.1051,0.11292,0.099386,0.12766,0.07039,0.07712,0.067267,0.076288,0.065575,0.07928,0.079902,0.088019,1,0.14479,0.33735,0.17405,0.1654,0.12735,0.091186,0.1531,0.12799,0.093065,0.065677,0.068595,0.071116,0.069866,0.063167,0.071517,0.071307,0.079208,1,0.16663,0.22877,0.30802,0.085225,0.14596,0.101,0.10067,0.13127,0.06904,0.069673,0.065916,0.072728,0.065283,0.077289,0.076283,0.082742,1,0.22501,0.21412,0.10876,0.10182,0.19754,0.1823,0.11299,0.066252,0.065487,0.075859,0.073007,0.065397,0.073417,0.07286,0.0788,1,0.42198,0.10519,0.10367,0.15932,0.12771,0.16029,0.062077,0.066428,0.071186,0.077998,0.069705,0.072093,0.0734,0.075927,1,0.094045,0.11893,0.12778,0.11979,0.16747,0.066575,0.066617,0.06855,0.076985,0.067668,0.075919,0.075134,0.079386,1,0.074679,0.14194,0.096227,0.077692,0.059389,0.058529,0.07456,0.06864,0.062025,0.06229,0.063719,0.063656,1,0.092359,0.11757,0.17333,0.059023,0.058023,0.068335,0.070825,0.080601,0.065267,0.065337,0.061942,1,0.2453,0.12626,0.059431,0.056871,0.11992,0.08575,0.080069,0.06854,0.072218,0.065127,1,0.1846,0.058222,0.058989,0.12821,0.096528,0.1065,0.071954,0.078231,0.064222,1,0.056064,0.05593,0.0823,0.088217,0.11205,0.064346,0.065586,0.061045,1,0.092861,0.14256,0.12133,0.089965,0.19532,0.12884,0.1213,1,0.089301,0.10705,0.14683,0.11379,0.14311,0.23029,1,0.29055,0.17093,0.20383,0.1872,0.11574,1,0.25508,0.2135,0.21929,0.17989,1,0.11113,0.13137,0.13985,1,0.45845,0.23789,1,0.31401,1,-
1,0.69009,0.14266,0.46873,0.11831,0.68381,0.15932,0.14971,0.21578,0.082791,0.33591,0.32576,0.13506,0.13172,0.083745,0.21322,0.13052,0.1093,0.13831,0.13531,0.094811,1,0.1403,0.41081,0.11888,0.66584,0.15412,0.14798,0.20314,0.082676,0.32432,0.33491,0.13242,0.12914,0.082995,0.20927,0.12682,0.10655,0.13512,0.13438,0.094633,1,0.13061,0.34843,0.15372,0.54573,0.61971,0.11025,0.14185,0.15104,0.14963,0.31496,0.10948,0.078684,0.13297,0.22949,0.17625,0.11787,0.097367,0.10148,1,0.11099,0.44372,0.14871,0.1362,0.26358,0.080044,0.30426,0.26965,0.12944,0.12889,0.084037,0.20175,0.12771,0.10803,0.13507,0.12943,0.093367,1,0.1265,0.30732,0.36241,0.096079,0.14641,0.12721,0.12884,0.24829,0.10048,0.075857,0.11801,0.18023,0.15196,0.10731,0.089933,0.092511,1,0.17905,0.16561,0.21317,0.087294,0.39565,0.38391,0.14874,0.14019,0.083301,0.23953,0.14171,0.11699,0.14623,0.14294,0.097035,1,0.63596,0.12291,0.13859,0.1863,0.18603,0.41188,0.12224,0.083329,0.15846,0.29391,0.21316,0.13203,0.10861,0.11118,1,0.11328,0.14452,0.16487,0.16759,0.37807,0.11512,0.07967,0.14411,0.25089,0.19248,0.12303,0.1025,0.10473,1,0.075698,0.22717,0.18689,0.11349,0.13728,0.077644,0.18169,0.11764,0.098062,0.13098,0.11647,0.085492,1,0.091841,0.094224,0.15039,0.082168,0.067799,0.089589,0.12163,0.11885,0.086243,0.076188,0.07804,1,0.44388,0.17511,0.20083,0.08298,0.45186,0.1949,0.14598,0.20421,0.18827,0.1025,1,0.19798,0.159,0.080163,0.3311,0.1948,0.16144,0.17339,0.18527,0.10402,1,0.12212,0.083936,0.1664,0.33511,0.30967,0.13482,0.11796,0.11885,1,0.077965,0.27432,0.15012,0.12574,0.38831,0.19808,0.10096,1,0.081135,0.090914,0.097789,0.081872,0.078921,0.19061,1,0.23135,0.16668,0.28988,0.24908,0.10533,1,0.3867,0.17709,0.15636,0.14844,1,0.14532,0.14303,0.172,1,0.28907,0.11813,1,0.11532,1,-
1,0.51813,0.071054,0.3387,0.072196,0.4099,0.06942,0.074807,0.056784,0.063712,0.11292,0.13541,0.067811,0.055844,0.05658,0.073856,0.053556,0.056323,0.058192,0.061455,0.055236,1,0.0684,0.24232,0.071853,0.4005,0.066512,0.072344,0.055366,0.066635,0.11305,0.1528,0.068062,0.056778,0.058372,0.077207,0.054308,0.056565,0.059065,0.063557,0.055072,1,0.072808,0.36197,0.072211,0.20302,0.37092,0.055988,0.067991,0.06572,0.060351,0.11898,0.053438,0.05643,0.055292,0.072413,0.068828,0.054096,0.054058,0.056443,1,0.072417,0.25784,0.074453,0.075864,0.063859,0.061475,0.11051,0.11052,0.068172,0.056659,0.055165,0.070584,0.053649,0.055555,0.057045,0.058591,0.054551,1,0.072135,0.16182,0.30307,0.05466,0.081028,0.064663,0.06196,0.12178,0.05458,0.057254,0.056796,0.067824,0.069002,0.056164,0.055308,0.05622,1,0.084864,0.083659,0.060771,0.068268,0.16661,0.19536,0.083399,0.059385,0.059986,0.092302,0.058783,0.06321,0.063354,0.068367,0.056157,1,0.3378,0.067942,0.072248,0.099799,0.082642,0.25365,0.060078,0.062984,0.072656,0.12607,0.11549,0.057596,0.055289,0.068338,1,0.059016,0.078574,0.078501,0.072867,0.19314,0.056097,0.058921,0.062146,0.089132,0.08729,0.055377,0.054136,0.061241,1,0.059221,0.084781,0.063467,0.068026,0.091389,0.055627,0.073473,0.07217,0.067557,0.057168,0.054796,0.057595,1,0.073169,0.079583,0.10123,0.058435,0.078001,0.070301,0.068589,0.079966,0.058293,0.060843,0.061402,1,0.28932,0.117,0.1049,0.076623,0.25737,0.099537,0.10562,0.10686,0.10727,0.071285,1,0.11562,0.079845,0.082681,0.21989,0.085006,0.10271,0.10547,0.12749,0.06971,1,0.072456,0.090715,0.10328,0.1758,0.21976,0.071673,0.07173,0.092025,1,0.093966,0.1743,0.12328,0.11032,0.1795,0.11753,0.10484,1,0.1039,0.11441,0.17097,0.11898,0.13597,0.23823,1,0.1407,0.14933,0.25576,0.229,0.10385,1,0.40829,0.11544,0.098566,0.19534,1,0.11974,0.11648,0.22944,1,0.43013,0.14083,1,0.1408,1,-
1,0.59241,0.21297,0.3443,0.18064,0.47992,0.19506,0.20176,0.091676,0.096232,0.17307,0.16041,0.10372,0.067118,0.070982,0.07748,0.075127,0.071958,0.081513,0.081407,0.091634,1,0.20993,0.26277,0.18697,0.41003,0.17686,0.19519,0.084103,0.098857,0.15426,0.15621,0.10047,0.066722,0.071382,0.075765,0.074378,0.071942,0.082232,0.082335,0.093458,1,0.17401,0.361,0.20575,0.3406,0.4258,0.082894,0.1117,0.12585,0.1186,0.13616,0.066136,0.075021,0.070965,0.07861,0.076753,0.082807,0.083394,0.091311,1,0.15992,0.41561,0.20731,0.18758,0.12521,0.091506,0.23647,0.17549,0.11494,0.073174,0.06724,0.084346,0.078851,0.072755,0.076314,0.076063,0.080184,1,0.18623,0.26242,0.37361,0.085981,0.1612,0.1229,0.12347,0.15982,0.065331,0.071913,0.071037,0.078146,0.076789,0.078631,0.079371,0.08598,1,0.25459,0.23237,0.096788,0.095932,0.26224,0.23076,0.12909,0.072666,0.06956,0.090359,0.08512,0.077748,0.082447,0.082293,0.086241,1,0.47443,0.087547,0.099607,0.2042,0.18317,0.19348,0.073068,0.075674,0.088899,0.10561,0.091184,0.080316,0.080068,0.088541,1,0.085536,0.11712,0.15635,0.15154,0.18763,0.068932,0.075026,0.079898,0.091311,0.084571,0.079306,0.079685,0.087269,1,0.080794,0.10287,0.083222,0.075778,0.077284,0.056267,0.067365,0.059088,0.057056,0.061402,0.06125,0.060577,1,0.081208,0.085678,0.10987,0.055758,0.066749,0.059125,0.060159,0.062381,0.063247,0.063769,0.066383,1,0.36109,0.15745,0.10657,0.072588,0.15626,0.12047,0.097622,0.095355,0.093411,0.085435,1,0.19704,0.094862,0.077395,0.16478,0.13791,0.11456,0.10673,0.10539,0.092423,1,0.081778,0.092797,0.10697,0.13929,0.14271,0.081677,0.081211,0.092823,1,0.10401,0.2552,0.15274,0.13512,0.14336,0.13445,0.11373,1,0.10378,0.12606,0.24426,0.13166,0.13439,0.22103,1,0.28175,0.1925,0.22677,0.21099,0.13681,1,0.32958,0.19653,0.18855,0.20172,1,0.19144,0.19113,0.28547,1,0.87553,0.27461,1,0.28636,1,-
1,0.47644,0.09321,0.27394,0.086531,0.29167,0.079523,0.084635,0.079354,0.055903,0.066789,0.091309,0.055594,0.058181,0.052363,0.057647,0.051526,0.051077,0.059472,0.059376,0.061861,1,0.092351,0.20399,0.091867,0.2428,0.075275,0.087172,0.071024,0.057593,0.062421,0.090287,0.057514,0.059653,0.052394,0.057342,0.052741,0.051797,0.060205,0.060146,0.062917,1,0.089485,0.28403,0.098196,0.17991,0.23712,0.063459,0.061349,0.059745,0.064464,0.068549,0.052555,0.060768,0.053869,0.051787,0.054039,0.063256,0.063156,0.056326,1,0.081138,0.36392,0.095805,0.086675,0.11552,0.054709,0.087682,0.097169,0.05839,0.057916,0.052206,0.055656,0.051661,0.051884,0.057964,0.057898,0.057736,1,0.093537,0.15388,0.28526,0.059577,0.077463,0.056365,0.070384,0.086957,0.051855,0.057711,0.050505,0.051028,0.054403,0.057149,0.057089,0.053778,1,0.12334,0.10905,0.094763,0.057654,0.094743,0.13661,0.064931,0.059436,0.052547,0.056504,0.051528,0.052593,0.057675,0.057573,0.055682,1,0.26098,0.072281,0.058894,0.089188,0.10558,0.091141,0.057849,0.056075,0.055307,0.063168,0.059088,0.054054,0.054002,0.053743,1,0.062192,0.067698,0.06605,0.095482,0.12021,0.052967,0.058211,0.051735,0.056371,0.060951,0.054949,0.054984,0.0529,1,0.051386,0.11165,0.073116,0.055517,0.081187,0.051606,0.063478,0.056444,0.0535,0.054667,0.054585,0.052572,1,0.052039,0.062835,0.097871,0.050668,0.079467,0.050691,0.054932,0.074738,0.05225,0.052123,0.052459,1,0.12216,0.06383,0.14292,0.054274,0.11594,0.089085,0.060816,0.065527,0.065337,0.063047,1,0.11102,0.068061,0.061586,0.075378,0.07636,0.081706,0.070809,0.070836,0.060302,1,0.055428,0.099931,0.058032,0.071393,0.13375,0.060912,0.061027,0.064341,1,0.056611,0.28138,0.11981,0.064457,0.09305,0.092495,0.092567,1,0.062897,0.070524,0.24384,0.1001,0.10093,0.10623,1,0.18533,0.077026,0.15332,0.1519,0.14116,1,0.11358,0.12873,0.12831,0.2031,1,0.11629,0.11714,0.13526,1,0.96611,0.29114,1,0.29136,1,-
