col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109,col110,col111,col112,col113,col114,col115,col116,col117,col118,col119,col120,col121,col122,col123,col124,col125,col126,col127,col128,col129,col130,col131,col132,col133,col134,col135,col136,col137,col138,col139,col140,col141,col142,col143,col144,col145,col146,col147,col148,col149,col150,col151,col152,col153,col154,col155,col156,col157,col158,col159,col160,col161,col162,col163,col164,col165,col166,col167,col168,col169,col170,col171,col172,col173,col174,col175,col176,col177,col178,col179,col180,col181,col182,col183,col184,col185,col186,col187,col188,col189,col190,col191,col192,col193,col194,col195,col196,col197,col198,col199,col200,col201,col202,col203,col204,col205,col206,col207,col208,col209,col210,col211,col212,col213,col214,col215,col216,col217,col218,col219,col220,col221,col222,col223,col224,col225,col226,col227,col228,col229,col230,col231,Indicator
1,0.2135,0.10251,0.19529,0.078627,0.20772,0.090211,0.084849,0.06723,0.054483,0.078419,0.083017,0.056052,0.054099,0.053452,0.056703,0.053391,0.053533,0.053568,0.053511,0.054204,1,0.10922,0.1738,0.085189,0.20725,0.09202,0.090688,0.064935,0.056105,0.076851,0.08676,0.056372,0.053866,0.054409,0.056732,0.053465,0.053143,0.053346,0.053769,0.055181,1,0.095326,0.16164,0.11182,0.18437,0.18978,0.057904,0.058512,0.06316,0.064699,0.068842,0.053558,0.053887,0.053775,0.05897,0.056337,0.054421,0.055777,0.054012,1,0.073711,0.21954,0.091639,0.079445,0.093345,0.054303,0.086024,0.079829,0.056005,0.054537,0.053636,0.056619,0.053573,0.053248,0.053678,0.053577,0.054489,1,0.085465,0.12514,0.15812,0.055635,0.075544,0.060867,0.067566,0.076363,0.052618,0.05476,0.053465,0.058511,0.057062,0.0529,0.053215,0.053532,1,0.13417,0.10295,0.074064,0.056533,0.11961,0.12192,0.063688,0.056913,0.052983,0.063737,0.05569,0.05393,0.055687,0.055968,0.053426,1,0.18272,0.060671,0.05896,0.088435,0.09636,0.089868,0.054629,0.055755,0.058644,0.071223,0.063134,0.052906,0.052819,0.05707,1,0.057247,0.062159,0.068053,0.077804,0.082728,0.053087,0.054755,0.054619,0.062907,0.059431,0.052563,0.052925,0.054855,1,0.05271,0.074914,0.062573,0.053508,0.063849,0.051982,0.058955,0.053822,0.052464,0.054273,0.053229,0.052046,1,0.0542,0.058985,0.069749,0.052191,0.062695,0.052878,0.055622,0.057575,0.051497,0.052555,0.054047,1,0.17869,0.074282,0.10698,0.057074,0.15251,0.085062,0.067446,0.083049,0.074713,0.058288,1,0.12126,0.076498,0.066848,0.12388,0.09823,0.086779,0.086704,0.091747,0.065183,1,0.059343,0.11138,0.075062,0.14114,0.15756,0.065224,0.070924,0.098377,1,0.060804,0.18338,0.08927,0.068607,0.13874,0.094111,0.068009,1,0.070235,0.11687,0.16742,0.076294,0.095622,0.18159,1,0.14465,0.094712,0.18571,0.13915,0.081831,1,0.23742,0.1179,0.11705,0.1753,1,0.094564,0.11533,0.20477,1,0.2537,0.10497,1,0.1386,1,-
1,0.29362,0.060369,0.22991,0.058476,0.22013,0.063832,0.061303,0.062125,0.050944,0.090062,0.091227,0.054801,0.062843,0.051291,0.070836,0.051056,0.050965,0.063401,0.064766,0.05199,1,0.068313,0.1485,0.064928,0.23867,0.065376,0.065145,0.062089,0.051337,0.099613,0.11755,0.056869,0.068405,0.051066,0.081381,0.050809,0.050797,0.07108,0.074289,0.052436,1,0.055912,0.20698,0.058363,0.11794,0.11772,0.050334,0.07276,0.051312,0.051401,0.10426,0.050599,0.072914,0.050402,0.082592,0.083915,0.052189,0.0531,0.075003,1,0.054676,0.16964,0.05854,0.055467,0.069203,0.050505,0.084827,0.077727,0.052305,0.063379,0.050988,0.06691,0.050844,0.050615,0.061766,0.062145,0.051075,1,0.057401,0.13112,0.19663,0.05062,0.085883,0.051182,0.051884,0.13462,0.051355,0.08084,0.05113,0.09021,0.095617,0.052838,0.05364,0.0823,1,0.08498,0.067139,0.062079,0.051165,0.14909,0.14677,0.060789,0.072506,0.050913,0.090762,0.051505,0.052075,0.071698,0.073762,0.051168,1,0.22213,0.051179,0.073739,0.072583,0.076439,0.26245,0.051751,0.097878,0.055262,0.15039,0.15635,0.051681,0.051875,0.10748,1,0.050502,0.077265,0.055331,0.057547,0.18325,0.050597,0.084973,0.051394,0.10175,0.10932,0.051868,0.052215,0.08635,1,0.050558,0.056529,0.059261,0.05071,0.069079,0.05065,0.060752,0.050991,0.050879,0.061197,0.059767,0.051119,1,0.050695,0.050667,0.074708,0.050612,0.094962,0.05033,0.076288,0.078687,0.050947,0.05108,0.078921,1,0.19453,0.059959,0.13772,0.052018,0.19033,0.058906,0.057256,0.10755,0.10065,0.052724,1,0.073796,0.11293,0.055153,0.24188,0.063176,0.066449,0.14155,0.15345,0.054731,1,0.052435,0.13621,0.057328,0.18491,0.25525,0.052427,0.052583,0.14004,1,0.053433,0.27511,0.064311,0.058169,0.26034,0.17763,0.056995,1,0.056684,0.21287,0.27888,0.057326,0.060528,0.35794,1,0.07478,0.067917,0.35404,0.29365,0.06046,1,0.51528,0.066129,0.063366,0.3963,1,0.061308,0.062266,0.40145,1,0.55268,0.062892,1,0.06471,1,-
1,0.34172,0.078451,0.16496,0.063753,0.27445,0.087377,0.074504,0.085181,0.053671,0.13312,0.11596,0.055729,0.074357,0.051336,0.072778,0.051662,0.051735,0.06953,0.069619,0.05144,1,0.088604,0.12524,0.068522,0.25282,0.08536,0.079862,0.078194,0.055443,0.12037,0.12237,0.056512,0.072614,0.051838,0.072605,0.052198,0.052154,0.07104,0.071528,0.052017,1,0.062974,0.11786,0.080325,0.15715,0.14563,0.052906,0.07235,0.061774,0.060371,0.073004,0.051955,0.058688,0.052113,0.061099,0.059817,0.052559,0.052551,0.056373,1,0.056807,0.17211,0.071394,0.062455,0.09298,0.052325,0.12423,0.088957,0.054684,0.07357,0.051515,0.069672,0.051886,0.052022,0.064099,0.063857,0.051057,1,0.065505,0.099438,0.12211,0.052225,0.090875,0.05739,0.058932,0.073401,0.052184,0.062578,0.052561,0.060658,0.062047,0.051741,0.051803,0.057525,1,0.11447,0.083984,0.081938,0.054764,0.1806,0.14692,0.060776,0.077647,0.051723,0.078727,0.053448,0.052718,0.071045,0.070981,0.051347,1,0.1924,0.056059,0.073528,0.094203,0.091194,0.10647,0.055396,0.064475,0.057524,0.08439,0.075146,0.052497,0.052516,0.065775,1,0.053848,0.07041,0.067369,0.068782,0.089597,0.052876,0.060357,0.053603,0.065516,0.064225,0.051685,0.051686,0.058183,1,0.051587,0.095663,0.077786,0.052625,0.10332,0.050842,0.081525,0.053262,0.051838,0.072312,0.071175,0.050905,1,0.053974,0.056218,0.076323,0.051475,0.102,0.052254,0.066725,0.078338,0.051618,0.051667,0.069311,1,0.20511,0.063053,0.13264,0.05315,0.13625,0.064361,0.05796,0.092256,0.090017,0.05395,1,0.080273,0.11418,0.057324,0.15596,0.07849,0.071017,0.12178,0.12127,0.059664,1,0.054924,0.088415,0.059473,0.10187,0.13265,0.055832,0.055907,0.087952,1,0.055634,0.28649,0.077996,0.063699,0.18022,0.16428,0.061646,1,0.059007,0.11275,0.20033,0.062071,0.062998,0.16806,1,0.10259,0.075815,0.22747,0.20848,0.070523,1,0.25816,0.090152,0.087911,0.2128,1,0.079479,0.081001,0.30247,1,0.82319,0.091072,1,0.093851,1,-
1,0.2066,0.069944,0.12654,0.0621,0.14656,0.06825,0.067573,0.06853,0.052062,0.066407,0.072932,0.05336,0.059419,0.051094,0.057349,0.050941,0.0521,0.058876,0.058876,0.052366,1,0.082125,0.1295,0.071817,0.18058,0.074994,0.080383,0.076887,0.053515,0.071289,0.089432,0.055499,0.063626,0.05123,0.060371,0.051504,0.052159,0.065132,0.065081,0.053748,1,0.064787,0.19158,0.073904,0.16732,0.22331,0.053876,0.069288,0.053662,0.055353,0.07041,0.051621,0.059783,0.051722,0.061873,0.059993,0.054487,0.054505,0.060514,1,0.058504,0.20522,0.072193,0.063745,0.087671,0.051348,0.079321,0.071979,0.052076,0.062329,0.051448,0.058515,0.050827,0.05193,0.059042,0.058995,0.051536,1,0.064841,0.11659,0.20175,0.052781,0.081508,0.052465,0.055472,0.082147,0.051576,0.062295,0.051458,0.060825,0.061736,0.052549,0.05252,0.060063,1,0.10068,0.0799,0.07939,0.052111,0.090144,0.097614,0.055327,0.064158,0.051146,0.060792,0.051269,0.052178,0.061486,0.061445,0.051656,1,0.24293,0.054962,0.063256,0.064992,0.079931,0.080956,0.05223,0.060227,0.052152,0.069597,0.064228,0.052133,0.052137,0.061309,1,0.053189,0.068905,0.0557,0.067049,0.094157,0.051783,0.061455,0.051357,0.06413,0.064133,0.052806,0.0527,0.060546,1,0.051119,0.10294,0.067181,0.051645,0.11132,0.051336,0.074585,0.053223,0.051946,0.066231,0.066071,0.051286,1,0.050867,0.053317,0.086607,0.051253,0.091527,0.051281,0.061216,0.075864,0.052109,0.052202,0.063616,1,0.094162,0.052558,0.13608,0.050469,0.10403,0.065125,0.054031,0.07018,0.070085,0.053141,1,0.070813,0.071871,0.055585,0.083509,0.069193,0.067853,0.082132,0.08222,0.054991,1,0.051484,0.11846,0.0529,0.076926,0.13851,0.053689,0.053813,0.07323,1,0.051842,0.20977,0.076503,0.05498,0.095829,0.095454,0.06275,1,0.055172,0.088524,0.21142,0.068562,0.069022,0.12273,1,0.11408,0.064762,0.15876,0.15783,0.083533,1,0.15015,0.087448,0.087649,0.21949,1,0.08043,0.080939,0.16588,1,0.92352,0.12082,1,0.12181,1,-
1,0.25168,0.063561,0.12969,0.05633,0.13581,0.063517,0.061156,0.066077,0.051878,0.10131,0.10389,0.055027,0.064964,0.051509,0.078641,0.052225,0.052319,0.069544,0.071095,0.051462,1,0.070735,0.10293,0.059818,0.18053,0.064677,0.065002,0.068017,0.053133,0.11885,0.13641,0.056214,0.070462,0.051584,0.09113,0.05262,0.052525,0.080568,0.084159,0.051791,1,0.056678,0.10689,0.062221,0.1199,0.10576,0.05185,0.065913,0.056001,0.056161,0.082954,0.051227,0.060022,0.052651,0.074176,0.070756,0.050565,0.050643,0.06257,1,0.053275,0.10406,0.058498,0.055466,0.065571,0.050981,0.076271,0.072128,0.052407,0.057743,0.050021,0.063119,0.051681,0.051402,0.05917,0.05975,0.050613,1,0.056748,0.083915,0.10355,0.050981,0.066671,0.053564,0.054722,0.072863,0.050739,0.057246,0.051637,0.063046,0.062873,0.05047,0.050464,0.057126,1,0.074039,0.065647,0.067145,0.052516,0.13708,0.13597,0.0593,0.07009,0.051805,0.092276,0.054586,0.054193,0.075332,0.075988,0.05121,1,0.17517,0.054044,0.07357,0.08852,0.084806,0.18917,0.055923,0.074122,0.065709,0.14209,0.11894,0.053688,0.052388,0.084425,1,0.052024,0.068564,0.062005,0.062896,0.1077,0.052098,0.063656,0.055118,0.084895,0.080093,0.051639,0.051183,0.066855,1,0.050905,0.070871,0.066584,0.05242,0.069868,0.050827,0.067253,0.052139,0.051604,0.061959,0.060212,0.050608,1,0.052979,0.054917,0.082401,0.050767,0.091669,0.052412,0.06883,0.074598,0.051328,0.051663,0.067165,1,0.23473,0.066079,0.11618,0.054117,0.19999,0.066886,0.061559,0.10289,0.093658,0.054572,1,0.081937,0.10524,0.058494,0.23777,0.079838,0.076447,0.13706,0.14046,0.05949,1,0.055615,0.10286,0.06437,0.1455,0.17533,0.05598,0.056005,0.099787,1,0.055996,0.22318,0.069231,0.061383,0.17916,0.11643,0.059719,1,0.058802,0.11385,0.16973,0.059833,0.0666,0.16947,1,0.094909,0.07635,0.24159,0.1707,0.06554,1,0.32773,0.079763,0.075333,0.20529,1,0.071301,0.077886,0.25327,1,0.36724,0.0762,1,0.09167,1,-
1,0.48562,0.10871,0.17361,0.07363,0.33666,0.095348,0.097643,0.077,0.055371,0.099902,0.10421,0.06155,0.052643,0.051859,0.070657,0.053535,0.053764,0.062066,0.062902,0.052283,1,0.12811,0.13013,0.08345,0.2863,0.090911,0.1072,0.06901,0.05761,0.095964,0.10917,0.06244,0.052777,0.051721,0.070647,0.053107,0.05366,0.062404,0.063644,0.052023,1,0.067457,0.16452,0.10153,0.19427,0.28989,0.056198,0.06229,0.064513,0.065801,0.081993,0.052456,0.053399,0.055103,0.060931,0.060298,0.052557,0.052155,0.053383,1,0.061047,0.17228,0.07424,0.068393,0.11695,0.052984,0.091555,0.078964,0.056063,0.052442,0.051377,0.065379,0.052798,0.052463,0.058369,0.058992,0.052024,1,0.077163,0.11546,0.18182,0.054525,0.087127,0.061573,0.064937,0.085664,0.052278,0.053557,0.055353,0.057621,0.058757,0.052761,0.052614,0.053587,1,0.13594,0.11572,0.085027,0.05857,0.14762,0.1438,0.073578,0.054228,0.053082,0.084148,0.058226,0.058738,0.065769,0.066173,0.053123,1,0.31284,0.063594,0.065655,0.10985,0.1115,0.14505,0.057216,0.058984,0.072976,0.08709,0.08431,0.059032,0.056885,0.059454,1,0.057583,0.071041,0.078445,0.084832,0.11971,0.053697,0.055632,0.061603,0.069408,0.070398,0.055147,0.054394,0.055765,1,0.053442,0.092472,0.06924,0.056475,0.072374,0.053879,0.075419,0.057057,0.05598,0.065501,0.062232,0.054938,1,0.060371,0.065823,0.096494,0.056462,0.078113,0.060569,0.066272,0.080187,0.062085,0.06592,0.069861,1,0.2461,0.093202,0.084553,0.060956,0.25276,0.092871,0.084249,0.10497,0.090443,0.061802,1,0.1364,0.065311,0.066691,0.17584,0.09978,0.10743,0.10264,0.10023,0.065053,1,0.063523,0.095533,0.090406,0.13882,0.21968,0.076158,0.077734,0.085363,1,0.071087,0.13786,0.092248,0.07844,0.15029,0.09491,0.074786,1,0.079216,0.1279,0.21719,0.11575,0.18269,0.41069,1,0.14899,0.11913,0.22122,0.15149,0.082358,1,0.28756,0.14601,0.135,0.1395,1,0.12769,0.14933,0.19333,1,0.39114,0.13897,1,0.24392,1,-
1,0.33663,0.10738,0.18847,0.081848,0.30123,0.096945,0.10146,0.088865,0.05871,0.092108,0.096364,0.06252,0.056758,0.059309,0.063948,0.056916,0.057414,0.059674,0.061879,0.062628,1,0.11246,0.13717,0.088998,0.24833,0.092178,0.1061,0.079447,0.06038,0.088801,0.10113,0.062833,0.056827,0.059118,0.064432,0.057285,0.057939,0.06084,0.064104,0.063566,1,0.07523,0.1948,0.1014,0.16695,0.25247,0.059822,0.082803,0.060274,0.062429,0.092305,0.054176,0.063638,0.053942,0.065703,0.065965,0.056854,0.058567,0.060659,1,0.066988,0.18833,0.08014,0.07543,0.12941,0.05591,0.096459,0.079074,0.059085,0.058104,0.05701,0.061451,0.055627,0.055782,0.057207,0.058611,0.058879,1,0.081531,0.1208,0.25468,0.058025,0.13256,0.058332,0.061884,0.11052,0.05413,0.069362,0.053678,0.063588,0.06728,0.055697,0.056015,0.060972,1,0.15435,0.12492,0.098567,0.060325,0.15049,0.1478,0.072798,0.063588,0.05621,0.075311,0.057239,0.057383,0.064656,0.065899,0.057371,1,0.29193,0.065315,0.079827,0.095198,0.10309,0.14319,0.05548,0.074358,0.058635,0.090466,0.084854,0.054296,0.054962,0.070194,1,0.061378,0.10527,0.071926,0.082651,0.15575,0.053402,0.075034,0.055226,0.077722,0.080421,0.054372,0.055159,0.067044,1,0.056627,0.1028,0.073822,0.057983,0.068103,0.057732,0.068402,0.057415,0.057045,0.060016,0.05956,0.058291,1,0.05676,0.060508,0.11521,0.052393,0.097042,0.054354,0.070768,0.082705,0.054374,0.055323,0.073947,1,0.23086,0.078645,0.12735,0.060452,0.16354,0.078836,0.069376,0.10479,0.095871,0.060774,1,0.102,0.092576,0.064287,0.13532,0.076012,0.075061,0.10598,0.10969,0.061441,1,0.057149,0.13421,0.064871,0.12095,0.15766,0.059006,0.060936,0.10722,1,0.059164,0.15007,0.068499,0.064105,0.14262,0.11106,0.064458,1,0.06238,0.12242,0.17464,0.063677,0.067989,0.19911,1,0.078838,0.071119,0.15869,0.13528,0.066078,1,0.16094,0.068518,0.066593,0.14788,1,0.06794,0.071299,0.18693,1,0.20443,0.071561,1,0.074531,1,-
1,0.27141,0.10059,0.20252,0.062981,0.29673,0.068541,0.089339,0.061586,0.052933,0.087279,0.074931,0.055458,0.053139,0.051214,0.059503,0.050717,0.050744,0.056813,0.058791,0.051838,1,0.12346,0.16467,0.069811,0.29317,0.066951,0.097536,0.05885,0.054238,0.084238,0.082997,0.056809,0.053017,0.051349,0.061723,0.051269,0.051144,0.058615,0.062243,0.053207,1,0.080512,0.14912,0.10281,0.13778,0.3017,0.053472,0.062116,0.058931,0.054827,0.078551,0.051265,0.053491,0.051373,0.057237,0.056857,0.052849,0.053426,0.052694,1,0.060025,0.23916,0.068579,0.076859,0.078859,0.052053,0.1053,0.073003,0.054565,0.054209,0.051834,0.062037,0.051289,0.050992,0.057551,0.059327,0.052217,1,0.067588,0.089057,0.16516,0.052684,0.090761,0.054678,0.054957,0.086313,0.050905,0.054242,0.051034,0.054596,0.056472,0.051915,0.05204,0.05267,1,0.083712,0.10181,0.064858,0.054089,0.11592,0.096134,0.0609,0.053811,0.051273,0.066016,0.051776,0.051681,0.058787,0.061752,0.052222,1,0.16603,0.059284,0.061694,0.10451,0.08236,0.13338,0.052156,0.05717,0.055864,0.074757,0.071249,0.051804,0.052288,0.056838,1,0.054053,0.066904,0.061958,0.060141,0.10029,0.051297,0.05467,0.051954,0.059767,0.060803,0.05173,0.052026,0.05321,1,0.051428,0.083378,0.058606,0.053088,0.065959,0.050555,0.061315,0.052334,0.051532,0.054966,0.054538,0.050638,1,0.052823,0.054629,0.076864,0.051013,0.063655,0.050972,0.055126,0.060252,0.051006,0.05117,0.05417,1,0.1356,0.067801,0.071481,0.052122,0.10803,0.059419,0.056737,0.066744,0.065592,0.052311,1,0.090653,0.064123,0.055678,0.12723,0.069048,0.071629,0.082388,0.088339,0.053361,1,0.053415,0.081586,0.060033,0.090372,0.12864,0.053253,0.053626,0.067989,1,0.055993,0.14749,0.078646,0.062225,0.12904,0.085597,0.060256,1,0.059582,0.11342,0.21336,0.065973,0.075006,0.23166,1,0.10098,0.075727,0.17789,0.13685,0.062456,1,0.25152,0.08873,0.077169,0.15855,1,0.074817,0.079773,0.19408,1,0.3341,0.077082,1,0.085624,1,-
1,0.20738,0.068361,0.077002,0.056017,0.13356,0.066345,0.061018,0.060745,0.052429,0.091228,0.084712,0.052484,0.063514,0.052202,0.068512,0.051772,0.051739,0.061733,0.059927,0.052999,1,0.080892,0.071339,0.060695,0.12509,0.068262,0.066934,0.061993,0.053362,0.095522,0.10079,0.053835,0.067114,0.053308,0.075411,0.052495,0.052181,0.066882,0.064633,0.054682,1,0.05291,0.13394,0.063839,0.1811,0.22316,0.051447,0.07122,0.056437,0.057806,0.07805,0.052678,0.060234,0.05247,0.069874,0.066523,0.052929,0.054076,0.060385,1,0.051688,0.064324,0.053338,0.052289,0.072663,0.05127,0.060918,0.058861,0.051178,0.054515,0.051464,0.056061,0.051349,0.050747,0.054089,0.053532,0.051613,1,0.054754,0.083068,0.10472,0.050527,0.074807,0.05307,0.053896,0.064551,0.051849,0.056159,0.051789,0.060074,0.059708,0.052319,0.052302,0.055917,1,0.084919,0.063987,0.058044,0.052187,0.14817,0.10204,0.054058,0.067784,0.05141,0.076237,0.05187,0.051684,0.063736,0.06162,0.052022,1,0.20208,0.052063,0.068336,0.084027,0.085331,0.098085,0.053039,0.061888,0.057943,0.085428,0.078414,0.051926,0.05234,0.064177,1,0.05125,0.068776,0.059333,0.063211,0.088368,0.052157,0.061019,0.053157,0.071465,0.069853,0.052013,0.052355,0.061049,1,0.051944,0.062377,0.059741,0.051566,0.067891,0.052148,0.061666,0.051435,0.051391,0.059449,0.056291,0.051786,1,0.053109,0.055592,0.080558,0.05263,0.1032,0.053678,0.078025,0.095293,0.052651,0.052989,0.074866,1,0.16058,0.057684,0.11457,0.052102,0.14004,0.058815,0.05579,0.083954,0.073752,0.052582,1,0.072153,0.092499,0.056028,0.16021,0.069483,0.070106,0.093344,0.089054,0.056116,1,0.052902,0.088971,0.058398,0.10497,0.13645,0.053235,0.054,0.081808,1,0.05475,0.18106,0.065323,0.057906,0.17078,0.10315,0.057868,1,0.056852,0.14265,0.23111,0.05815,0.064626,0.25742,1,0.083321,0.069888,0.15604,0.11865,0.061388,1,0.31847,0.074624,0.076202,0.22984,1,0.064149,0.071632,0.24297,1,0.16478,0.069285,1,0.080133,1,-
1,0.32978,0.086969,0.1814,0.070002,0.27493,0.085895,0.084059,0.068428,0.054943,0.065615,0.087657,0.05471,0.056344,0.052868,0.064129,0.053019,0.052137,0.061723,0.064696,0.052835,1,0.10408,0.13875,0.081624,0.23556,0.085575,0.096612,0.065039,0.057036,0.064199,0.094969,0.055982,0.056513,0.05305,0.065332,0.053081,0.052729,0.064065,0.068627,0.05411,1,0.06882,0.15615,0.084826,0.16165,0.21872,0.05532,0.06463,0.054302,0.056475,0.067571,0.051412,0.055536,0.052802,0.062112,0.056143,0.051848,0.051805,0.054382,1,0.061005,0.20228,0.07463,0.068174,0.091601,0.053174,0.067617,0.074148,0.053347,0.055806,0.052914,0.061623,0.052431,0.052132,0.058154,0.059514,0.052666,1,0.069212,0.11159,0.19584,0.054113,0.10435,0.05305,0.058003,0.077283,0.05155,0.054676,0.053304,0.061649,0.056552,0.051888,0.051963,0.053806,1,0.1156,0.090977,0.07318,0.055153,0.079834,0.10378,0.056326,0.057802,0.052483,0.067938,0.053615,0.052165,0.061978,0.06468,0.053148,1,0.23634,0.05757,0.063086,0.062216,0.070134,0.075596,0.052318,0.055478,0.05493,0.06956,0.058118,0.051831,0.051929,0.055434,1,0.055403,0.073155,0.055458,0.06281,0.085432,0.051997,0.055675,0.053249,0.065446,0.058091,0.05178,0.051958,0.05447,1,0.05262,0.086162,0.062841,0.052154,0.075265,0.053132,0.071237,0.054302,0.051302,0.059604,0.058258,0.05212,1,0.052253,0.060899,0.11437,0.052026,0.073868,0.053792,0.069299,0.079328,0.052945,0.054472,0.057187,1,0.094654,0.053746,0.09066,0.051336,0.12661,0.062883,0.05265,0.068937,0.065567,0.051415,1,0.085911,0.067445,0.054441,0.12003,0.08342,0.071905,0.086581,0.10235,0.053632,1,0.051927,0.075249,0.057759,0.099088,0.11984,0.054939,0.058908,0.063467,1,0.052462,0.13886,0.064815,0.054179,0.10585,0.077671,0.054174,1,0.053347,0.077174,0.14392,0.054852,0.062366,0.12002,1,0.10392,0.065175,0.14278,0.12725,0.057015,1,0.17972,0.079921,0.089128,0.10739,1,0.063936,0.080716,0.12393,1,0.2631,0.069784,1,0.088702,1,-
