col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109,col110,col111,col112,col113,col114,col115,col116,col117,col118,col119,col120,col121,col122,col123,col124,col125,col126,col127,col128,col129,col130,col131,col132,col133,col134,col135,col136,col137,col138,col139,col140,col141,col142,col143,col144,col145,col146,col147,col148,col149,col150,col151,col152,col153,col154,col155,col156,col157,col158,col159,col160,col161,col162,col163,col164,col165,col166,col167,col168,col169,col170,col171,col172,col173,col174,col175,col176,col177,col178,col179,col180,col181,col182,col183,col184,col185,col186,col187,col188,col189,col190,col191,col192,col193,col194,col195,col196,col197,col198,col199,col200,col201,col202,col203,col204,col205,col206,col207,col208,col209,col210,col211,col212,col213,col214,col215,col216,col217,col218,col219,col220,col221,col222,col223,col224,col225,col226,col227,col228,col229,col230,col231,Indicator
1,0.17788,0.094737,0.16867,0.07323,0.17718,0.084662,0.078076,0.064175,0.053332,0.074149,0.077156,0.054685,0.053755,0.053801,0.055978,0.053265,0.053454,0.053753,0.053397,0.054639,1,0.1029,0.15957,0.079856,0.18762,0.088872,0.084844,0.063045,0.055096,0.074301,0.081938,0.055832,0.053944,0.055023,0.056119,0.05352,0.053188,0.053485,0.053269,0.055728,1,0.091763,0.14636,0.10774,0.17996,0.17008,0.056474,0.057652,0.062558,0.063428,0.067495,0.053668,0.053589,0.053503,0.058724,0.055911,0.054298,0.055716,0.053685,1,0.069963,0.20296,0.088188,0.07494,0.086737,0.053115,0.082232,0.075791,0.05473,0.054457,0.053769,0.055653,0.053076,0.053399,0.053539,0.053649,0.054494,1,0.080306,0.11718,0.13804,0.053908,0.072316,0.059804,0.064264,0.072164,0.052469,0.054371,0.052829,0.057162,0.056,0.052505,0.052969,0.05348,1,0.12903,0.095395,0.070582,0.055144,0.11311,0.1136,0.061281,0.056973,0.052355,0.062984,0.054752,0.053463,0.05567,0.055922,0.053132,1,0.16967,0.058332,0.057977,0.087051,0.093353,0.087414,0.054987,0.055306,0.058574,0.071336,0.062877,0.053044,0.053249,0.057442,1,0.055327,0.060695,0.066329,0.073822,0.078374,0.052871,0.054204,0.054307,0.061913,0.058212,0.052454,0.053123,0.054647,1,0.051307,0.071282,0.060128,0.052022,0.062376,0.05133,0.056951,0.052954,0.051763,0.05419,0.052687,0.051738,1,0.053167,0.05676,0.066722,0.052132,0.061242,0.052003,0.054371,0.056677,0.050947,0.051743,0.053489,1,0.16648,0.071294,0.10705,0.055323,0.14906,0.082403,0.065115,0.082996,0.073275,0.057426,1,0.11268,0.075499,0.06337,0.11686,0.094668,0.08263,0.084509,0.089616,0.064204,1,0.058083,0.10769,0.07237,0.13954,0.15317,0.064829,0.070601,0.099253,1,0.058232,0.17979,0.086652,0.066062,0.14103,0.094864,0.066006,1,0.066131,0.10933,0.14692,0.072887,0.090033,0.17346,1,0.13535,0.087821,0.18051,0.13525,0.078837,1,0.21161,0.11191,0.11019,0.17208,1,0.088791,0.10658,0.19031,1,0.23925,0.098369,1,0.12672,1,-
1,0.31212,0.10442,0.17729,0.079752,0.28941,0.094676,0.098647,0.086865,0.05702,0.09108,0.092347,0.061814,0.056763,0.058434,0.063837,0.055716,0.056804,0.059618,0.061651,0.061448,1,0.10718,0.12905,0.086046,0.23567,0.089853,0.10223,0.077506,0.058413,0.08794,0.096727,0.062582,0.056744,0.05818,0.064339,0.055551,0.056865,0.061136,0.06408,0.06167,1,0.072625,0.19134,0.098499,0.15945,0.24386,0.058186,0.079829,0.059129,0.06145,0.09264,0.052917,0.063919,0.053268,0.065741,0.066312,0.055679,0.057557,0.061208,1,0.06536,0.17638,0.076517,0.072521,0.12314,0.054901,0.093121,0.075243,0.058026,0.058001,0.055731,0.060988,0.054701,0.054982,0.056618,0.058207,0.057826,1,0.079549,0.1154,0.23978,0.056874,0.12225,0.05783,0.06101,0.11134,0.053747,0.069667,0.053797,0.063914,0.068237,0.055074,0.055312,0.061287,1,0.14915,0.11995,0.095926,0.058101,0.14818,0.14142,0.07219,0.06412,0.055293,0.075184,0.056212,0.057047,0.06455,0.065925,0.056689,1,0.27323,0.063225,0.075021,0.093423,0.10161,0.13984,0.055571,0.072815,0.058489,0.0875,0.083543,0.054105,0.054765,0.070184,1,0.059778,0.096921,0.070871,0.081639,0.15509,0.05276,0.074572,0.055098,0.076687,0.080469,0.05403,0.054751,0.067281,1,0.055536,0.10011,0.071782,0.057265,0.068808,0.057197,0.068085,0.055913,0.056051,0.059494,0.059864,0.057471,1,0.054951,0.058197,0.10606,0.051709,0.095342,0.053682,0.069585,0.080335,0.053696,0.055048,0.074406,1,0.21965,0.075605,0.12686,0.058203,0.15548,0.074351,0.066612,0.10324,0.094349,0.059445,1,0.097231,0.093786,0.062281,0.13182,0.07321,0.072927,0.10448,0.10831,0.060991,1,0.056765,0.13056,0.063426,0.1151,0.15345,0.058248,0.060103,0.10833,1,0.057083,0.14469,0.065091,0.062394,0.14019,0.11061,0.06169,1,0.059818,0.11361,0.16651,0.060898,0.065007,0.19356,1,0.072636,0.067872,0.15053,0.13106,0.063507,1,0.14592,0.064979,0.064055,0.13978,1,0.065122,0.068579,0.18766,1,0.19731,0.068506,1,0.071485,1,-
1,0.27849,0.11201,0.19909,0.061111,0.28313,0.060881,0.094801,0.057589,0.052433,0.076043,0.070316,0.053541,0.05332,0.050904,0.05873,0.050658,0.050852,0.057578,0.059216,0.051548,1,0.1395,0.1637,0.064723,0.24926,0.061001,0.10104,0.057315,0.053445,0.075374,0.075606,0.054141,0.053092,0.050801,0.060492,0.050809,0.050932,0.058967,0.062255,0.05217,1,0.085249,0.12384,0.10706,0.11265,0.2705,0.052125,0.060486,0.056539,0.053083,0.069074,0.051242,0.05256,0.051107,0.055356,0.055022,0.051991,0.052381,0.051913,1,0.059049,0.23849,0.060087,0.081055,0.069882,0.052413,0.08897,0.071381,0.052705,0.054799,0.051383,0.062536,0.050823,0.051088,0.058943,0.060964,0.051877,1,0.064481,0.084756,0.14354,0.052338,0.089787,0.054497,0.054363,0.081666,0.051014,0.053671,0.050958,0.054256,0.056375,0.05168,0.051873,0.052368,1,0.065668,0.10369,0.060484,0.05343,0.092001,0.08499,0.056083,0.053931,0.051138,0.064273,0.051576,0.051433,0.059819,0.062405,0.051997,1,0.13493,0.058147,0.061363,0.10065,0.079252,0.12756,0.051717,0.05589,0.054566,0.071233,0.067775,0.051249,0.05192,0.055382,1,0.053171,0.064449,0.05826,0.057048,0.084857,0.051221,0.053432,0.051426,0.057344,0.058432,0.051213,0.051513,0.052072,1,0.051047,0.080991,0.05958,0.052734,0.064025,0.050465,0.061173,0.052014,0.051539,0.055488,0.054769,0.050673,1,0.053407,0.053961,0.07577,0.051078,0.057713,0.050721,0.05399,0.058147,0.051046,0.051429,0.052816,1,0.13211,0.066044,0.070514,0.051887,0.10716,0.058527,0.055515,0.067566,0.06647,0.052221,1,0.085233,0.063178,0.0556,0.12577,0.067813,0.070416,0.084223,0.091513,0.053202,1,0.053207,0.082803,0.058414,0.087172,0.12763,0.052803,0.053199,0.06773,1,0.055747,0.1473,0.079561,0.061315,0.12788,0.083761,0.060503,1,0.058943,0.10762,0.20938,0.066182,0.075173,0.23506,1,0.10014,0.074009,0.18495,0.14064,0.062922,1,0.23793,0.090403,0.077734,0.15037,1,0.074573,0.080614,0.18861,1,0.33659,0.078007,1,0.08731,1,-
1,0.20655,0.065154,0.070165,0.054132,0.14073,0.068351,0.061067,0.060571,0.052533,0.095979,0.089558,0.052639,0.066363,0.052622,0.073068,0.051668,0.051925,0.064029,0.061936,0.053146,1,0.075096,0.065536,0.057463,0.12902,0.070558,0.067612,0.06088,0.053079,0.097673,0.1056,0.053839,0.069854,0.053539,0.079295,0.052509,0.051994,0.068493,0.066165,0.05507,1,0.05226,0.11051,0.063698,0.20519,0.24696,0.051016,0.078951,0.05646,0.057849,0.083837,0.052996,0.063995,0.052523,0.073307,0.069972,0.053057,0.054383,0.063113,1,0.051411,0.059639,0.052164,0.051488,0.072922,0.051064,0.058453,0.056649,0.050778,0.053489,0.051577,0.055041,0.051157,0.051033,0.053402,0.052652,0.05129,1,0.054327,0.080642,0.09482,0.050345,0.079326,0.052751,0.053494,0.063911,0.052081,0.057127,0.052258,0.059776,0.059391,0.052162,0.0523,0.056017,1,0.087018,0.063679,0.056308,0.051827,0.15348,0.10318,0.053741,0.069812,0.051255,0.078891,0.051546,0.051358,0.064834,0.062505,0.051624,1,0.21134,0.051557,0.073245,0.082924,0.0861,0.097642,0.052966,0.06433,0.058434,0.085355,0.078352,0.051899,0.052296,0.065309,1,0.050664,0.073834,0.058838,0.06329,0.094105,0.052028,0.064389,0.053003,0.073855,0.072443,0.05181,0.052309,0.063275,1,0.051768,0.059099,0.056953,0.051062,0.063845,0.052179,0.060125,0.051245,0.051336,0.057727,0.05564,0.05159,1,0.052355,0.0556,0.087473,0.052862,0.11899,0.053782,0.086837,0.1074,0.052811,0.053022,0.082608,1,0.14931,0.056688,0.11855,0.051731,0.14628,0.05817,0.055242,0.084533,0.073199,0.051924,1,0.070043,0.093521,0.05557,0.16952,0.068292,0.069504,0.092748,0.085355,0.055357,1,0.052031,0.093702,0.057366,0.10363,0.13362,0.052132,0.052588,0.082035,1,0.053538,0.20396,0.063003,0.056299,0.17565,0.10231,0.055948,1,0.05589,0.15441,0.25689,0.057852,0.064136,0.29194,1,0.083395,0.069019,0.16698,0.12099,0.059978,1,0.31027,0.071661,0.07177,0.22809,1,0.062822,0.068914,0.23996,1,0.14647,0.065418,1,0.074575,1,-
1,0.33264,0.092714,0.15694,0.069345,0.27778,0.090549,0.088219,0.062158,0.054321,0.063203,0.082883,0.054414,0.054646,0.053173,0.060165,0.052265,0.051945,0.058865,0.061189,0.053263,1,0.11439,0.12369,0.082129,0.23674,0.090083,0.10472,0.060171,0.05614,0.061611,0.089175,0.055611,0.0546,0.05363,0.061539,0.052505,0.052357,0.061204,0.064809,0.054222,1,0.068699,0.14058,0.089573,0.16196,0.23526,0.054794,0.060047,0.054532,0.056534,0.06445,0.051423,0.055515,0.052451,0.058382,0.054122,0.051713,0.051728,0.05271,1,0.059615,0.17066,0.07312,0.06731,0.076502,0.051794,0.062839,0.067733,0.052563,0.053745,0.053297,0.058207,0.052136,0.051973,0.055848,0.056563,0.052541,1,0.067893,0.097324,0.17121,0.053727,0.090811,0.052334,0.056824,0.069217,0.051907,0.053613,0.052863,0.057151,0.05381,0.051541,0.051306,0.051796,1,0.11909,0.093834,0.065651,0.054148,0.077027,0.095914,0.05564,0.056007,0.052653,0.063725,0.052915,0.051916,0.059643,0.061802,0.052888,1,0.22191,0.057038,0.058012,0.062227,0.06967,0.068949,0.052276,0.05438,0.054666,0.063236,0.054649,0.051324,0.051858,0.052873,1,0.054747,0.066749,0.05482,0.062745,0.08165,0.0524,0.055187,0.052668,0.06126,0.055919,0.051452,0.051662,0.053099,1,0.052388,0.077181,0.05794,0.051896,0.068563,0.0537,0.065724,0.053813,0.051424,0.055966,0.054723,0.05225,1,0.052241,0.059066,0.095389,0.052104,0.067864,0.05376,0.062688,0.071396,0.052617,0.053454,0.054503,1,0.087377,0.05321,0.087533,0.051291,0.12039,0.062463,0.052338,0.066357,0.063233,0.051357,1,0.085992,0.064233,0.053958,0.11398,0.084199,0.071999,0.084292,0.097263,0.053633,1,0.051857,0.07098,0.057518,0.090777,0.11049,0.055164,0.058973,0.060726,1,0.051772,0.13641,0.065625,0.053465,0.10072,0.072738,0.053632,1,0.053106,0.072345,0.13778,0.05495,0.06198,0.11538,1,0.10661,0.064291,0.14067,0.11943,0.056374,1,0.16495,0.080626,0.089094,0.097803,1,0.063816,0.081045,0.11728,1,0.24891,0.067459,1,0.086672,1,-
1,0.30922,0.10258,0.17754,0.070502,0.27697,0.099772,0.088053,0.079723,0.058211,0.10317,0.10133,0.065332,0.056093,0.05036,0.067165,0.052408,0.053079,0.056541,0.058006,0.051121,1,0.11449,0.15282,0.07849,0.28004,0.10111,0.098126,0.075796,0.060371,0.10304,0.11116,0.068784,0.055919,0.050916,0.068469,0.052532,0.053149,0.057486,0.059068,0.05068,1,0.080343,0.15073,0.11077,0.23361,0.22138,0.058729,0.078369,0.069561,0.06788,0.099691,0.052177,0.053963,0.054337,0.063592,0.063337,0.051486,0.051882,0.053953,1,0.062949,0.17005,0.083712,0.072583,0.090307,0.055146,0.097903,0.083261,0.05985,0.056243,0.050433,0.065536,0.052725,0.052873,0.055916,0.056165,0.050878,1,0.073939,0.10765,0.13687,0.053827,0.094413,0.059361,0.061925,0.088416,0.050814,0.054711,0.053246,0.058909,0.061211,0.051339,0.051699,0.053106,1,0.14559,0.10365,0.08164,0.060668,0.1503,0.1388,0.076884,0.05848,0.0507,0.076806,0.05565,0.056783,0.058393,0.059694,0.05072,1,0.22423,0.063009,0.074951,0.10854,0.10859,0.14299,0.054438,0.055884,0.066495,0.078992,0.079304,0.053011,0.052213,0.05706,1,0.058394,0.07878,0.073809,0.08062,0.12937,0.052161,0.054702,0.057927,0.067379,0.069872,0.051736,0.051893,0.054257,1,0.052722,0.096887,0.07342,0.056614,0.078597,0.051643,0.079523,0.057622,0.055661,0.063729,0.06019,0.051913,1,0.058496,0.066677,0.10075,0.051967,0.081361,0.057866,0.069947,0.084149,0.053202,0.054334,0.063325,1,0.21272,0.082246,0.097253,0.055536,0.18632,0.08214,0.076025,0.083923,0.079619,0.057131,1,0.13204,0.077882,0.06148,0.17712,0.097563,0.10785,0.087098,0.09275,0.062348,1,0.056859,0.084983,0.078845,0.11394,0.16964,0.058431,0.060174,0.075777,1,0.061404,0.19844,0.094395,0.07228,0.19254,0.11856,0.07394,1,0.069883,0.11719,0.15965,0.077113,0.093393,0.20253,1,0.17254,0.11801,0.22985,0.183,0.087358,1,0.31403,0.13578,0.13653,0.20897,1,0.091568,0.1067,0.19213,1,0.39556,0.1222,1,0.16864,1,-
1,0.45799,0.070686,0.22704,0.057508,0.42131,0.073121,0.067848,0.096334,0.053591,0.13508,0.1247,0.056512,0.069089,0.054278,0.086583,0.053746,0.053006,0.065533,0.071994,0.055248,1,0.076473,0.19006,0.060286,0.42109,0.075758,0.072642,0.093988,0.05347,0.13866,0.13962,0.057945,0.070634,0.054913,0.090715,0.054312,0.053531,0.067808,0.0753,0.05587,1,0.060202,0.16021,0.075938,0.26171,0.34744,0.053812,0.077205,0.058961,0.059306,0.1139,0.051983,0.062406,0.053681,0.08958,0.079826,0.051926,0.05239,0.067036,1,0.053995,0.20577,0.062338,0.058794,0.1172,0.052453,0.11624,0.095905,0.054593,0.070056,0.052841,0.08186,0.05279,0.052515,0.064386,0.068574,0.053934,1,0.059409,0.11787,0.18992,0.052619,0.076957,0.054562,0.05617,0.090187,0.051634,0.058392,0.052755,0.069858,0.067531,0.051371,0.05156,0.060298,1,0.087147,0.07636,0.092962,0.053301,0.16665,0.14939,0.060305,0.071069,0.053516,0.095346,0.054566,0.053534,0.067011,0.073522,0.054001,1,0.32919,0.054514,0.074528,0.072025,0.075673,0.16845,0.051826,0.06437,0.057991,0.11279,0.096584,0.051931,0.052588,0.070946,1,0.053296,0.077566,0.061629,0.064772,0.14356,0.051685,0.063138,0.05463,0.091524,0.083608,0.051878,0.051744,0.066525,1,0.052323,0.092273,0.075722,0.052985,0.082146,0.053064,0.080321,0.053149,0.052309,0.068003,0.067371,0.053152,1,0.052394,0.053624,0.10243,0.052062,0.080195,0.05273,0.070189,0.075585,0.051555,0.052328,0.068678,1,0.16843,0.06081,0.1126,0.051861,0.20563,0.064684,0.057585,0.087507,0.086636,0.052197,1,0.084545,0.079938,0.054116,0.14384,0.071988,0.071308,0.080946,0.094246,0.053686,1,0.052321,0.086715,0.058659,0.12602,0.15362,0.052444,0.053261,0.080898,1,0.052368,0.17777,0.063427,0.055151,0.20765,0.12209,0.055191,1,0.052166,0.095622,0.13618,0.053401,0.059349,0.17535,1,0.086356,0.06472,0.15877,0.14078,0.055977,1,0.2274,0.069563,0.073949,0.14933,1,0.058973,0.066578,0.16372,1,0.23556,0.062328,1,0.077799,1,-
1,0.33055,0.06096,0.22843,0.059806,0.26854,0.068684,0.064815,0.062809,0.050898,0.096418,0.097029,0.056517,0.062635,0.051334,0.071388,0.051422,0.051423,0.063076,0.064777,0.052318,1,0.07024,0.14761,0.068075,0.25806,0.07005,0.069276,0.062025,0.05137,0.10093,0.11797,0.059548,0.065419,0.05088,0.078291,0.050802,0.05097,0.067434,0.070755,0.052181,1,0.055627,0.17057,0.060135,0.1076,0.10161,0.050562,0.066638,0.051638,0.051658,0.094597,0.050171,0.066527,0.050242,0.073811,0.075134,0.051323,0.051979,0.067304,1,0.054579,0.17546,0.061322,0.056705,0.068543,0.050367,0.088248,0.078313,0.053218,0.062333,0.050932,0.066116,0.051064,0.0509,0.060754,0.06101,0.051079,1,0.05967,0.12798,0.18761,0.050586,0.07728,0.051798,0.052383,0.13078,0.050676,0.074124,0.050855,0.082831,0.08867,0.052109,0.05279,0.07444,1,0.093984,0.070953,0.062286,0.051305,0.15211,0.14601,0.063666,0.068892,0.050918,0.086212,0.05218,0.052745,0.068493,0.070931,0.051116,1,0.20685,0.051442,0.067724,0.077411,0.082371,0.24379,0.052286,0.089155,0.056872,0.13633,0.14285,0.051845,0.051682,0.09739,1,0.050562,0.070689,0.056812,0.059407,0.16863,0.050265,0.077502,0.051591,0.091945,0.098976,0.051177,0.0515,0.077852,1,0.050719,0.056867,0.059227,0.050413,0.070547,0.050628,0.060942,0.050691,0.050648,0.060764,0.059387,0.050854,1,0.050903,0.050779,0.066922,0.05029,0.088325,0.050052,0.068773,0.070009,0.050606,0.050694,0.071015,1,0.19334,0.062175,0.13315,0.052542,0.18262,0.061286,0.059369,0.10376,0.098524,0.053399,1,0.079016,0.10802,0.056443,0.22979,0.066629,0.070804,0.13278,0.14558,0.056325,1,0.052829,0.12001,0.05924,0.1671,0.23904,0.052955,0.053061,0.126,1,0.054184,0.26739,0.068217,0.060133,0.25475,0.17476,0.058915,1,0.058153,0.19308,0.24464,0.059022,0.062958,0.33312,1,0.082273,0.073014,0.34209,0.2894,0.063672,1,0.48481,0.071448,0.06807,0.36665,1,0.06463,0.065921,0.36737,1,0.54857,0.066907,1,0.069837,1,-
1,0.32116,0.071779,0.13981,0.061744,0.2396,0.08196,0.068523,0.087928,0.05269,0.13131,0.11515,0.05461,0.076568,0.05147,0.07341,0.051952,0.051712,0.070934,0.07101,0.051774,1,0.078586,0.11658,0.064723,0.23689,0.080196,0.071477,0.081684,0.054061,0.12248,0.12301,0.054993,0.075934,0.051719,0.074252,0.051594,0.051337,0.073213,0.073564,0.051674,1,0.060885,0.108,0.073378,0.13946,0.099051,0.052353,0.070222,0.05958,0.058447,0.069153,0.051373,0.058228,0.051429,0.060541,0.058422,0.052005,0.051987,0.05652,1,0.055732,0.15187,0.069024,0.059886,0.088498,0.051542,0.10732,0.085232,0.053672,0.072676,0.051276,0.069044,0.052193,0.052147,0.063892,0.063678,0.051283,1,0.063198,0.098149,0.1047,0.051568,0.090735,0.056368,0.057302,0.068445,0.051609,0.062641,0.052302,0.060833,0.061465,0.051252,0.051178,0.057916,1,0.10348,0.076264,0.084452,0.054061,0.17186,0.14346,0.05852,0.079458,0.051666,0.07986,0.052962,0.052015,0.07271,0.072624,0.051409,1,0.16194,0.055925,0.073323,0.090268,0.086021,0.10368,0.05495,0.064628,0.056716,0.085503,0.075406,0.052186,0.052116,0.066489,1,0.053053,0.067029,0.064971,0.065515,0.081911,0.052661,0.059704,0.053255,0.064709,0.062939,0.050976,0.050798,0.058051,1,0.051125,0.098742,0.080929,0.052358,0.10863,0.050857,0.08538,0.053054,0.051061,0.075903,0.07454,0.050561,1,0.05336,0.055096,0.075835,0.050668,0.10037,0.051948,0.066991,0.076651,0.051274,0.051282,0.068736,1,0.20889,0.061399,0.13789,0.052726,0.14187,0.063871,0.05723,0.095277,0.09283,0.053974,1,0.075867,0.11663,0.056264,0.16039,0.07718,0.068774,0.12444,0.12388,0.059434,1,0.054451,0.083916,0.058616,0.102,0.13208,0.05507,0.055138,0.087671,1,0.054447,0.29453,0.075687,0.061861,0.18053,0.16515,0.060502,1,0.05748,0.10861,0.18873,0.060574,0.06124,0.1626,1,0.10043,0.073269,0.23809,0.21829,0.06941,1,0.2562,0.089221,0.087573,0.21562,1,0.077429,0.078898,0.30794,1,0.8348,0.089909,1,0.092382,1,-
1,0.16192,0.06601,0.10183,0.059791,0.096292,0.062724,0.063038,0.064879,0.051425,0.059461,0.065292,0.052782,0.054959,0.050313,0.054399,0.050927,0.051318,0.055598,0.055673,0.052465,1,0.080284,0.12133,0.070779,0.15307,0.071808,0.077648,0.076825,0.053017,0.066335,0.083205,0.05499,0.059569,0.050747,0.057599,0.051534,0.051548,0.0626,0.062537,0.054126,1,0.064476,0.18323,0.072022,0.15637,0.21334,0.053706,0.066448,0.053139,0.054484,0.068616,0.051516,0.058066,0.051596,0.060156,0.05812,0.05457,0.054639,0.059101,1,0.058323,0.17953,0.070818,0.062687,0.086071,0.051067,0.073336,0.068108,0.051736,0.058503,0.050542,0.055972,0.050404,0.050714,0.056798,0.056774,0.051683,1,0.0644,0.11061,0.19657,0.052596,0.078035,0.052151,0.054521,0.07988,0.05094,0.06023,0.051586,0.058448,0.059822,0.051976,0.051847,0.058459,1,0.09427,0.076539,0.076879,0.051558,0.079229,0.08788,0.054849,0.05851,0.050624,0.056589,0.050726,0.051105,0.057846,0.057842,0.051799,1,0.21634,0.054685,0.061073,0.063719,0.077634,0.078158,0.051435,0.058613,0.051403,0.066219,0.062124,0.051626,0.051634,0.059574,1,0.052913,0.066643,0.054765,0.065345,0.091375,0.051184,0.059548,0.050742,0.061387,0.062301,0.052296,0.052112,0.059014,1,0.050628,0.10217,0.065728,0.051502,0.11164,0.050912,0.073584,0.053193,0.051347,0.065236,0.06499,0.05127,1,0.050854,0.052719,0.084379,0.05076,0.088904,0.050601,0.05911,0.072365,0.051286,0.051432,0.061091,1,0.088759,0.052784,0.13094,0.049918,0.09824,0.065437,0.053669,0.066804,0.066734,0.053317,1,0.071021,0.066782,0.0557,0.07817,0.068996,0.068158,0.079313,0.079445,0.054706,1,0.050976,0.11854,0.052809,0.074821,0.13723,0.053504,0.053657,0.07099,1,0.051243,0.20584,0.077827,0.054454,0.093126,0.092819,0.065221,1,0.055017,0.085682,0.20699,0.068319,0.068743,0.11097,1,0.11462,0.064387,0.15093,0.15018,0.088735,1,0.14282,0.086603,0.086815,0.23586,1,0.079685,0.080193,0.15103,1,0.92181,0.12288,1,0.12377,1,-
