col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109,col110,col111,col112,col113,col114,col115,col116,col117,col118,col119,col120,col121,col122,col123,col124,col125,col126,col127,col128,col129,col130,col131,col132,col133,col134,col135,col136,col137,col138,col139,col140,col141,col142,col143,col144,col145,col146,col147,col148,col149,col150,col151,col152,col153,col154,col155,col156,col157,col158,col159,col160,col161,col162,col163,col164,col165,col166,col167,col168,col169,col170,col171,col172,col173,col174,col175,col176,col177,col178,col179,col180,col181,col182,col183,col184,col185,col186,col187,col188,col189,col190,col191,col192,col193,col194,col195,col196,col197,col198,col199,col200,col201,col202,col203,col204,col205,col206,col207,col208,col209,col210,col211,col212,col213,col214,col215,col216,col217,col218,col219,col220,col221,col222,col223,col224,col225,col226,col227,col228,col229,col230,col231,Indicator
1,0.061073,0.056452,0.064863,0.058095,0.061078,0.052976,0.056753,0.054437,0.051269,0.053282,0.055298,0.050246,0.053585,0.049201,0.052255,0.049713,0.050515,0.052109,0.050687,0.052998,1,0.059175,0.066538,0.053358,0.062065,0.050454,0.053001,0.052236,0.052228,0.056403,0.057066,0.05379,0.052126,0.049948,0.052903,0.050783,0.051807,0.049952,0.052262,0.051454,1,0.066739,0.060372,0.060928,0.057247,0.05315,0.052086,0.053425,0.05445,0.054847,0.055025,0.05124,0.050651,0.054077,0.051579,0.054409,0.053184,0.051041,0.052058,1,0.057203,0.069991,0.056578,0.055085,0.060828,0.051686,0.065692,0.061534,0.05691,0.05672,0.050639,0.056245,0.055074,0.05256,0.053917,0.055462,0.051985,1,0.055407,0.052806,0.052843,0.053234,0.056357,0.053817,0.05577,0.053213,0.052834,0.051947,0.053326,0.053779,0.051436,0.052219,0.052037,0.049862,1,0.058436,0.051451,0.055195,0.054032,0.066461,0.066195,0.059397,0.056794,0.052054,0.058893,0.059355,0.054048,0.057732,0.054852,0.055773,1,0.054775,0.053628,0.050332,0.057867,0.057333,0.060094,0.053383,0.053444,0.054673,0.058468,0.054503,0.053099,0.051634,0.05535,1,0.051314,0.051694,0.053821,0.054785,0.053629,0.052458,0.052118,0.050329,0.052989,0.053049,0.050104,0.048355,0.052668,1,0.051937,0.060077,0.059372,0.055227,0.059013,0.051104,0.057864,0.055059,0.055012,0.053486,0.052354,0.052701,1,0.053875,0.055485,0.054581,0.052302,0.052651,0.050812,0.053946,0.053339,0.051158,0.050899,0.053066,1,0.084338,0.062772,0.070206,0.058143,0.078617,0.067535,0.058411,0.06045,0.064263,0.061132,1,0.067257,0.069111,0.057604,0.074331,0.066837,0.060738,0.058786,0.064936,0.061557,1,0.056186,0.057649,0.064429,0.067568,0.065575,0.055085,0.055799,0.061644,1,0.056167,0.081784,0.063974,0.06087,0.066727,0.069777,0.063162,1,0.058245,0.061186,0.059916,0.052971,0.055787,0.062643,1,0.076166,0.063167,0.070909,0.078148,0.072103,1,0.07364,0.059486,0.060785,0.080887,1,0.056869,0.057821,0.069748,1,0.070394,0.063298,1,0.068661,1,-
1,0.14818,0.11084,0.10506,0.075105,0.12981,0.065856,0.080565,0.06465,0.055013,0.066176,0.058132,0.052358,0.058933,0.053382,0.054738,0.051014,0.052389,0.054442,0.057275,0.053191,1,0.1039,0.083309,0.079983,0.11085,0.065999,0.082549,0.05902,0.053617,0.061821,0.057964,0.053077,0.053769,0.050116,0.053198,0.049818,0.050815,0.05644,0.056486,0.049923,1,0.075244,0.10099,0.085151,0.080165,0.13107,0.05536,0.069282,0.052286,0.050406,0.064992,0.052842,0.05749,0.053085,0.05292,0.054355,0.054003,0.055921,0.055355,1,0.068601,0.10255,0.066377,0.072218,0.067851,0.060167,0.063121,0.055709,0.055348,0.055969,0.05176,0.053861,0.051818,0.055561,0.054349,0.054644,0.051206,1,0.07965,0.070849,0.12989,0.05561,0.087664,0.055992,0.05528,0.065169,0.051162,0.055066,0.05068,0.052752,0.055522,0.051487,0.051629,0.053132,1,0.093821,0.11271,0.070874,0.059944,0.093464,0.073833,0.064757,0.057901,0.054177,0.05758,0.051812,0.056285,0.057581,0.058198,0.051947,1,0.13176,0.061145,0.063511,0.079553,0.066687,0.089909,0.054989,0.06501,0.056476,0.062443,0.064282,0.054935,0.051681,0.063138,1,0.058883,0.085743,0.067336,0.062028,0.08906,0.051447,0.064985,0.053737,0.057305,0.063407,0.050683,0.051803,0.059719,1,0.055733,0.062164,0.05441,0.056404,0.053551,0.051585,0.053835,0.053947,0.053789,0.05217,0.050607,0.051179,1,0.056931,0.055043,0.069139,0.05173,0.06388,0.053696,0.052682,0.060151,0.048603,0.053658,0.061597,1,0.13478,0.083439,0.075322,0.063645,0.082625,0.063858,0.067698,0.07284,0.066598,0.054583,1,0.08262,0.067177,0.061274,0.078226,0.06182,0.065253,0.068882,0.068181,0.058746,1,0.057678,0.083366,0.06186,0.06732,0.083055,0.056904,0.054407,0.077177,1,0.057643,0.07241,0.059021,0.058158,0.072245,0.067779,0.058684,1,0.059199,0.067451,0.083481,0.053047,0.054356,0.095153,1,0.059458,0.057479,0.073743,0.070537,0.060071,1,0.070129,0.056806,0.053523,0.0722,1,0.055699,0.055976,0.082126,1,0.085571,0.058956,1,0.060544,1,-
1,0.16012,0.067754,0.1224,0.058066,0.16911,0.058834,0.068127,0.07061,0.051225,0.099749,0.074324,0.05522,0.066086,0.050981,0.065685,0.048039,0.050798,0.062708,0.064015,0.048041,1,0.06788,0.11632,0.064087,0.19857,0.056825,0.068704,0.068532,0.052456,0.10231,0.083611,0.054881,0.069729,0.048445,0.068901,0.049164,0.050796,0.069061,0.064645,0.050266,1,0.06382,0.1156,0.065611,0.13423,0.21824,0.055928,0.08338,0.05316,0.052021,0.10506,0.050529,0.071525,0.051326,0.078193,0.080952,0.04957,0.048016,0.063173,1,0.055278,0.13355,0.059931,0.06097,0.092373,0.04879,0.098,0.068039,0.054022,0.069013,0.049458,0.062806,0.048237,0.049773,0.06141,0.058429,0.050047,1,0.058693,0.078373,0.12317,0.0533,0.11779,0.049579,0.050945,0.079446,0.050042,0.065804,0.050537,0.060177,0.06489,0.051349,0.051318,0.05742,1,0.061527,0.070024,0.072926,0.051136,0.13215,0.0925,0.058097,0.077743,0.049209,0.076915,0.047957,0.05189,0.071951,0.07152,0.047468,1,0.14935,0.052754,0.069259,0.066133,0.061719,0.13912,0.053752,0.085158,0.056941,0.10282,0.10941,0.052066,0.050021,0.080823,1,0.056208,0.08723,0.059468,0.055378,0.12648,0.052918,0.077505,0.0533,0.084065,0.089976,0.050282,0.051266,0.066185,1,0.050266,0.07667,0.061067,0.05302,0.077129,0.051504,0.061906,0.049565,0.050802,0.061314,0.055966,0.051128,1,0.05316,0.052256,0.083701,0.049971,0.08015,0.051097,0.063068,0.069503,0.051699,0.049675,0.064038,1,0.10896,0.064301,0.10835,0.053825,0.093004,0.057377,0.056743,0.087342,0.080718,0.051915,1,0.062187,0.084108,0.052144,0.092738,0.055906,0.057586,0.0908,0.088347,0.051937,1,0.056202,0.098278,0.05949,0.10679,0.12848,0.054568,0.053249,0.082691,1,0.055327,0.096018,0.060879,0.063148,0.11353,0.093077,0.056693,1,0.056781,0.10324,0.14631,0.057842,0.056415,0.11621,1,0.059741,0.061944,0.10953,0.09676,0.055727,1,0.15368,0.062202,0.05934,0.1083,1,0.062407,0.062357,0.12762,1,0.15439,0.06308,1,0.062554,1,-
1,0.15425,0.072092,0.074196,0.056221,0.093489,0.063571,0.058511,0.064752,0.052725,0.084224,0.072073,0.050299,0.066923,0.05474,0.071216,0.05403,0.05387,0.058715,0.058471,0.051887,1,0.072864,0.068942,0.059746,0.089859,0.059961,0.059794,0.064794,0.051858,0.087223,0.082683,0.054239,0.071171,0.054606,0.071381,0.0527,0.051606,0.060098,0.060344,0.052603,1,0.053431,0.086396,0.057701,0.10422,0.091842,0.052041,0.075016,0.05711,0.057835,0.06306,0.05237,0.05756,0.053701,0.062182,0.062404,0.050133,0.05329,0.058875,1,0.051431,0.06823,0.054155,0.052621,0.059786,0.050967,0.0665,0.059584,0.049962,0.058136,0.050732,0.05723,0.050134,0.049399,0.052888,0.053021,0.04945,1,0.054054,0.070118,0.068519,0.051871,0.073639,0.053839,0.053366,0.061435,0.055163,0.059223,0.052063,0.06101,0.058917,0.051218,0.05004,0.055697,1,0.063348,0.055786,0.059685,0.053894,0.085202,0.075928,0.053523,0.066881,0.052832,0.068855,0.051618,0.053403,0.05966,0.053361,0.049856,1,0.090891,0.051327,0.080091,0.065371,0.059936,0.077616,0.052436,0.070229,0.054306,0.081945,0.088527,0.050531,0.050792,0.073625,1,0.048483,0.064316,0.052793,0.053119,0.061065,0.052937,0.056994,0.051482,0.061709,0.065358,0.049207,0.051119,0.059493,1,0.049348,0.063873,0.058525,0.050891,0.063342,0.052426,0.058034,0.052614,0.048622,0.055239,0.054818,0.050198,1,0.05316,0.055585,0.06928,0.051557,0.083858,0.051896,0.071842,0.087113,0.051598,0.051904,0.069891,1,0.12737,0.05766,0.11278,0.056069,0.11857,0.060212,0.063248,0.075482,0.067988,0.058116,1,0.057815,0.10112,0.055574,0.12775,0.061692,0.062933,0.07586,0.071882,0.05437,1,0.053182,0.065076,0.054378,0.069791,0.082448,0.051541,0.053872,0.069875,1,0.056465,0.15285,0.065921,0.064759,0.10875,0.087521,0.064222,1,0.056627,0.09064,0.11606,0.054148,0.056003,0.12029,1,0.068436,0.067206,0.10054,0.089704,0.061904,1,0.15863,0.062007,0.060064,0.1434,1,0.061157,0.05747,0.15452,1,0.081715,0.059554,1,0.059958,1,-
1,0.15411,0.078955,0.091933,0.061474,0.11486,0.062307,0.062978,0.077781,0.053689,0.065299,0.066886,0.055924,0.0577,0.049698,0.061994,0.052952,0.054886,0.057442,0.060057,0.052293,1,0.083305,0.083439,0.062324,0.10247,0.058198,0.064867,0.072561,0.054398,0.062557,0.070053,0.055272,0.057251,0.04985,0.062021,0.050711,0.052548,0.059705,0.062323,0.050592,1,0.054086,0.098026,0.064036,0.075137,0.10486,0.053902,0.074336,0.051819,0.050754,0.068688,0.049769,0.060441,0.050395,0.055606,0.060446,0.05052,0.051162,0.055232,1,0.049818,0.089004,0.058294,0.055155,0.086724,0.051938,0.06442,0.060147,0.054682,0.059025,0.051027,0.059882,0.052622,0.05383,0.058035,0.059951,0.049931,1,0.058088,0.062596,0.086695,0.052275,0.085593,0.051346,0.054441,0.064347,0.051039,0.057841,0.049805,0.054736,0.058305,0.052577,0.054508,0.053178,1,0.070277,0.067805,0.084602,0.054664,0.069376,0.084383,0.058942,0.062099,0.05304,0.070039,0.054196,0.057178,0.063626,0.067422,0.053092,1,0.091224,0.055353,0.064372,0.056821,0.062555,0.072782,0.051843,0.066339,0.05588,0.06945,0.070573,0.055095,0.055496,0.06501,1,0.054939,0.076047,0.054,0.059054,0.081622,0.050654,0.068242,0.052473,0.061948,0.06983,0.051937,0.052576,0.058933,1,0.054613,0.070993,0.072876,0.051809,0.066469,0.053475,0.06602,0.052535,0.054997,0.061689,0.067505,0.052127,1,0.054891,0.057688,0.074322,0.054138,0.073127,0.05378,0.060773,0.069116,0.052395,0.052446,0.058804,1,0.080259,0.05693,0.061989,0.055687,0.071056,0.056302,0.056646,0.064005,0.066568,0.053852,1,0.06227,0.06536,0.058624,0.092797,0.06054,0.062748,0.081783,0.090442,0.058613,1,0.052763,0.079301,0.057085,0.070351,0.078502,0.051951,0.051696,0.069385,1,0.056312,0.073593,0.055406,0.055596,0.074173,0.072449,0.055288,1,0.057896,0.076337,0.099419,0.055242,0.058785,0.089216,1,0.063049,0.067271,0.096277,0.10788,0.056238,1,0.10353,0.062992,0.063635,0.085031,1,0.062292,0.064413,0.10805,1,0.14277,0.058136,1,0.061778,1,-
1,0.12072,0.067459,0.081892,0.053271,0.097801,0.059564,0.057996,0.074125,0.050878,0.092457,0.082415,0.055443,0.068346,0.054141,0.07884,0.052266,0.054234,0.067136,0.067822,0.053498,1,0.067051,0.079728,0.054411,0.10541,0.056376,0.057007,0.071078,0.052823,0.10563,0.099354,0.056186,0.078193,0.050929,0.0882,0.051641,0.053067,0.076378,0.074985,0.050045,1,0.056978,0.076009,0.058993,0.093299,0.08933,0.052441,0.083294,0.0553,0.054575,0.10146,0.050309,0.081378,0.052288,0.083209,0.083953,0.049198,0.052216,0.076968,1,0.050978,0.075397,0.053812,0.053956,0.069998,0.05177,0.074589,0.066367,0.05466,0.062069,0.050713,0.064836,0.051221,0.051971,0.059875,0.0621,0.052229,1,0.053675,0.063808,0.064933,0.050442,0.07153,0.054677,0.055009,0.072653,0.049701,0.062358,0.053376,0.065902,0.067435,0.051589,0.051,0.062442,1,0.056274,0.061092,0.070536,0.054033,0.10827,0.096195,0.058649,0.077735,0.053646,0.087046,0.053418,0.056457,0.071343,0.071967,0.051603,1,0.079159,0.05574,0.073113,0.062768,0.060256,0.1058,0.053946,0.077328,0.056675,0.090828,0.089111,0.051858,0.054025,0.077793,1,0.052765,0.069046,0.058195,0.056574,0.088814,0.052721,0.070478,0.054238,0.072863,0.073989,0.052169,0.052919,0.06711,1,0.05054,0.084297,0.071446,0.051437,0.078547,0.051427,0.077843,0.052434,0.050856,0.069119,0.066913,0.052707,1,0.05401,0.055261,0.097159,0.05043,0.092862,0.051893,0.083691,0.087357,0.04986,0.05204,0.079942,1,0.20741,0.067137,0.11719,0.05456,0.19842,0.061489,0.060837,0.12041,0.11287,0.054898,1,0.067055,0.10452,0.056031,0.18466,0.059019,0.062259,0.11953,0.11877,0.053782,1,0.054494,0.11398,0.060508,0.13785,0.14923,0.054725,0.054659,0.11117,1,0.055161,0.151,0.060207,0.055938,0.15905,0.12745,0.055547,1,0.057627,0.13479,0.13654,0.056068,0.059893,0.16624,1,0.06552,0.064664,0.21166,0.18725,0.056617,1,0.19237,0.061935,0.062529,0.19749,1,0.060977,0.061331,0.16016,1,0.28777,0.058946,1,0.061247,1,-
1,0.171,0.06741,0.1243,0.05656,0.2004,0.061913,0.065325,0.092673,0.052203,0.10014,0.082064,0.054842,0.078289,0.053275,0.081719,0.053361,0.050231,0.072597,0.074544,0.052853,1,0.065922,0.094508,0.061345,0.1539,0.056796,0.062279,0.07789,0.056175,0.086753,0.077899,0.054478,0.071427,0.053285,0.075779,0.051567,0.050859,0.070561,0.069704,0.051075,1,0.056686,0.10358,0.063196,0.12147,0.16154,0.054077,0.087069,0.05729,0.053861,0.10131,0.051569,0.074894,0.053766,0.079827,0.080348,0.050843,0.050861,0.076065,1,0.053801,0.11686,0.059164,0.057226,0.11316,0.05236,0.089202,0.069807,0.057316,0.077283,0.05285,0.07544,0.054772,0.050536,0.068501,0.068108,0.053034,1,0.059182,0.086105,0.10107,0.051739,0.08717,0.057802,0.053995,0.087487,0.053806,0.070608,0.052926,0.067891,0.069722,0.054489,0.051539,0.067265,1,0.067187,0.069254,0.089687,0.052924,0.13294,0.1017,0.059946,0.086404,0.05298,0.096359,0.053155,0.054362,0.079177,0.084943,0.052137,1,0.17502,0.05496,0.089241,0.068513,0.065624,0.16275,0.056049,0.09248,0.059736,0.11651,0.11251,0.052819,0.054257,0.097391,1,0.055803,0.096778,0.063565,0.060924,0.12829,0.058202,0.084966,0.057951,0.095816,0.092942,0.054013,0.055106,0.081246,1,0.054661,0.092767,0.072567,0.055856,0.10311,0.052992,0.081147,0.054186,0.0525,0.078283,0.074704,0.052855,1,0.053307,0.051981,0.10164,0.0542,0.094062,0.052714,0.081948,0.081516,0.053197,0.054678,0.081401,1,0.14073,0.070751,0.12211,0.056,0.15628,0.062572,0.06331,0.10643,0.10834,0.055555,1,0.068448,0.091931,0.05828,0.12405,0.063688,0.062683,0.095571,0.097973,0.054873,1,0.059968,0.11125,0.064492,0.13401,0.13323,0.056712,0.057744,0.11088,1,0.057212,0.12497,0.060684,0.057421,0.12191,0.10987,0.055666,1,0.058997,0.115,0.11333,0.058207,0.058345,0.12135,1,0.068231,0.063923,0.12022,0.12064,0.05672,1,0.15561,0.061948,0.060539,0.14268,1,0.05766,0.060928,0.12445,1,0.14097,0.059233,1,0.062335,1,-
1,0.26642,0.092553,0.14657,0.070816,0.21139,0.062859,0.095229,0.075772,0.057187,0.096847,0.088478,0.067345,0.067961,0.053956,0.079377,0.054954,0.051563,0.072564,0.062613,0.051796,1,0.084369,0.13623,0.075,0.20333,0.060701,0.088603,0.074603,0.057671,0.10193,0.096454,0.065371,0.067716,0.054581,0.079729,0.054782,0.052344,0.074334,0.064518,0.051692,1,0.075516,0.14642,0.089059,0.092147,0.23889,0.055495,0.068772,0.059745,0.058386,0.099719,0.051598,0.057926,0.054595,0.06835,0.065408,0.052994,0.053864,0.059345,1,0.065439,0.11779,0.059899,0.070038,0.091776,0.054455,0.091952,0.07501,0.0623,0.06494,0.053999,0.071142,0.0556,0.053389,0.063019,0.058063,0.052378,1,0.0734,0.072951,0.12507,0.056393,0.078931,0.056661,0.056146,0.087592,0.053043,0.056815,0.051534,0.059181,0.056149,0.051739,0.053074,0.052065,1,0.067578,0.10388,0.076812,0.058149,0.11891,0.10859,0.073505,0.07815,0.056035,0.091985,0.060056,0.057125,0.080662,0.067978,0.050489,1,0.14065,0.06187,0.06151,0.0827,0.079982,0.22417,0.070764,0.0918,0.077119,0.14632,0.13306,0.066125,0.05727,0.091102,1,0.059374,0.067234,0.066116,0.064442,0.14592,0.056629,0.068479,0.060372,0.082789,0.080925,0.055931,0.051902,0.065367,1,0.053544,0.097251,0.073364,0.06182,0.079284,0.054226,0.077305,0.05807,0.05876,0.066293,0.059954,0.052471,1,0.051707,0.055372,0.066437,0.051518,0.056435,0.051575,0.052601,0.055703,0.053673,0.052674,0.055985,1,0.18722,0.084884,0.13998,0.065577,0.18789,0.077643,0.07599,0.13009,0.089527,0.057426,1,0.089135,0.12385,0.068687,0.22092,0.076437,0.077978,0.15695,0.10241,0.058492,1,0.076885,0.10551,0.087588,0.16555,0.15919,0.075145,0.06038,0.098044,1,0.072043,0.16794,0.08764,0.082795,0.14405,0.09616,0.064647,1,0.072503,0.11931,0.1231,0.070993,0.059515,0.11385,1,0.088338,0.086879,0.20638,0.11477,0.062473,1,0.21125,0.080005,0.064249,0.1462,1,0.077063,0.062757,0.13024,1,0.12659,0.063667,1,0.063932,1,-
1,0.15469,0.071065,0.11675,0.055442,0.13597,0.05929,0.063104,0.086293,0.05326,0.095302,0.083116,0.055122,0.076118,0.053495,0.067662,0.051424,0.052084,0.066026,0.065782,0.052397,1,0.07202,0.10195,0.056135,0.13218,0.058104,0.062453,0.07958,0.055165,0.090824,0.088345,0.053834,0.075875,0.052949,0.069444,0.052894,0.051668,0.070869,0.070032,0.053771,1,0.056247,0.093787,0.060829,0.11177,0.14861,0.052859,0.095468,0.054626,0.055108,0.094734,0.052749,0.08038,0.051743,0.075772,0.081515,0.052426,0.051952,0.067735,1,0.055096,0.11692,0.058612,0.056635,0.095711,0.053069,0.097139,0.087341,0.055923,0.087408,0.052291,0.06792,0.053677,0.05422,0.066834,0.067419,0.049881,1,0.053825,0.073535,0.095088,0.049817,0.090019,0.051743,0.051444,0.082863,0.049586,0.072087,0.048753,0.068164,0.073,0.052986,0.051856,0.065368,1,0.057064,0.0592,0.084344,0.050684,0.10922,0.10396,0.054435,0.085139,0.052984,0.068615,0.053439,0.051235,0.068848,0.068074,0.050914,1,0.13705,0.05411,0.087544,0.057529,0.054962,0.113,0.053866,0.085685,0.051471,0.094361,0.095687,0.050816,0.049756,0.0784,1,0.051735,0.099975,0.056374,0.056045,0.12094,0.052275,0.089202,0.051407,0.083911,0.090456,0.051726,0.050584,0.074145,1,0.051079,0.09075,0.07955,0.053195,0.10015,0.051229,0.073773,0.0515,0.051948,0.074409,0.074927,0.049534,1,0.052395,0.053143,0.10035,0.050167,0.094551,0.053363,0.078842,0.087844,0.049279,0.049536,0.078883,1,0.11607,0.056758,0.11174,0.050004,0.08657,0.053784,0.054043,0.08962,0.08722,0.051434,1,0.054921,0.10703,0.051733,0.09567,0.054496,0.049931,0.10387,0.10201,0.052824,1,0.051512,0.10481,0.054209,0.10923,0.12603,0.052892,0.053263,0.092982,1,0.051339,0.11438,0.054269,0.054975,0.13926,0.13391,0.055081,1,0.054273,0.11051,0.12918,0.051869,0.052245,0.11217,1,0.057338,0.05671,0.12095,0.11692,0.055917,1,0.15165,0.055339,0.054878,0.12722,1,0.056411,0.056905,0.14488,1,0.55725,0.05848,1,0.059645,1,-
1,0.19933,0.068658,0.14736,0.058198,0.16037,0.054921,0.061371,0.087521,0.05273,0.074142,0.079238,0.053388,0.070885,0.052573,0.064231,0.052047,0.053729,0.067864,0.068558,0.052485,1,0.072527,0.14526,0.060472,0.1786,0.056021,0.064236,0.092654,0.055112,0.074084,0.084928,0.053222,0.074925,0.052297,0.063317,0.053183,0.053464,0.070308,0.070682,0.053483,1,0.061763,0.12584,0.062392,0.083484,0.11792,0.052334,0.071895,0.052685,0.052172,0.072867,0.052702,0.058889,0.050349,0.061543,0.059439,0.049875,0.050711,0.057533,1,0.055635,0.17166,0.056276,0.056914,0.11715,0.053308,0.081972,0.087893,0.052778,0.082198,0.051428,0.07041,0.053683,0.05194,0.074696,0.073965,0.05326,1,0.055978,0.075822,0.10937,0.052249,0.082739,0.05132,0.051575,0.074457,0.050722,0.060781,0.04801,0.060547,0.060002,0.049916,0.049513,0.059115,1,0.060419,0.061572,0.1038,0.055484,0.092516,0.11725,0.054449,0.093136,0.051367,0.075338,0.050759,0.055692,0.081147,0.082289,0.051658,1,0.10655,0.051559,0.070044,0.056488,0.055643,0.08536,0.052406,0.072025,0.050815,0.077668,0.070884,0.052446,0.052197,0.07288,1,0.051947,0.078283,0.053593,0.054933,0.1024,0.051292,0.071768,0.050705,0.075989,0.071927,0.048791,0.049883,0.071794,1,0.055009,0.086668,0.090656,0.04921,0.10712,0.052314,0.08043,0.049744,0.056689,0.080231,0.07839,0.048927,1,0.053281,0.053277,0.078945,0.053067,0.075718,0.054148,0.065849,0.068547,0.053267,0.053159,0.068719,1,0.11159,0.056045,0.10732,0.053154,0.091044,0.057042,0.057683,0.088237,0.087367,0.056383,1,0.062636,0.11125,0.05597,0.096675,0.060168,0.063797,0.11051,0.10954,0.054099,1,0.052575,0.095797,0.053471,0.093932,0.10525,0.054425,0.054614,0.087609,1,0.05397,0.12504,0.059178,0.05963,0.11273,0.11263,0.058273,1,0.055099,0.091513,0.10733,0.056589,0.056892,0.10039,1,0.06319,0.059967,0.12064,0.11802,0.062157,1,0.10962,0.060159,0.059328,0.14022,1,0.062541,0.064175,0.10977,1,0.60952,0.069412,1,0.06932,1,-
