col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109,col110,col111,col112,col113,col114,col115,col116,col117,col118,col119,col120,col121,col122,col123,col124,col125,col126,col127,col128,col129,col130,col131,col132,col133,col134,col135,col136,col137,col138,col139,col140,col141,col142,col143,col144,col145,col146,col147,col148,col149,col150,col151,col152,col153,col154,col155,col156,col157,col158,col159,col160,col161,col162,col163,col164,col165,col166,col167,col168,col169,col170,col171,col172,col173,col174,col175,col176,col177,col178,col179,col180,col181,col182,col183,col184,col185,col186,col187,col188,col189,col190,col191,col192,col193,col194,col195,col196,col197,col198,col199,col200,col201,col202,col203,col204,col205,col206,col207,col208,col209,col210,col211,col212,col213,col214,col215,col216,col217,col218,col219,col220,col221,col222,col223,col224,col225,col226,col227,col228,col229,col230,col231,Indicator
1,0.053718,0.057756,0.063515,0.053217,0.057061,0.052991,0.0576,0.05384,0.052867,0.055517,0.056498,0.0518,0.052099,0.05057,0.051336,0.051058,0.051965,0.051206,0.054386,0.055098,1,0.052657,0.055002,0.053082,0.055478,0.053441,0.050726,0.053235,0.05129,0.051599,0.051351,0.05163,0.051169,0.050946,0.052234,0.052529,0.051932,0.050716,0.050223,0.050388,1,0.058805,0.057499,0.060387,0.0597,0.060028,0.05127,0.05295,0.05569,0.060455,0.054843,0.050528,0.050944,0.054566,0.056474,0.057172,0.052913,0.054928,0.053737,1,0.057392,0.066912,0.055681,0.057223,0.056942,0.052777,0.057943,0.058461,0.055524,0.056205,0.050586,0.052633,0.053006,0.053297,0.050515,0.053952,0.050752,1,0.05552,0.056317,0.058669,0.052809,0.0533,0.054045,0.055849,0.05733,0.052408,0.052623,0.051878,0.056763,0.053393,0.050711,0.055633,0.052078,1,0.058737,0.060768,0.057993,0.051575,0.063242,0.06428,0.056354,0.055541,0.056608,0.056459,0.05845,0.057493,0.054818,0.052693,0.052562,1,0.06192,0.051694,0.048966,0.061513,0.059267,0.061554,0.056523,0.05292,0.06037,0.056964,0.055336,0.051708,0.053354,0.057913,1,0.052843,0.051883,0.058254,0.058742,0.060104,0.054459,0.055374,0.057413,0.056428,0.059535,0.058625,0.055916,0.053734,1,0.049719,0.057025,0.054996,0.055571,0.054136,0.051759,0.055982,0.048997,0.054509,0.053257,0.054264,0.052933,1,0.051749,0.053958,0.052884,0.053938,0.051872,0.051072,0.051342,0.051665,0.052014,0.050634,0.052615,1,0.06867,0.057419,0.062694,0.056534,0.069706,0.059687,0.060063,0.058165,0.060737,0.061537,1,0.064163,0.055829,0.054592,0.070682,0.05971,0.0624,0.057816,0.064623,0.062106,1,0.059708,0.060357,0.059729,0.057811,0.063719,0.054634,0.056951,0.059387,1,0.054331,0.064178,0.058352,0.062217,0.058586,0.058444,0.058547,1,0.054832,0.060115,0.064227,0.055193,0.058269,0.061429,1,0.066145,0.060434,0.06154,0.064973,0.05792,1,0.071362,0.058279,0.059144,0.070354,1,0.058987,0.060653,0.073481,1,0.063902,0.058671,1,0.066752,1,-
1,0.074823,0.068172,0.076923,0.059926,0.097255,0.06228,0.064079,0.057254,0.052224,0.066436,0.059411,0.055875,0.052179,0.052326,0.056751,0.051411,0.052214,0.05096,0.055625,0.05474,1,0.073309,0.060872,0.061124,0.062839,0.053153,0.055034,0.052599,0.052096,0.054749,0.052714,0.055002,0.05012,0.049421,0.051984,0.052776,0.053298,0.052597,0.050661,0.05323,1,0.058969,0.062789,0.057655,0.057645,0.069962,0.05099,0.055957,0.050484,0.052783,0.056013,0.053426,0.05589,0.053195,0.051569,0.050805,0.050024,0.050763,0.051095,1,0.056084,0.078008,0.063846,0.059736,0.060416,0.053499,0.060612,0.054001,0.054621,0.053488,0.05321,0.055125,0.053531,0.056001,0.052179,0.055232,0.054582,1,0.06198,0.058421,0.10194,0.05279,0.067395,0.05458,0.055152,0.067492,0.053841,0.055355,0.055219,0.053936,0.060209,0.054816,0.054098,0.053871,1,0.085102,0.074791,0.065617,0.056541,0.086427,0.078269,0.061116,0.05646,0.052718,0.056842,0.052831,0.053955,0.05702,0.053682,0.057437,1,0.090497,0.05777,0.062747,0.07007,0.071772,0.075578,0.054952,0.063188,0.058801,0.061415,0.059879,0.051095,0.055205,0.062639,1,0.058726,0.070799,0.06088,0.064247,0.089726,0.05523,0.060128,0.055095,0.056998,0.063097,0.053316,0.049907,0.057509,1,0.051894,0.060777,0.056977,0.056293,0.053367,0.05167,0.057115,0.053922,0.052977,0.053494,0.054026,0.053221,1,0.054442,0.056387,0.064398,0.055286,0.062338,0.052799,0.052974,0.060064,0.050601,0.052551,0.057044,1,0.13027,0.063281,0.068236,0.055964,0.070669,0.060134,0.053526,0.070432,0.061168,0.052389,1,0.068825,0.066337,0.057709,0.063735,0.058578,0.060224,0.065089,0.063511,0.05468,1,0.057174,0.065224,0.05513,0.061696,0.070121,0.051814,0.055123,0.066889,1,0.057097,0.063299,0.05796,0.060266,0.068112,0.065237,0.057201,1,0.056868,0.060875,0.062625,0.055207,0.057721,0.078849,1,0.056901,0.059059,0.067913,0.063064,0.056699,1,0.06458,0.055608,0.053517,0.070472,1,0.057048,0.056994,0.068818,1,0.075912,0.059335,1,0.05945,1,-
1,0.11892,0.063584,0.085881,0.05626,0.11879,0.054538,0.061858,0.062686,0.053227,0.072299,0.065781,0.052237,0.061159,0.051998,0.057493,0.056527,0.054352,0.063658,0.060561,0.055975,1,0.065009,0.090279,0.060723,0.13921,0.055439,0.065672,0.061655,0.058681,0.076837,0.069535,0.051578,0.059877,0.050422,0.058276,0.056242,0.054224,0.065853,0.064518,0.056919,1,0.059469,0.078638,0.06298,0.083089,0.15365,0.051089,0.055676,0.052674,0.053709,0.078474,0.054414,0.057711,0.05175,0.059822,0.065408,0.052636,0.053379,0.056248,1,0.055024,0.10716,0.0558,0.057045,0.069799,0.053111,0.074999,0.058891,0.053387,0.062426,0.050637,0.05597,0.051066,0.052392,0.057362,0.058311,0.052923,1,0.05871,0.064305,0.084338,0.054789,0.062884,0.05497,0.052225,0.061366,0.051982,0.058142,0.052805,0.05542,0.054388,0.055594,0.054515,0.056268,1,0.06056,0.062434,0.066983,0.05706,0.089585,0.074237,0.052543,0.061698,0.050963,0.065156,0.053872,0.052117,0.06384,0.062017,0.054258,1,0.094379,0.056032,0.053844,0.067322,0.059982,0.082384,0.053567,0.063379,0.05548,0.07008,0.07512,0.056431,0.054424,0.060946,1,0.053902,0.057268,0.055297,0.054202,0.090587,0.052972,0.063151,0.054906,0.068409,0.068124,0.054543,0.056307,0.057708,1,0.057434,0.067039,0.059351,0.05114,0.062353,0.051483,0.057299,0.053766,0.051899,0.056821,0.055269,0.054771,1,0.055853,0.059604,0.057594,0.05602,0.057001,0.056918,0.054996,0.055451,0.054229,0.061516,0.061679,1,0.0896,0.056062,0.075487,0.053535,0.071753,0.052919,0.057139,0.070821,0.064404,0.059575,1,0.055299,0.070653,0.050379,0.081794,0.052763,0.054515,0.075807,0.073067,0.060051,1,0.051745,0.075721,0.053614,0.070489,0.095686,0.050317,0.050481,0.058698,1,0.055153,0.073427,0.052488,0.054418,0.09245,0.075153,0.056499,1,0.0507,0.076346,0.10852,0.057406,0.053954,0.069694,1,0.060468,0.054817,0.090331,0.078858,0.057364,1,0.090742,0.057822,0.054004,0.064077,1,0.055232,0.0542,0.068741,1,0.1236,0.061524,1,0.062676,1,-
1,0.090684,0.057392,0.063293,0.056707,0.066003,0.054032,0.057043,0.056388,0.051574,0.066824,0.061296,0.055068,0.058378,0.05317,0.060191,0.054289,0.052964,0.055103,0.054766,0.053673,1,0.069395,0.062268,0.055342,0.077919,0.056084,0.057864,0.057807,0.050564,0.065806,0.059367,0.056962,0.055604,0.053106,0.058511,0.052779,0.053031,0.05803,0.05248,0.054074,1,0.057444,0.063846,0.069065,0.064263,0.064432,0.059014,0.055126,0.05818,0.055536,0.070202,0.054289,0.055214,0.055763,0.052294,0.055258,0.055191,0.049377,0.053472,1,0.05295,0.059441,0.055999,0.051631,0.054808,0.052495,0.059065,0.055862,0.052906,0.055871,0.050583,0.056809,0.055904,0.052417,0.052175,0.054973,0.054949,1,0.055234,0.059413,0.058738,0.053666,0.064013,0.054336,0.048513,0.056915,0.050473,0.052972,0.053404,0.052905,0.05473,0.05319,0.050516,0.054296,1,0.057487,0.056438,0.059361,0.051854,0.061043,0.059601,0.054776,0.054225,0.054688,0.061464,0.052151,0.055272,0.055322,0.055471,0.054967,1,0.074408,0.051395,0.064089,0.057754,0.055594,0.060746,0.053669,0.06267,0.054831,0.068463,0.070176,0.054905,0.051941,0.064005,1,0.051351,0.059032,0.052823,0.05199,0.056819,0.050049,0.052684,0.051734,0.054668,0.060532,0.050919,0.052374,0.054173,1,0.051103,0.054871,0.053895,0.054446,0.05284,0.052879,0.056346,0.052463,0.051964,0.054799,0.052632,0.052798,1,0.051017,0.05086,0.057636,0.051947,0.061401,0.048463,0.061982,0.070939,0.05321,0.051624,0.058024,1,0.096331,0.055209,0.077983,0.056238,0.090651,0.055011,0.052862,0.067571,0.054915,0.054742,1,0.055897,0.078328,0.05808,0.092751,0.060435,0.06032,0.06889,0.059789,0.056764,1,0.052547,0.057119,0.053824,0.057349,0.055604,0.055843,0.053858,0.054567,1,0.054221,0.096514,0.060866,0.058005,0.082877,0.075368,0.061814,1,0.055197,0.069134,0.08494,0.058793,0.055352,0.082885,1,0.058337,0.056553,0.087816,0.070141,0.058789,1,0.12462,0.059889,0.057632,0.1106,1,0.061109,0.053887,0.11075,1,0.066476,0.061395,1,0.057559,1,-
1,0.11269,0.066891,0.06326,0.055608,0.076068,0.052734,0.05894,0.062832,0.054079,0.054138,0.060811,0.054512,0.054123,0.049885,0.059773,0.051132,0.053161,0.054746,0.057633,0.052392,1,0.067284,0.062009,0.058179,0.080712,0.054177,0.056714,0.062463,0.054037,0.055285,0.058601,0.051835,0.053424,0.055963,0.054149,0.052083,0.05332,0.054954,0.056726,0.050238,1,0.05332,0.074674,0.059572,0.058032,0.081349,0.051528,0.05758,0.051875,0.05031,0.055607,0.052556,0.055491,0.052797,0.054599,0.054727,0.049771,0.05201,0.053554,1,0.057452,0.068327,0.060312,0.0564,0.059923,0.057318,0.05811,0.060865,0.057649,0.054926,0.055814,0.060096,0.053474,0.057124,0.056879,0.05527,0.057513,1,0.056039,0.062601,0.067196,0.04982,0.069097,0.053995,0.053701,0.064638,0.056664,0.058007,0.057598,0.056783,0.058435,0.053629,0.051347,0.056772,1,0.060715,0.057538,0.065706,0.052979,0.062238,0.06742,0.057505,0.055975,0.055631,0.059997,0.055017,0.057487,0.057652,0.061329,0.059084,1,0.076744,0.053383,0.060985,0.054955,0.057695,0.060544,0.053474,0.062201,0.060722,0.062241,0.06451,0.053567,0.053465,0.059491,1,0.053506,0.063366,0.053307,0.055761,0.062176,0.05285,0.055525,0.054913,0.057064,0.058093,0.054372,0.049788,0.053056,1,0.05175,0.058416,0.059526,0.050001,0.056686,0.050516,0.056622,0.051952,0.051457,0.057938,0.0615,0.048675,1,0.059064,0.056505,0.068824,0.05435,0.062282,0.054922,0.061959,0.065316,0.053996,0.052558,0.058128,1,0.06591,0.052799,0.062622,0.05517,0.061805,0.05557,0.055456,0.06012,0.060423,0.053624,1,0.0599,0.057309,0.054633,0.066577,0.058059,0.058544,0.063379,0.069894,0.056247,1,0.055306,0.065237,0.056168,0.064318,0.068793,0.052763,0.053296,0.062183,1,0.054854,0.07206,0.059329,0.057396,0.062258,0.063396,0.058029,1,0.057157,0.0641,0.07406,0.056082,0.059071,0.075852,1,0.05789,0.064562,0.066382,0.0659,0.060266,1,0.069076,0.057541,0.058294,0.070008,1,0.055796,0.055429,0.082516,1,0.10615,0.055157,1,0.060787,1,-
1,0.093975,0.056951,0.075247,0.055972,0.085454,0.05736,0.056252,0.063733,0.051629,0.071602,0.065714,0.052605,0.060483,0.051759,0.063963,0.052402,0.051585,0.055531,0.056997,0.055168,1,0.062042,0.066998,0.054035,0.08748,0.055126,0.057525,0.060274,0.049194,0.078227,0.070672,0.054864,0.060175,0.051662,0.073124,0.051747,0.051933,0.056694,0.059677,0.052209,1,0.053902,0.063949,0.057939,0.080232,0.077228,0.051248,0.06936,0.053435,0.052066,0.076599,0.052554,0.064025,0.051716,0.065001,0.066592,0.050642,0.051693,0.05841,1,0.056379,0.071603,0.054294,0.056119,0.06087,0.052355,0.066963,0.062312,0.051505,0.055036,0.049894,0.056575,0.051799,0.050819,0.056903,0.058384,0.052675,1,0.052581,0.06285,0.065572,0.051312,0.059315,0.05289,0.056415,0.059112,0.05327,0.052983,0.05298,0.058856,0.053112,0.055257,0.054286,0.054644,1,0.057407,0.058969,0.065942,0.053094,0.088124,0.073989,0.053384,0.057239,0.053026,0.064023,0.056015,0.053542,0.05667,0.058034,0.051994,1,0.071423,0.051827,0.061042,0.057461,0.057251,0.081751,0.052002,0.059801,0.05423,0.069008,0.071171,0.051276,0.052921,0.062128,1,0.053014,0.061729,0.05729,0.057576,0.072488,0.054721,0.059821,0.051885,0.060601,0.059406,0.052008,0.054844,0.056818,1,0.051573,0.068458,0.056852,0.051828,0.05936,0.050387,0.067643,0.052009,0.05211,0.055025,0.054162,0.053551,1,0.052257,0.051877,0.07611,0.05141,0.069934,0.050812,0.060347,0.068785,0.049862,0.049814,0.061901,1,0.13705,0.056719,0.085699,0.052926,0.11163,0.057324,0.056478,0.08196,0.07629,0.055411,1,0.05592,0.07112,0.052889,0.083264,0.059707,0.055303,0.081594,0.085194,0.05638,1,0.053266,0.087579,0.057816,0.091118,0.1125,0.053209,0.053237,0.073527,1,0.056522,0.10416,0.057445,0.054544,0.11454,0.092076,0.056555,1,0.055577,0.089867,0.10123,0.055967,0.055851,0.11503,1,0.056664,0.063082,0.11517,0.1033,0.052495,1,0.1055,0.06137,0.059975,0.13969,1,0.054375,0.054347,0.096829,1,0.23277,0.058361,1,0.061339,1,-
1,0.12094,0.057419,0.069239,0.051508,0.15001,0.055485,0.05432,0.068801,0.050186,0.071964,0.06955,0.053432,0.056829,0.050193,0.069884,0.049254,0.049073,0.062401,0.053613,0.050775,1,0.055246,0.072246,0.055747,0.10793,0.053182,0.053903,0.059094,0.052821,0.066774,0.06893,0.051664,0.05534,0.049006,0.063619,0.050954,0.049769,0.058003,0.056671,0.050563,1,0.051577,0.089604,0.05661,0.1069,0.13872,0.052823,0.079602,0.052397,0.052771,0.091315,0.048491,0.066503,0.055076,0.072782,0.074645,0.050422,0.054489,0.066695,1,0.050866,0.071087,0.05087,0.052046,0.06449,0.050116,0.068124,0.060828,0.050226,0.07182,0.048807,0.063593,0.049709,0.050344,0.056732,0.070813,0.048288,1,0.052508,0.080158,0.098916,0.051149,0.083896,0.050932,0.053442,0.083927,0.050434,0.069094,0.054169,0.06671,0.06541,0.052706,0.049817,0.065404,1,0.053614,0.052676,0.061535,0.049006,0.090875,0.081795,0.053276,0.058621,0.050769,0.0747,0.050656,0.051383,0.065738,0.05643,0.050693,1,0.16702,0.053599,0.085846,0.054361,0.057072,0.15881,0.050547,0.088571,0.051848,0.11314,0.10085,0.052385,0.052331,0.091141,1,0.054287,0.092181,0.051559,0.057292,0.12251,0.051228,0.083015,0.052314,0.093636,0.085138,0.050733,0.051343,0.079248,1,0.055307,0.060209,0.059229,0.054991,0.06054,0.052231,0.056083,0.053205,0.051459,0.06464,0.053711,0.050567,1,0.050398,0.051223,0.099215,0.051617,0.090764,0.047591,0.079374,0.075199,0.049254,0.049832,0.07771,1,0.10079,0.057207,0.067038,0.053345,0.12082,0.054838,0.054686,0.07105,0.061789,0.051491,1,0.057213,0.057952,0.052629,0.095687,0.054809,0.055384,0.075387,0.059766,0.05245,1,0.050759,0.10639,0.053468,0.13077,0.11997,0.054601,0.051634,0.10392,1,0.052177,0.070993,0.051932,0.051165,0.066545,0.09379,0.051172,1,0.052228,0.11184,0.10039,0.054051,0.054684,0.11911,1,0.055252,0.056738,0.076434,0.069293,0.052459,1,0.13629,0.05794,0.0557,0.13604,1,0.055189,0.055921,0.10758,1,0.060826,0.05633,1,0.055514,1,-
1,0.22616,0.076966,0.092998,0.060652,0.18767,0.0512,0.077363,0.056411,0.054089,0.060172,0.056458,0.055896,0.052517,0.049992,0.055209,0.052496,0.050077,0.0564,0.056839,0.049986,1,0.070015,0.085012,0.064872,0.17451,0.053719,0.071012,0.054354,0.053889,0.059429,0.058682,0.055997,0.049693,0.053265,0.057621,0.051767,0.052294,0.055504,0.055966,0.047657,1,0.060092,0.13203,0.073583,0.0602,0.20936,0.052959,0.058202,0.050878,0.051132,0.078438,0.050883,0.05361,0.050705,0.05419,0.059232,0.053097,0.051326,0.054254,1,0.054488,0.079265,0.052824,0.05597,0.067327,0.05448,0.065368,0.057819,0.051592,0.054729,0.056021,0.058463,0.053837,0.052983,0.057307,0.055083,0.055259,1,0.061424,0.058181,0.11052,0.053174,0.059961,0.049523,0.053166,0.071122,0.052239,0.052864,0.051862,0.052256,0.053774,0.050912,0.05153,0.052267,1,0.054006,0.084526,0.059079,0.055312,0.063146,0.062574,0.059241,0.053442,0.051429,0.05676,0.05241,0.05575,0.056197,0.058796,0.049536,1,0.06325,0.055034,0.057385,0.070692,0.068248,0.10406,0.062758,0.07351,0.066584,0.089724,0.072862,0.061432,0.055729,0.07428,1,0.052548,0.05967,0.055417,0.050808,0.10436,0.053755,0.054751,0.053064,0.056683,0.070467,0.050862,0.052166,0.055321,1,0.054363,0.073041,0.064496,0.058245,0.063807,0.055363,0.062512,0.05335,0.052403,0.060839,0.058174,0.053463,1,0.05689,0.059511,0.06068,0.054289,0.0551,0.056873,0.054031,0.054358,0.050314,0.051638,0.055475,1,0.13269,0.06327,0.083704,0.058676,0.089039,0.06565,0.057582,0.084196,0.068359,0.056983,1,0.067172,0.080418,0.060406,0.095139,0.068549,0.057606,0.093487,0.069198,0.054619,1,0.058585,0.06581,0.060208,0.074925,0.11924,0.055247,0.053556,0.060512,1,0.066336,0.091462,0.069203,0.05677,0.094824,0.077512,0.06722,1,0.067785,0.094782,0.069407,0.066919,0.060577,0.11599,1,0.076672,0.063388,0.10551,0.09114,0.067767,1,0.091759,0.066994,0.058422,0.11061,1,0.060082,0.053755,0.074828,1,0.099107,0.065501,1,0.066092,1,-
1,0.10984,0.05906,0.086964,0.055671,0.094324,0.057741,0.05701,0.066437,0.049428,0.07487,0.067569,0.053853,0.066834,0.053345,0.057518,0.052096,0.052777,0.059699,0.059301,0.055254,1,0.060481,0.076438,0.058044,0.09582,0.0585,0.06042,0.063039,0.052549,0.072655,0.067778,0.056565,0.061028,0.054298,0.059506,0.053569,0.052756,0.059747,0.060445,0.059206,1,0.054715,0.072395,0.05824,0.087833,0.097096,0.053042,0.071107,0.054469,0.056228,0.068045,0.048667,0.061003,0.053921,0.064045,0.064024,0.053029,0.052769,0.060862,1,0.054976,0.08546,0.059602,0.056115,0.071584,0.053019,0.077987,0.069841,0.054305,0.06922,0.055627,0.063295,0.05377,0.053844,0.062023,0.063973,0.055197,1,0.061195,0.071083,0.078605,0.054039,0.068599,0.057009,0.052898,0.069093,0.047546,0.057889,0.057775,0.060506,0.056769,0.055025,0.055519,0.061129,1,0.061815,0.060554,0.064709,0.052086,0.092939,0.081512,0.057931,0.064581,0.052145,0.061817,0.056049,0.054108,0.066166,0.063965,0.057634,1,0.096852,0.056769,0.067527,0.059162,0.058031,0.079771,0.052757,0.063419,0.054485,0.076742,0.068008,0.053089,0.053955,0.063979,1,0.053056,0.073291,0.058186,0.058024,0.072012,0.052234,0.063881,0.054686,0.0673,0.071092,0.053057,0.051894,0.058319,1,0.052306,0.067043,0.062979,0.053306,0.069167,0.052524,0.059315,0.054582,0.055529,0.060021,0.059059,0.057562,1,0.052703,0.05572,0.068758,0.050783,0.072079,0.054217,0.064622,0.069212,0.053018,0.053343,0.061128,1,0.085559,0.055856,0.075408,0.0532,0.070555,0.05712,0.053537,0.068798,0.06701,0.055438,1,0.062641,0.076999,0.05177,0.073608,0.058386,0.05376,0.076538,0.07628,0.055561,1,0.051801,0.067073,0.057131,0.072979,0.07094,0.054679,0.055994,0.073756,1,0.050835,0.076822,0.051827,0.052453,0.097006,0.096011,0.0536,1,0.054246,0.080176,0.092365,0.05271,0.053497,0.073734,1,0.064084,0.06086,0.094593,0.092877,0.059359,1,0.12577,0.05934,0.058105,0.070507,1,0.056121,0.05713,0.079095,1,0.50966,0.061417,1,0.063302,1,-
1,0.15966,0.055374,0.11107,0.055238,0.13953,0.053205,0.052361,0.080622,0.051515,0.05927,0.072947,0.053947,0.063434,0.055222,0.056339,0.054046,0.052991,0.064488,0.058462,0.051052,1,0.062729,0.10447,0.052973,0.15096,0.051422,0.053704,0.084559,0.05163,0.058192,0.076365,0.053946,0.066531,0.053021,0.055987,0.052488,0.051258,0.064743,0.057814,0.052662,1,0.052963,0.087539,0.056967,0.060216,0.069271,0.052464,0.05197,0.04971,0.051722,0.056412,0.052449,0.053947,0.053326,0.052298,0.057108,0.050376,0.052504,0.05403,1,0.054923,0.13046,0.055492,0.056543,0.097115,0.054246,0.061934,0.075928,0.055923,0.070481,0.053741,0.061817,0.056597,0.051802,0.067565,0.062187,0.053563,1,0.056249,0.062779,0.078598,0.051328,0.059477,0.055213,0.053024,0.060372,0.049327,0.054154,0.050266,0.054361,0.055184,0.050841,0.054946,0.055008,1,0.053579,0.054762,0.091888,0.05233,0.060261,0.10227,0.052204,0.082192,0.052265,0.064266,0.051954,0.054029,0.072633,0.058239,0.051132,1,0.087261,0.04977,0.061349,0.059034,0.053272,0.071681,0.050171,0.058355,0.049886,0.06582,0.057343,0.05223,0.056661,0.064559,1,0.047703,0.063892,0.055207,0.05178,0.075892,0.049051,0.058879,0.051588,0.061596,0.05736,0.050199,0.053736,0.060744,1,0.054172,0.06331,0.078082,0.052959,0.095937,0.049544,0.06502,0.050741,0.055052,0.069088,0.057257,0.051018,1,0.057588,0.052542,0.067424,0.051943,0.063645,0.053046,0.058102,0.057269,0.05178,0.058199,0.059825,1,0.065743,0.056614,0.068361,0.06114,0.059989,0.064496,0.054655,0.060995,0.081719,0.06124,1,0.053512,0.091468,0.050584,0.077998,0.052639,0.058847,0.092568,0.061407,0.049149,1,0.049546,0.074759,0.050516,0.068385,0.070076,0.051209,0.054859,0.064741,1,0.050415,0.093446,0.052959,0.055629,0.099507,0.063323,0.054409,1,0.052263,0.08111,0.064651,0.052424,0.067392,0.092149,1,0.054639,0.054462,0.088819,0.064468,0.053177,1,0.063636,0.052803,0.067035,0.10818,1,0.058902,0.05782,0.062132,1,0.090799,0.053183,1,0.072139,1,-
