col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109,col110,col111,col112,col113,col114,col115,col116,col117,col118,col119,col120,col121,col122,col123,col124,col125,col126,col127,col128,col129,col130,col131,col132,col133,col134,col135,col136,col137,col138,col139,col140,col141,col142,col143,col144,col145,col146,col147,col148,col149,col150,col151,col152,col153,col154,col155,col156,col157,col158,col159,col160,col161,col162,col163,col164,col165,col166,col167,col168,col169,col170,col171,col172,col173,col174,col175,col176,col177,col178,col179,col180,col181,col182,col183,col184,col185,col186,col187,col188,col189,col190,col191,col192,col193,col194,col195,col196,col197,col198,col199,col200,col201,col202,col203,col204,col205,col206,col207,col208,col209,col210,Indicator
0.060649,0.054289,0.058126,0.054574,0.058184,0.051629,0.054383,0.052325,0.048466,0.053801,0.055276,0.049042,0.055271,0.049778,0.052288,0.050984,0.050597,0.053953,0.052157,0.05507,0.055927,0.068512,0.050973,0.059784,0.04925,0.053336,0.049499,0.053804,0.056963,0.058339,0.052945,0.051617,0.051839,0.055493,0.051186,0.052936,0.051794,0.056053,0.051983,0.062532,0.056092,0.05787,0.057085,0.051826,0.0514,0.053488,0.05236,0.053716,0.051562,0.050551,0.051529,0.051575,0.051004,0.055414,0.05439,0.05069,0.050801,0.05665,0.067932,0.054642,0.054846,0.061598,0.050035,0.060912,0.059398,0.054314,0.055883,0.050229,0.056854,0.054629,0.052534,0.056671,0.055757,0.051621,0.051859,0.050606,0.051112,0.052561,0.052903,0.052205,0.054821,0.050039,0.049981,0.052388,0.052806,0.054209,0.050778,0.052151,0.051768,0.050068,0.056138,0.047887,0.053179,0.053811,0.064135,0.057963,0.057905,0.056298,0.054142,0.057951,0.059396,0.052739,0.054911,0.057706,0.056883,0.05401,0.052815,0.051104,0.054889,0.054233,0.059492,0.0534,0.051887,0.052214,0.058294,0.05443,0.055199,0.051107,0.057907,0.0493,0.052393,0.050131,0.053337,0.052903,0.051825,0.051773,0.04923,0.050752,0.054012,0.050212,0.046369,0.053067,0.052663,0.060925,0.0603,0.053575,0.057875,0.050303,0.057289,0.054131,0.053501,0.053643,0.053334,0.053789,0.053821,0.054637,0.055153,0.054002,0.053709,0.051555,0.054083,0.052307,0.052399,0.053016,0.054725,0.073683,0.055961,0.070915,0.058453,0.074912,0.0628,0.052933,0.05983,0.066869,0.062183,0.058227,0.066943,0.055754,0.063709,0.05983,0.053709,0.057909,0.062754,0.06001,0.055056,0.056691,0.060901,0.064294,0.05754,0.054659,0.057445,0.059703,0.053223,0.081556,0.059864,0.058078,0.063431,0.068896,0.060788,0.058517,0.059056,0.058907,0.051833,0.053943,0.06131,0.069238,0.058373,0.066212,0.074853,0.068572,0.066848,0.056956,0.057849,0.080482,0.049961,0.054646,0.062793,0.063988,0.057281,0.065399,-
0.15335,0.081384,0.093131,0.062251,0.11606,0.062773,0.061878,0.079196,0.053735,0.065629,0.068669,0.056138,0.059854,0.050135,0.061876,0.054644,0.054207,0.058598,0.061126,0.052185,0.087529,0.078559,0.065996,0.1008,0.058258,0.063564,0.078093,0.055345,0.061447,0.0706,0.055668,0.05909,0.048479,0.061809,0.053721,0.055735,0.062018,0.064612,0.051827,0.054483,0.097051,0.063022,0.07281,0.10209,0.05374,0.071895,0.049647,0.049578,0.070918,0.049701,0.060064,0.048642,0.056578,0.060615,0.048685,0.051228,0.056737,0.050043,0.088806,0.057676,0.056208,0.088361,0.052847,0.065248,0.060068,0.054125,0.058776,0.051001,0.061009,0.052085,0.053128,0.06001,0.061404,0.050981,0.056805,0.057889,0.084554,0.053166,0.091496,0.052774,0.053011,0.060734,0.049687,0.059461,0.049333,0.052081,0.057247,0.050969,0.054279,0.054187,0.06965,0.063921,0.083919,0.055881,0.06776,0.085902,0.057144,0.061911,0.052188,0.070156,0.05399,0.057765,0.065778,0.070894,0.05574,0.088235,0.056838,0.062077,0.057455,0.060288,0.069466,0.051727,0.066678,0.056609,0.065505,0.068862,0.054018,0.05629,0.067229,0.054539,0.074089,0.05278,0.05671,0.07902,0.050019,0.06824,0.051534,0.060086,0.066654,0.051186,0.05239,0.059871,0.054499,0.073058,0.074429,0.050639,0.065157,0.054287,0.064185,0.052704,0.054141,0.064135,0.068884,0.053901,0.052352,0.054304,0.073272,0.052595,0.069646,0.050475,0.058987,0.063433,0.052335,0.051588,0.056911,0.08105,0.054119,0.062064,0.053895,0.070271,0.057602,0.057736,0.062852,0.065992,0.056674,0.060153,0.065695,0.05672,0.091067,0.060888,0.062708,0.083995,0.089079,0.058847,0.052808,0.074972,0.056986,0.068081,0.076394,0.050555,0.050513,0.066396,0.056338,0.071651,0.057216,0.05623,0.073083,0.067889,0.057978,0.057074,0.076078,0.095718,0.055074,0.058785,0.089405,0.062851,0.066783,0.096286,0.1073,0.055471,0.10107,0.062637,0.062662,0.081401,0.06074,0.065368,0.10753,0.14923,0.056356,0.062882,-
0.11146,0.065552,0.075507,0.050681,0.084452,0.060652,0.058179,0.071558,0.054791,0.084377,0.079836,0.0534,0.067018,0.055036,0.076804,0.050396,0.052265,0.063975,0.064626,0.055085,0.060902,0.073306,0.051361,0.089269,0.053882,0.053797,0.06606,0.048009,0.10282,0.097237,0.053686,0.073471,0.047554,0.086099,0.049556,0.050624,0.070205,0.069185,0.046486,0.05594,0.075523,0.058672,0.099134,0.087845,0.050738,0.086935,0.05382,0.053561,0.10541,0.048826,0.084587,0.050319,0.089449,0.086712,0.048933,0.053438,0.079432,0.05119,0.067621,0.051193,0.051496,0.066987,0.054833,0.067696,0.062356,0.052859,0.060948,0.053861,0.060762,0.051223,0.052704,0.059184,0.061792,0.05285,0.05144,0.063666,0.063559,0.051651,0.074278,0.054354,0.053273,0.071769,0.049081,0.064175,0.052245,0.066991,0.067953,0.050485,0.051024,0.065389,0.057055,0.058591,0.065773,0.053007,0.092195,0.083851,0.056437,0.071286,0.052531,0.076342,0.053232,0.054819,0.064093,0.066132,0.053485,0.080689,0.055106,0.077097,0.059792,0.059142,0.11006,0.055448,0.080823,0.056335,0.092953,0.091111,0.050843,0.054506,0.080556,0.050878,0.068409,0.058714,0.057109,0.086622,0.052744,0.071302,0.052844,0.073815,0.074225,0.051618,0.051758,0.065917,0.051656,0.087241,0.068823,0.050767,0.075638,0.050347,0.074472,0.050754,0.049836,0.064994,0.062954,0.051623,0.051883,0.052244,0.10232,0.051188,0.10067,0.048357,0.095117,0.096221,0.04964,0.052882,0.09147,0.19323,0.062227,0.1141,0.052321,0.19309,0.059304,0.057275,0.11446,0.10583,0.053616,0.062389,0.097837,0.053415,0.16916,0.055397,0.058173,0.11166,0.10617,0.050522,0.055725,0.11306,0.055274,0.1365,0.14647,0.053574,0.055105,0.10954,0.052831,0.1491,0.057061,0.054565,0.14871,0.11569,0.052717,0.053333,0.13729,0.13692,0.053662,0.057161,0.17555,0.05846,0.058728,0.20149,0.17302,0.05342,0.18535,0.05503,0.057884,0.19914,0.057773,0.055462,0.16081,0.2536,0.055157,0.057576,-
0.17852,0.067902,0.13034,0.058737,0.21051,0.062005,0.066187,0.092499,0.052041,0.098577,0.082995,0.055152,0.07892,0.053785,0.083806,0.053634,0.05092,0.075194,0.077137,0.053861,0.065881,0.099808,0.062898,0.15385,0.057645,0.061703,0.074069,0.054969,0.084594,0.07787,0.056672,0.07199,0.051501,0.077824,0.052755,0.052445,0.069927,0.0682,0.053172,0.057384,0.10868,0.063234,0.13211,0.17754,0.052421,0.091672,0.056367,0.053131,0.10751,0.053585,0.08099,0.054778,0.085244,0.089273,0.051525,0.052223,0.083811,0.053228,0.12302,0.059502,0.058149,0.11994,0.052995,0.087665,0.068984,0.058693,0.076312,0.05183,0.075886,0.054417,0.050871,0.069017,0.068183,0.050913,0.061759,0.098902,0.10913,0.050247,0.095945,0.059904,0.052012,0.095353,0.055574,0.080672,0.05384,0.075768,0.07765,0.05526,0.054398,0.073275,0.069067,0.070131,0.092455,0.056533,0.13306,0.10275,0.061596,0.086074,0.052869,0.10054,0.053648,0.05632,0.080804,0.088689,0.052279,0.19231,0.05512,0.098291,0.068569,0.067005,0.17273,0.055224,0.10014,0.05971,0.12678,0.12595,0.053545,0.055333,0.10531,0.054331,0.10477,0.064234,0.061276,0.1338,0.059049,0.090555,0.05914,0.10559,0.10539,0.055198,0.053074,0.089382,0.054254,0.092504,0.072275,0.055921,0.10189,0.051407,0.079712,0.052954,0.051897,0.075962,0.072786,0.050916,0.055723,0.052018,0.111,0.056038,0.10478,0.056182,0.092165,0.090192,0.055799,0.056134,0.090667,0.14382,0.069906,0.12657,0.056281,0.17052,0.063403,0.06556,0.10824,0.11439,0.055784,0.066922,0.092969,0.057448,0.13153,0.063582,0.064137,0.094713,0.10083,0.052819,0.060987,0.12169,0.065916,0.1474,0.14761,0.057381,0.060721,0.12,0.057587,0.12909,0.061197,0.058675,0.12258,0.11146,0.05508,0.05946,0.12511,0.12366,0.059363,0.056893,0.1363,0.069013,0.065636,0.12515,0.12816,0.059509,0.17078,0.066156,0.063175,0.15182,0.058863,0.063037,0.13095,0.14527,0.058605,0.062281,-
0.26859,0.09827,0.15162,0.076752,0.2044,0.065651,0.10351,0.074839,0.057881,0.096083,0.089237,0.070891,0.064287,0.052686,0.080781,0.055897,0.052179,0.073278,0.057392,0.052522,0.091007,0.1422,0.080733,0.19678,0.061822,0.093795,0.074552,0.058073,0.1012,0.093935,0.06744,0.064685,0.0551,0.079836,0.056404,0.051062,0.075019,0.058345,0.053213,0.081239,0.15446,0.091863,0.092839,0.24082,0.057861,0.066795,0.059648,0.057764,0.10093,0.0498,0.057288,0.055213,0.068929,0.059785,0.051626,0.051017,0.058724,0.069182,0.1208,0.062635,0.074834,0.092387,0.055045,0.092591,0.073758,0.064651,0.064826,0.054398,0.071336,0.056423,0.052525,0.063225,0.056406,0.054234,0.079024,0.073196,0.12513,0.057369,0.078115,0.056372,0.05258,0.086251,0.052268,0.056035,0.051548,0.061018,0.053126,0.0478,0.052906,0.050999,0.069698,0.10821,0.075185,0.05722,0.12223,0.112,0.077993,0.076674,0.056651,0.090848,0.06061,0.056618,0.079441,0.056756,0.050801,0.14488,0.064158,0.061918,0.082176,0.079746,0.217,0.068715,0.089203,0.075158,0.14527,0.1194,0.06652,0.053794,0.085308,0.063476,0.065987,0.067574,0.064605,0.1494,0.05624,0.069506,0.061761,0.086202,0.079398,0.056528,0.048134,0.062932,0.05247,0.090683,0.067883,0.061453,0.073009,0.054071,0.070428,0.058902,0.05897,0.060138,0.055415,0.05223,0.052398,0.054582,0.067192,0.052221,0.059397,0.051755,0.05278,0.055544,0.053123,0.05308,0.055411,0.17962,0.088524,0.14178,0.064941,0.18532,0.079827,0.077264,0.13204,0.071169,0.058465,0.092265,0.11527,0.069627,0.22276,0.07656,0.076503,0.15656,0.080242,0.059112,0.076526,0.10423,0.087565,0.16847,0.14639,0.075133,0.056442,0.090626,0.069906,0.16175,0.089078,0.08108,0.13914,0.07961,0.06398,0.071383,0.11502,0.10904,0.06882,0.052723,0.10516,0.090785,0.086336,0.20389,0.082971,0.060945,0.19673,0.077875,0.060031,0.13207,0.075859,0.056456,0.11222,0.080676,0.061691,0.064428,-
0.1634,0.079154,0.10686,0.058272,0.13621,0.060566,0.06737,0.078039,0.055229,0.088173,0.080508,0.054511,0.071483,0.055189,0.06255,0.050295,0.053608,0.060678,0.061426,0.053675,0.079995,0.10319,0.058941,0.14093,0.061986,0.068996,0.072219,0.05706,0.087056,0.086108,0.054722,0.069487,0.05487,0.065048,0.055084,0.052566,0.066511,0.065264,0.05351,0.055509,0.10064,0.065214,0.11648,0.16651,0.052225,0.10131,0.054534,0.053702,0.10279,0.052544,0.086051,0.05121,0.075538,0.082344,0.053869,0.053139,0.067546,0.055745,0.11674,0.061753,0.05741,0.089187,0.055581,0.08965,0.084785,0.056604,0.077922,0.050304,0.062653,0.055183,0.055341,0.058627,0.060701,0.050657,0.056316,0.077763,0.10657,0.050211,0.1003,0.053608,0.052143,0.088874,0.047095,0.076582,0.047354,0.072485,0.078805,0.052779,0.050669,0.065736,0.057184,0.062504,0.079227,0.051459,0.10811,0.10153,0.055811,0.079473,0.054215,0.062564,0.052317,0.052973,0.064032,0.064331,0.05288,0.14949,0.055426,0.093414,0.059459,0.053797,0.12019,0.052621,0.087368,0.051882,0.095109,0.10067,0.05019,0.049699,0.080971,0.051816,0.1099,0.059921,0.05628,0.13205,0.050732,0.094365,0.05184,0.08964,0.094834,0.053643,0.053728,0.076289,0.050139,0.082429,0.07275,0.051027,0.090135,0.050804,0.064161,0.051322,0.051929,0.067945,0.067707,0.048789,0.05419,0.052667,0.10905,0.048028,0.10021,0.052926,0.080701,0.090141,0.049695,0.049396,0.077816,0.11752,0.060242,0.10506,0.052488,0.076135,0.054957,0.054564,0.080299,0.078664,0.053962,0.054003,0.10426,0.052605,0.086805,0.053172,0.049283,0.096541,0.094002,0.052309,0.050481,0.11183,0.052747,0.1154,0.13147,0.05314,0.053949,0.095752,0.051995,0.10174,0.053858,0.054544,0.12414,0.11693,0.058648,0.052004,0.11206,0.13653,0.05298,0.052822,0.11569,0.055615,0.057299,0.10041,0.095663,0.056111,0.16116,0.055323,0.054198,0.13503,0.057768,0.057507,0.15211,0.51038,0.062942,0.063146,-
0.24495,0.080355,0.17496,0.064238,0.18472,0.057319,0.071702,0.097297,0.052537,0.081454,0.088235,0.057033,0.080146,0.054262,0.073254,0.052414,0.053824,0.072718,0.074143,0.052059,0.084875,0.16659,0.064634,0.20133,0.060335,0.072532,0.10092,0.05801,0.083626,0.095033,0.056434,0.084969,0.053446,0.07197,0.054204,0.053837,0.076497,0.076977,0.053984,0.068308,0.13098,0.06637,0.084372,0.12713,0.052878,0.070243,0.055248,0.055287,0.07374,0.054833,0.059948,0.054238,0.064463,0.06039,0.054444,0.054626,0.056364,0.060499,0.19324,0.06222,0.06383,0.12148,0.056636,0.090625,0.094407,0.056627,0.092382,0.054123,0.078662,0.057902,0.056651,0.084141,0.082795,0.057453,0.060419,0.075353,0.1154,0.052394,0.084016,0.053562,0.05457,0.073263,0.052193,0.061978,0.050188,0.060457,0.060024,0.050653,0.051709,0.057733,0.064436,0.067446,0.11381,0.058046,0.1037,0.12492,0.05585,0.10918,0.050917,0.084358,0.053322,0.058892,0.08974,0.090353,0.052251,0.10195,0.05279,0.071631,0.057775,0.056106,0.084666,0.055528,0.073025,0.052795,0.078035,0.067124,0.053839,0.054186,0.075223,0.054432,0.075936,0.055357,0.056631,0.10167,0.053797,0.073115,0.055683,0.07605,0.071136,0.049648,0.050818,0.069386,0.057349,0.099762,0.099044,0.049485,0.12057,0.050713,0.09107,0.049972,0.0602,0.088636,0.086734,0.050496,0.056458,0.056773,0.076678,0.0574,0.076374,0.059046,0.066378,0.067454,0.056393,0.056389,0.067334,0.11897,0.057678,0.12074,0.054638,0.098482,0.057308,0.061828,0.098122,0.098716,0.058836,0.063952,0.12671,0.056473,0.10664,0.06168,0.06738,0.11987,0.11884,0.055774,0.056543,0.097581,0.054229,0.093346,0.099798,0.055818,0.056675,0.086744,0.055227,0.13236,0.05864,0.06297,0.13007,0.12812,0.061419,0.058662,0.095923,0.10264,0.058604,0.058671,0.10404,0.06274,0.061538,0.13273,0.12918,0.060251,0.10554,0.061986,0.0603,0.1403,0.064345,0.065411,0.10064,0.60054,0.072501,0.071621,-
0.24725,0.13185,0.12584,0.076035,0.13824,0.087196,0.12567,0.073838,0.060591,0.088858,0.078202,0.069002,0.066387,0.053436,0.071339,0.056287,0.056306,0.058709,0.0634,0.053237,0.14223,0.12365,0.079462,0.14235,0.08247,0.12579,0.069366,0.060196,0.084694,0.079423,0.066604,0.066897,0.05243,0.071522,0.053273,0.053727,0.059692,0.061608,0.050447,0.093374,0.093776,0.096968,0.11376,0.16792,0.061292,0.072644,0.059853,0.056804,0.086089,0.054919,0.062716,0.053526,0.066271,0.069152,0.05491,0.051793,0.058039,0.069036,0.10403,0.071587,0.088417,0.067509,0.06044,0.073768,0.065392,0.06107,0.064613,0.052516,0.062791,0.051013,0.053238,0.053996,0.05748,0.050237,0.067642,0.074213,0.088369,0.051862,0.068755,0.055986,0.057875,0.06578,0.05743,0.056276,0.052056,0.060091,0.060095,0.054051,0.051948,0.055172,0.08326,0.10239,0.07105,0.059929,0.094134,0.081036,0.063179,0.067935,0.052032,0.072004,0.056695,0.054614,0.059068,0.061706,0.052968,0.17172,0.064015,0.096671,0.082324,0.080101,0.18274,0.064348,0.093233,0.07137,0.12188,0.12564,0.060088,0.059635,0.092192,0.06275,0.084175,0.072317,0.069467,0.1219,0.057145,0.073421,0.061154,0.078632,0.083495,0.054089,0.055837,0.069676,0.051376,0.077205,0.066968,0.058491,0.066482,0.048844,0.06456,0.051182,0.051098,0.059561,0.059885,0.050155,0.054713,0.060353,0.10609,0.052835,0.08889,0.056077,0.082039,0.090216,0.052701,0.054391,0.073625,0.17418,0.075619,0.12399,0.058293,0.16978,0.067871,0.068043,0.094708,0.088429,0.060973,0.077871,0.12545,0.060635,0.19616,0.072631,0.076022,0.11692,0.11682,0.065812,0.064947,0.11491,0.074815,0.14126,0.16607,0.061939,0.06403,0.10537,0.057891,0.17899,0.068823,0.071402,0.12846,0.11316,0.063803,0.063837,0.13159,0.16094,0.061772,0.065933,0.1353,0.076997,0.078283,0.16067,0.14948,0.070009,0.2188,0.066928,0.068469,0.1565,0.068306,0.067718,0.15993,0.1587,0.070272,0.07001,-
0.20704,0.1082,0.07637,0.063749,0.10887,0.067548,0.06239,0.054812,0.053489,0.072763,0.075556,0.056573,0.055143,0.050706,0.062708,0.051756,0.05492,0.056971,0.053422,0.04861,0.12337,0.072356,0.067625,0.11285,0.068308,0.062592,0.055183,0.052087,0.077171,0.079474,0.059647,0.056475,0.050286,0.066562,0.052087,0.056866,0.056914,0.055567,0.051412,0.063523,0.081424,0.079285,0.10277,0.088413,0.053367,0.057928,0.059689,0.059005,0.069655,0.054456,0.053309,0.057885,0.056796,0.069348,0.05161,0.051378,0.057411,0.057447,0.065976,0.062676,0.054623,0.059359,0.053526,0.06098,0.056391,0.052902,0.052434,0.050137,0.054934,0.053331,0.054333,0.049979,0.05281,0.050107,0.06081,0.072977,0.066934,0.049092,0.061163,0.057873,0.057858,0.062122,0.052285,0.052327,0.053958,0.054864,0.060892,0.049997,0.051091,0.054621,0.068404,0.060656,0.055757,0.056608,0.086986,0.09188,0.058597,0.062518,0.049652,0.069795,0.053822,0.05306,0.05469,0.0576,0.051546,0.093072,0.053075,0.064548,0.067836,0.06491,0.10058,0.055023,0.065758,0.056038,0.076729,0.11384,0.051714,0.048777,0.069585,0.046816,0.060007,0.055048,0.054969,0.070128,0.050227,0.054663,0.053231,0.059417,0.068234,0.052941,0.049314,0.054629,0.048812,0.056637,0.055511,0.048649,0.055029,0.050587,0.055236,0.048331,0.046926,0.05248,0.051172,0.050168,0.055737,0.054763,0.072756,0.051876,0.058535,0.051633,0.055262,0.074746,0.049699,0.051709,0.06044,0.13017,0.063855,0.070729,0.057087,0.10778,0.060349,0.062178,0.072007,0.068308,0.053701,0.071075,0.070254,0.054749,0.12362,0.058613,0.065906,0.083502,0.086668,0.055185,0.05162,0.064927,0.062469,0.072486,0.11355,0.05563,0.056412,0.075575,0.04962,0.07857,0.051864,0.056091,0.072056,0.069719,0.055159,0.051402,0.063076,0.090785,0.053046,0.05823,0.096856,0.058078,0.067909,0.10121,0.095779,0.05671,0.095025,0.057573,0.055479,0.080847,0.063918,0.060801,0.13853,0.11792,0.059835,0.060295,-
0.11176,0.08714,0.093606,0.063775,0.11652,0.061511,0.069128,0.061089,0.052961,0.067709,0.059035,0.050242,0.057887,0.052027,0.05602,0.051466,0.052719,0.054813,0.058013,0.055033,0.087637,0.070851,0.067461,0.096579,0.06465,0.071604,0.05719,0.050616,0.062744,0.05805,0.053476,0.054074,0.050166,0.053288,0.049773,0.051126,0.055832,0.057093,0.052003,0.063056,0.080718,0.076621,0.076607,0.11962,0.056569,0.066688,0.050113,0.050409,0.067663,0.051915,0.057722,0.051622,0.055586,0.054683,0.051372,0.054691,0.055889,0.059798,0.090746,0.060621,0.061703,0.067678,0.056146,0.062922,0.055787,0.052825,0.056365,0.050696,0.053159,0.051595,0.053027,0.052229,0.055588,0.050256,0.067374,0.063563,0.11404,0.052317,0.080355,0.054008,0.051845,0.064599,0.048734,0.056381,0.049361,0.052915,0.053175,0.049374,0.049318,0.051423,0.080767,0.094545,0.070998,0.05436,0.09798,0.071319,0.062199,0.05733,0.056387,0.05638,0.051233,0.05553,0.059037,0.060245,0.053437,0.11407,0.060282,0.059223,0.073477,0.064104,0.082923,0.054872,0.066079,0.05436,0.06262,0.0623,0.050965,0.049704,0.065054,0.056081,0.085309,0.063549,0.059297,0.089882,0.049796,0.069262,0.052074,0.057202,0.063976,0.048431,0.050924,0.059891,0.053764,0.063769,0.053515,0.057854,0.053248,0.053699,0.056137,0.052975,0.053697,0.052714,0.04925,0.053045,0.056016,0.054926,0.065805,0.050973,0.065356,0.053444,0.052541,0.060906,0.047939,0.054447,0.06335,0.11985,0.075087,0.071258,0.062782,0.075308,0.060885,0.063248,0.071496,0.065159,0.052606,0.076421,0.066634,0.059786,0.074978,0.059709,0.061124,0.064463,0.065866,0.058227,0.055688,0.08477,0.059097,0.066765,0.076298,0.055956,0.052628,0.07438,0.055285,0.068804,0.055491,0.05512,0.067355,0.06402,0.056629,0.057147,0.065504,0.081511,0.053091,0.052815,0.097593,0.058669,0.052027,0.068883,0.067139,0.056358,0.067673,0.053459,0.052397,0.070557,0.053737,0.053649,0.079941,0.073091,0.053801,0.057155,-
