col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109,col110,col111,col112,col113,col114,col115,col116,col117,col118,col119,col120,col121,col122,col123,col124,col125,col126,col127,col128,col129,col130,col131,col132,col133,col134,col135,col136,col137,col138,col139,col140,col141,col142,col143,col144,col145,col146,col147,col148,col149,col150,col151,col152,col153,col154,col155,col156,col157,col158,col159,col160,col161,col162,col163,col164,col165,col166,col167,col168,col169,col170,col171,col172,col173,col174,col175,col176,col177,col178,col179,col180,col181,col182,col183,col184,col185,col186,col187,col188,col189,col190,col191,col192,col193,col194,col195,col196,col197,col198,col199,col200,col201,col202,col203,col204,col205,col206,col207,col208,col209,col210,col211,col212,col213,col214,col215,col216,col217,col218,col219,col220,col221,col222,col223,col224,col225,col226,col227,col228,col229,col230,col231,Indicator
1,0.10224,0.0541,0.1092,0.052063,0.10455,0.052565,0.051522,0.065373,0.05033,0.070866,0.07306,0.0505,0.057647,0.050321,0.058509,0.051044,0.05045,0.058181,0.061082,0.05054,1,0.055199,0.10568,0.051631,0.11093,0.052466,0.05169,0.06607,0.050737,0.073734,0.079539,0.049903,0.059013,0.049778,0.060416,0.051475,0.051245,0.059573,0.062482,0.051576,1,0.053695,0.090998,0.054853,0.091627,0.084812,0.050903,0.063217,0.05066,0.050344,0.065325,0.050733,0.059767,0.050277,0.060009,0.057812,0.051175,0.052111,0.059422,1,0.051118,0.12563,0.052731,0.051882,0.088273,0.050499,0.0814,0.077612,0.050295,0.062763,0.050623,0.062749,0.05102,0.050338,0.060161,0.062915,0.051109,1,0.052551,0.078314,0.082004,0.049905,0.070756,0.0507,0.051324,0.068325,0.050509,0.063222,0.050227,0.059677,0.058927,0.05111,0.050563,0.060336,1,0.058207,0.053512,0.070256,0.05038,0.10339,0.10141,0.050597,0.063917,0.050266,0.066127,0.050608,0.049922,0.062023,0.06465,0.050465,1,0.08632,0.05069,0.060668,0.056208,0.056204,0.076217,0.050561,0.063635,0.050953,0.06909,0.063646,0.05075,0.050109,0.064119,1,0.050863,0.061396,0.051058,0.052697,0.068278,0.051082,0.059935,0.050116,0.061643,0.059058,0.050811,0.050351,0.05946,1,0.050257,0.068001,0.064814,0.050679,0.066337,0.050872,0.063368,0.050308,0.050673,0.061596,0.060805,0.050496,1,0.050843,0.051002,0.066287,0.050172,0.067422,0.050259,0.061415,0.060977,0.04983,0.050777,0.061508,1,0.12932,0.053682,0.092182,0.050067,0.11006,0.054213,0.052747,0.081567,0.080031,0.051503,1,0.058756,0.076689,0.051578,0.10021,0.056131,0.0546,0.082142,0.087797,0.052231,1,0.052023,0.089126,0.052851,0.097955,0.097336,0.051246,0.052304,0.08868,1,0.050781,0.11391,0.055929,0.053016,0.11724,0.093636,0.053285,1,0.05233,0.096793,0.10113,0.053145,0.053822,0.12408,1,0.062868,0.056235,0.11988,0.10762,0.054508,1,0.12073,0.059184,0.059026,0.12984,1,0.05566,0.057241,0.12118,1,0.14768,0.058321,1,0.059437,1,-
1,0.16149,0.050806,0.1374,0.050837,0.11314,0.051452,0.05082,0.058554,0.049919,0.077178,0.093178,0.051099,0.085152,0.050708,0.089385,0.050472,0.050765,0.084272,0.082224,0.050318,1,0.053729,0.10665,0.052887,0.12045,0.051611,0.050835,0.062416,0.050616,0.091681,0.13241,0.05148,0.10983,0.051003,0.12189,0.050501,0.050816,0.1145,0.11268,0.051243,1,0.050778,0.15046,0.051006,0.1079,0.081799,0.050703,0.070945,0.049851,0.051305,0.09558,0.050152,0.087802,0.05109,0.10079,0.099627,0.052089,0.052535,0.092855,1,0.050004,0.11999,0.050904,0.050648,0.062771,0.049943,0.0731,0.089454,0.04999,0.084461,0.049535,0.086367,0.050195,0.050179,0.083868,0.082109,0.049697,1,0.051456,0.17603,0.14888,0.049764,0.081934,0.050021,0.052652,0.15434,0.0504,0.11819,0.051535,0.14898,0.15033,0.051414,0.052088,0.12873,1,0.054481,0.052398,0.059667,0.050977,0.12756,0.16728,0.051839,0.12576,0.050869,0.14684,0.051179,0.051189,0.12009,0.11476,0.051362,1,0.20351,0.051061,0.084984,0.054305,0.056301,0.31708,0.051385,0.18809,0.052758,0.34567,0.337,0.051856,0.052592,0.22943,1,0.050151,0.07723,0.050491,0.052878,0.17171,0.050564,0.12066,0.050771,0.15415,0.15934,0.051381,0.052395,0.13149,1,0.050037,0.054449,0.061233,0.050145,0.068677,0.050425,0.060534,0.050392,0.050309,0.064955,0.063679,0.050215,1,0.050945,0.051689,0.075516,0.050453,0.10213,0.051291,0.088171,0.086781,0.051488,0.051627,0.089797,1,0.17774,0.05067,0.15725,0.050679,0.20625,0.051186,0.050489,0.12399,0.1113,0.050228,1,0.057084,0.21525,0.051464,0.39213,0.053264,0.054009,0.25432,0.24891,0.051765,1,0.051118,0.16617,0.052661,0.26021,0.3388,0.051676,0.052886,0.19713,1,0.050234,0.33175,0.051705,0.051492,0.29226,0.21866,0.050951,1,0.050928,0.26744,0.29532,0.051435,0.051788,0.39816,1,0.052398,0.052421,0.38233,0.31442,0.052022,1,0.55712,0.052158,0.053011,0.4481,1,0.05202,0.053189,0.44334,1,0.52366,0.052162,1,0.052818,1,-
1,0.19437,0.051035,0.112,0.051051,0.14864,0.05238,0.051009,0.080281,0.050382,0.12868,0.15225,0.050701,0.1253,0.051056,0.12416,0.050768,0.050956,0.13864,0.13903,0.050989,1,0.051528,0.092715,0.051362,0.1416,0.052096,0.051551,0.081359,0.04995,0.12862,0.16176,0.05067,0.12834,0.05016,0.12816,0.050333,0.049719,0.14914,0.15052,0.050364,1,0.05118,0.07107,0.050299,0.09239,0.079122,0.050022,0.060643,0.050682,0.050893,0.06264,0.050472,0.06696,0.050435,0.074271,0.074951,0.050664,0.050653,0.072528,1,0.051447,0.11496,0.053472,0.050921,0.071658,0.051074,0.095612,0.091724,0.051666,0.087621,0.050666,0.082044,0.051126,0.051164,0.087007,0.086655,0.051598,1,0.051021,0.071399,0.074047,0.050956,0.065562,0.051349,0.051302,0.056668,0.050483,0.061048,0.050944,0.064296,0.065838,0.050827,0.050801,0.064259,1,0.054862,0.051777,0.077736,0.05098,0.14067,0.15462,0.051003,0.12113,0.050786,0.12272,0.051575,0.050637,0.12975,0.12954,0.050408,1,0.099016,0.052066,0.07504,0.056865,0.054561,0.10586,0.051969,0.091208,0.052426,0.1594,0.15195,0.052186,0.052104,0.1341,1,0.050703,0.056873,0.051481,0.050791,0.066372,0.051015,0.064525,0.051173,0.073626,0.074584,0.051163,0.051087,0.071854,1,0.050513,0.089681,0.089867,0.050305,0.098502,0.051273,0.088037,0.052126,0.051419,0.093493,0.093145,0.051111,1,0.050095,0.051033,0.066188,0.050438,0.085285,0.050444,0.077591,0.082968,0.050746,0.050658,0.080712,1,0.2267,0.051686,0.1869,0.050684,0.18297,0.052324,0.051256,0.16881,0.16646,0.051688,1,0.053892,0.20537,0.05058,0.23735,0.052288,0.051955,0.26827,0.26999,0.051895,1,0.050591,0.069186,0.050643,0.10232,0.11969,0.051243,0.051235,0.094081,1,0.050551,0.24113,0.051596,0.051022,0.25316,0.24262,0.051064,1,0.050312,0.10693,0.13873,0.049843,0.05028,0.13182,1,0.052408,0.051463,0.27978,0.27076,0.051577,1,0.24567,0.051426,0.051431,0.21319,1,0.051355,0.05152,0.27281,1,0.76069,0.051796,1,0.052233,1,-
1,0.12382,0.053155,0.083301,0.051039,0.095472,0.052721,0.051676,0.065564,0.051089,0.07275,0.081978,0.050756,0.07246,0.05026,0.07169,0.050982,0.050814,0.074808,0.074624,0.050535,1,0.054026,0.091785,0.051445,0.11391,0.051853,0.051953,0.092948,0.050948,0.10432,0.13618,0.051087,0.10791,0.050926,0.10203,0.052405,0.051901,0.1168,0.11673,0.052093,1,0.050877,0.13828,0.051171,0.1479,0.17574,0.051331,0.086911,0.050965,0.051184,0.11147,0.051969,0.10659,0.050963,0.1107,0.11273,0.052387,0.052247,0.11225,1,0.050756,0.13221,0.052972,0.0505,0.076523,0.050992,0.081968,0.08597,0.050529,0.082666,0.050309,0.074999,0.051325,0.050897,0.078312,0.077887,0.05021,1,0.050853,0.11995,0.17045,0.051329,0.088088,0.050915,0.051176,0.11025,0.051248,0.10245,0.050539,0.10129,0.1059,0.05074,0.050618,0.10457,1,0.055097,0.051828,0.081828,0.051013,0.10167,0.11982,0.050969,0.09633,0.050995,0.090972,0.051034,0.051334,0.095804,0.095708,0.050546,1,0.22597,0.051986,0.086862,0.053593,0.05398,0.14814,0.052273,0.1259,0.051935,0.15405,0.14819,0.05231,0.052203,0.14549,1,0.050964,0.08921,0.051087,0.051458,0.15637,0.051212,0.12605,0.050803,0.1332,0.13936,0.051353,0.051232,0.13402,1,0.050405,0.10585,0.10532,0.050901,0.12809,0.051487,0.098663,0.051759,0.051591,0.10303,0.10288,0.051813,1,0.050783,0.051103,0.086702,0.050905,0.096428,0.050286,0.089278,0.09197,0.051282,0.051209,0.091973,1,0.17442,0.050465,0.17757,0.050664,0.14686,0.052146,0.051086,0.13875,0.1377,0.050724,1,0.052022,0.16793,0.051595,0.17763,0.05259,0.051724,0.21296,0.21231,0.051674,1,0.050497,0.16817,0.050592,0.15117,0.20231,0.05099,0.05082,0.15529,1,0.051204,0.19764,0.052715,0.051618,0.1823,0.18162,0.051336,1,0.050477,0.1606,0.22496,0.051397,0.051466,0.19987,1,0.05302,0.050756,0.21597,0.21474,0.051191,1,0.23804,0.051972,0.051948,0.27877,1,0.051676,0.051875,0.26118,1,0.82591,0.052461,1,0.05248,1,-
1,0.15562,0.051589,0.10351,0.051835,0.084448,0.053202,0.051793,0.061514,0.050658,0.08436,0.099337,0.050443,0.077268,0.050669,0.095069,0.051056,0.051025,0.088328,0.086869,0.050446,1,0.053668,0.086669,0.0528,0.11624,0.052945,0.052587,0.070132,0.050147,0.12092,0.16898,0.049818,0.10164,0.051496,0.15291,0.050786,0.050313,0.13677,0.13372,0.050392,1,0.051144,0.080945,0.052076,0.087056,0.064438,0.050094,0.059557,0.051671,0.051489,0.071493,0.051687,0.061899,0.051349,0.082464,0.078739,0.0509,0.050837,0.069474,1,0.051012,0.085288,0.053814,0.050914,0.060653,0.051364,0.068885,0.07288,0.051409,0.06401,0.051101,0.070915,0.051653,0.051258,0.068342,0.068592,0.050676,1,0.051444,0.074972,0.08372,0.050507,0.059333,0.050681,0.051004,0.064207,0.051011,0.058866,0.05037,0.068942,0.068366,0.050412,0.050761,0.062581,1,0.054613,0.05182,0.062302,0.05124,0.10584,0.12195,0.051704,0.085642,0.051971,0.11463,0.051592,0.05157,0.099597,0.098387,0.051254,1,0.11218,0.051685,0.075378,0.059158,0.056492,0.18368,0.052802,0.08927,0.053614,0.22786,0.18957,0.052155,0.051645,0.12162,1,0.051287,0.060911,0.051786,0.051669,0.084146,0.050368,0.065052,0.051097,0.089197,0.085263,0.050336,0.050286,0.073884,1,0.051073,0.06719,0.071186,0.050737,0.070909,0.050539,0.07413,0.050451,0.050771,0.071821,0.070021,0.050103,1,0.050389,0.050988,0.075508,0.050183,0.091426,0.050939,0.080354,0.08686,0.050161,0.050429,0.076306,1,0.23093,0.052927,0.13269,0.051851,0.24427,0.053304,0.052713,0.14744,0.13436,0.051691,1,0.055712,0.1513,0.053377,0.34084,0.053649,0.054544,0.22387,0.22224,0.053286,1,0.051538,0.095091,0.051954,0.15487,0.17683,0.051718,0.051192,0.11143,1,0.052083,0.25009,0.053722,0.05285,0.20855,0.1554,0.052915,1,0.052551,0.11977,0.16642,0.052402,0.053992,0.15301,1,0.054572,0.053693,0.3464,0.26776,0.053628,1,0.3454,0.053644,0.0536,0.21519,1,0.052798,0.053983,0.26671,1,0.40868,0.054746,1,0.058139,1,-
1,0.47316,0.059041,0.23953,0.05659,0.29174,0.060088,0.059407,0.14877,0.057403,0.17041,0.17993,0.059698,0.066107,0.060367,0.11628,0.059638,0.060348,0.086842,0.086818,0.061599,1,0.060137,0.23162,0.057514,0.31207,0.059972,0.059975,0.14563,0.057938,0.17365,0.19085,0.059542,0.065322,0.060098,0.11841,0.058912,0.059419,0.087819,0.0876,0.061096,1,0.056567,0.13912,0.060151,0.18645,0.17623,0.058919,0.11327,0.062812,0.06205,0.11839,0.07045,0.085059,0.066497,0.098165,0.1013,0.072452,0.071577,0.0819,1,0.054487,0.20587,0.058673,0.057067,0.14235,0.055806,0.14541,0.14454,0.057676,0.065773,0.058315,0.10826,0.058588,0.058628,0.08409,0.08125,0.05896,1,0.05859,0.11794,0.11974,0.058094,0.10082,0.062076,0.061799,0.099921,0.067353,0.078873,0.064889,0.08594,0.089526,0.069411,0.069928,0.076842,1,0.068271,0.063725,0.15464,0.061365,0.20463,0.21197,0.066022,0.075885,0.066179,0.13721,0.066601,0.067708,0.099929,0.09924,0.067226,1,0.22323,0.06569,0.13798,0.081492,0.081193,0.20345,0.092049,0.11424,0.087899,0.15849,0.16202,0.097219,0.094299,0.10885,1,0.061704,0.11849,0.069065,0.069575,0.14116,0.07669,0.094557,0.073805,0.11314,0.11775,0.080248,0.080569,0.091017,1,0.062792,0.18801,0.15949,0.068382,0.11088,0.068425,0.1615,0.074238,0.07244,0.11964,0.10359,0.069355,1,0.074452,0.078427,0.17924,0.080343,0.16396,0.085342,0.15101,0.19004,0.098585,0.11783,0.15207,1,0.37358,0.090175,0.13651,0.087481,0.33705,0.10503,0.10099,0.19596,0.1648,0.089017,1,0.10197,0.10769,0.10071,0.28995,0.11162,0.11652,0.18329,0.18843,0.10262,1,0.099314,0.2039,0.11003,0.24025,0.32832,0.12697,0.14845,0.18919,1,0.083133,0.20788,0.12843,0.10926,0.21899,0.12308,0.083892,1,0.10811,0.21842,0.4199,0.13423,0.25209,0.61435,1,0.15066,0.1363,0.38166,0.24997,0.11142,1,0.37216,0.19202,0.21004,0.21814,1,0.1732,0.26611,0.40604,1,0.36269,0.14273,1,0.28754,1,-
1,0.14781,0.0633,0.092425,0.061433,0.14918,0.073434,0.069684,0.0657,0.05278,0.085526,0.081918,0.056242,0.063016,0.050972,0.062708,0.052059,0.052379,0.060986,0.061142,0.051441,1,0.062697,0.077803,0.06187,0.12461,0.067428,0.068327,0.060776,0.052313,0.080069,0.082451,0.05713,0.0613,0.05159,0.063324,0.050623,0.051955,0.061098,0.062483,0.051315,1,0.056513,0.10378,0.065655,0.091258,0.10768,0.051919,0.061091,0.057075,0.058748,0.069067,0.051822,0.05994,0.051737,0.060432,0.061982,0.051378,0.051929,0.060154,1,0.055742,0.10652,0.065729,0.061441,0.079215,0.051752,0.085614,0.069481,0.055139,0.062512,0.051456,0.060515,0.052793,0.052026,0.057275,0.056683,0.050874,1,0.065712,0.097594,0.14076,0.052748,0.07631,0.057841,0.060374,0.088231,0.051436,0.067215,0.05245,0.061167,0.067545,0.050825,0.050296,0.062914,1,0.11474,0.090244,0.071716,0.054045,0.14261,0.13325,0.06868,0.069,0.052616,0.073226,0.056155,0.055637,0.065753,0.066432,0.051698,1,0.17689,0.057144,0.065402,0.098219,0.10728,0.11366,0.055111,0.066974,0.059944,0.075872,0.076583,0.053108,0.053504,0.066158,1,0.054539,0.069922,0.074167,0.082887,0.10838,0.053781,0.066985,0.05602,0.06859,0.074137,0.051698,0.051438,0.064823,1,0.051456,0.077713,0.063398,0.053429,0.067559,0.050965,0.060798,0.052682,0.051666,0.058799,0.057122,0.050624,1,0.053916,0.055732,0.069581,0.051338,0.067465,0.051943,0.059274,0.064002,0.050866,0.051172,0.061534,1,0.18876,0.073483,0.10255,0.054519,0.1067,0.064226,0.061177,0.087049,0.080597,0.054784,1,0.08615,0.08003,0.055763,0.093238,0.064315,0.064261,0.080877,0.082063,0.055107,1,0.054038,0.078111,0.058681,0.081497,0.097915,0.05393,0.054709,0.078799,1,0.052205,0.088433,0.054341,0.053752,0.094674,0.08276,0.05296,1,0.053541,0.072128,0.084131,0.052286,0.053226,0.096622,1,0.0585,0.056843,0.089305,0.081875,0.054205,1,0.084879,0.054668,0.054882,0.08272,1,0.054753,0.055621,0.09943,1,0.10283,0.053038,1,0.055301,1,-
1,0.14494,0.063123,0.12127,0.053762,0.15098,0.057985,0.058488,0.058441,0.050957,0.089267,0.081021,0.051583,0.058524,0.0506,0.070675,0.05118,0.050481,0.073656,0.074239,0.050556,1,0.076729,0.13143,0.054619,0.18006,0.063365,0.061083,0.060881,0.050996,0.10755,0.094425,0.050991,0.060521,0.051078,0.077346,0.05209,0.050957,0.080688,0.083629,0.051046,1,0.05681,0.10878,0.061681,0.11454,0.14834,0.050912,0.066063,0.052961,0.051811,0.080659,0.051286,0.06837,0.051087,0.068956,0.069858,0.050862,0.051989,0.062963,1,0.05301,0.1736,0.054607,0.056147,0.064214,0.050449,0.11529,0.093016,0.051182,0.06656,0.050848,0.080616,0.051415,0.050714,0.083599,0.084289,0.050535,1,0.054458,0.088599,0.11604,0.051293,0.072097,0.051764,0.052038,0.080571,0.050823,0.070345,0.05085,0.066828,0.069899,0.051554,0.051679,0.063555,1,0.056371,0.06125,0.062505,0.051118,0.12444,0.10443,0.052804,0.065016,0.051152,0.081176,0.051725,0.051172,0.085009,0.087285,0.051078,1,0.12112,0.051221,0.071014,0.061234,0.058164,0.12705,0.05182,0.084061,0.05351,0.098629,0.098525,0.053136,0.052731,0.075595,1,0.051631,0.06694,0.052904,0.05208,0.092972,0.051664,0.06866,0.051357,0.070948,0.072529,0.051879,0.052523,0.063527,1,0.051193,0.066891,0.063302,0.051269,0.072081,0.050977,0.063237,0.050746,0.051077,0.064994,0.061489,0.050429,1,0.050299,0.05219,0.078546,0.051309,0.085206,0.051334,0.06497,0.073993,0.050675,0.050597,0.066889,1,0.14579,0.053701,0.088974,0.050887,0.12821,0.052333,0.051337,0.10834,0.10282,0.050937,1,0.058353,0.083194,0.053862,0.13838,0.054777,0.055834,0.12534,0.12944,0.053116,1,0.05137,0.099765,0.052062,0.10445,0.13874,0.051451,0.051562,0.084618,1,0.052568,0.12127,0.057239,0.054195,0.13239,0.098914,0.053157,1,0.052216,0.13302,0.21773,0.053453,0.054432,0.18921,1,0.057301,0.054084,0.17099,0.14755,0.052846,1,0.21383,0.059018,0.056787,0.14621,1,0.05587,0.055666,0.17829,1,0.27279,0.057918,1,0.059581,1,-
1,0.12207,0.05649,0.06166,0.051414,0.092302,0.057523,0.05365,0.054637,0.050781,0.073648,0.078827,0.052158,0.075375,0.05107,0.074389,0.051574,0.05111,0.070969,0.067067,0.051066,1,0.063339,0.058555,0.053932,0.081355,0.058005,0.055943,0.056687,0.051498,0.07788,0.091721,0.053057,0.084497,0.052301,0.083876,0.052554,0.052475,0.081664,0.073745,0.051512,1,0.051263,0.090034,0.054306,0.14301,0.16078,0.05126,0.073,0.052811,0.05497,0.087457,0.051808,0.088018,0.051934,0.094883,0.098317,0.051455,0.051454,0.091731,1,0.05098,0.062722,0.053805,0.051313,0.062059,0.050825,0.062222,0.054994,0.050828,0.054518,0.051264,0.054948,0.050857,0.051221,0.054636,0.054212,0.050895,1,0.050986,0.065017,0.079002,0.051157,0.061279,0.050819,0.051617,0.057818,0.050841,0.059397,0.05137,0.06181,0.061703,0.050761,0.051039,0.061005,1,0.071836,0.054577,0.05302,0.051037,0.12968,0.091477,0.053326,0.083167,0.05205,0.084004,0.053441,0.052691,0.074018,0.068857,0.051396,1,0.15356,0.052324,0.071971,0.07388,0.073144,0.11354,0.05714,0.099241,0.059615,0.13539,0.13387,0.053682,0.05281,0.11232,1,0.050815,0.064317,0.053687,0.056095,0.10046,0.051734,0.083863,0.051992,0.091155,0.098027,0.051279,0.051515,0.087109,1,0.052068,0.058599,0.056806,0.051267,0.060774,0.05189,0.05672,0.051439,0.051516,0.057447,0.055371,0.051531,1,0.051232,0.051993,0.065341,0.051391,0.099448,0.051395,0.078458,0.086519,0.050662,0.051127,0.085533,1,0.1352,0.053846,0.13954,0.052631,0.13356,0.055634,0.054053,0.096263,0.082988,0.052957,1,0.062131,0.14458,0.055916,0.18435,0.062162,0.063559,0.12776,0.11006,0.056114,1,0.052371,0.098826,0.054761,0.10863,0.14588,0.051565,0.052247,0.10311,1,0.053612,0.21923,0.058003,0.055295,0.17767,0.1191,0.054609,1,0.054194,0.16115,0.24254,0.053759,0.05454,0.26394,1,0.062584,0.058904,0.15866,0.12193,0.056724,1,0.30082,0.058961,0.057981,0.26856,1,0.055813,0.057243,0.31428,1,0.14363,0.057015,1,0.057708,1,-
1,0.15285,0.054905,0.10288,0.052555,0.13471,0.056359,0.054609,0.071336,0.051006,0.076219,0.09454,0.052182,0.073533,0.050289,0.079184,0.051868,0.051514,0.078206,0.080274,0.05076,1,0.059458,0.096789,0.053527,0.15387,0.057258,0.058082,0.078355,0.051628,0.084131,0.11559,0.051739,0.084942,0.051856,0.090623,0.051908,0.051232,0.089871,0.095029,0.0514,1,0.051643,0.082821,0.054236,0.091169,0.092888,0.050332,0.064101,0.05102,0.052139,0.067768,0.051135,0.060685,0.051886,0.070448,0.066793,0.050932,0.050858,0.06439,1,0.051359,0.12705,0.053022,0.052084,0.093942,0.051514,0.076649,0.083798,0.051543,0.075057,0.051326,0.074841,0.051238,0.050632,0.072992,0.074939,0.050647,1,0.05268,0.10004,0.11375,0.051252,0.10064,0.050277,0.050666,0.083323,0.050126,0.065445,0.049487,0.075232,0.071657,0.050495,0.049813,0.065901,1,0.06244,0.058247,0.086237,0.052399,0.10107,0.12679,0.053144,0.086626,0.0514,0.092644,0.051764,0.051829,0.089101,0.092557,0.051582,1,0.14633,0.051506,0.077272,0.054902,0.056431,0.094159,0.051998,0.069027,0.05194,0.092696,0.081355,0.051828,0.051572,0.078264,1,0.050856,0.077879,0.051808,0.053632,0.091277,0.051081,0.065925,0.051587,0.079145,0.073899,0.050426,0.051226,0.071852,1,0.050987,0.090503,0.084218,0.051102,0.094071,0.051524,0.087879,0.051251,0.051448,0.081073,0.080147,0.051278,1,0.050911,0.05269,0.099547,0.05082,0.085759,0.051404,0.081046,0.087714,0.051411,0.051628,0.074153,1,0.11932,0.051448,0.11643,0.051557,0.13296,0.053994,0.051349,0.096811,0.094668,0.051086,1,0.058936,0.11017,0.05272,0.14592,0.05726,0.056927,0.12079,0.13917,0.053128,1,0.052622,0.082243,0.052379,0.10678,0.11989,0.052685,0.053188,0.082411,1,0.051509,0.15271,0.055099,0.05243,0.14392,0.12715,0.052394,1,0.05181,0.097064,0.12256,0.052457,0.054002,0.11345,1,0.059183,0.054478,0.15967,0.15889,0.05398,1,0.19008,0.056682,0.057712,0.1467,1,0.054138,0.057627,0.14913,1,0.25995,0.057304,1,0.060812,1,-
