col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109,col110,col111,col112,col113,col114,col115,col116,col117,col118,col119,col120,col121,col122,col123,col124,col125,col126,col127,col128,col129,col130,col131,col132,col133,col134,col135,col136,col137,col138,col139,col140,col141,col142,col143,col144,col145,col146,col147,col148,col149,col150,col151,col152,col153,col154,col155,col156,col157,col158,col159,col160,col161,col162,col163,col164,col165,col166,col167,col168,col169,col170,col171,col172,col173,col174,col175,col176,col177,col178,col179,col180,col181,col182,col183,col184,col185,col186,col187,col188,col189,col190,col191,col192,col193,col194,col195,col196,col197,col198,col199,col200,col201,col202,col203,col204,col205,col206,col207,col208,col209,col210,col211,col212,col213,col214,col215,col216,col217,col218,col219,col220,col221,col222,col223,col224,col225,col226,col227,col228,col229,col230,col231,Indicator
1,0.093019,0.076185,0.09785,0.064202,0.096505,0.066562,0.065561,0.0576,0.051801,0.071367,0.069146,0.057658,0.05424,0.050737,0.059185,0.052768,0.051755,0.051499,0.053711,0.051122,1,0.076571,0.089129,0.06436,0.10014,0.064609,0.066659,0.054839,0.05429,0.071279,0.072978,0.056489,0.055449,0.050509,0.059821,0.052517,0.052551,0.053292,0.053733,0.050774,1,0.07707,0.086057,0.083484,0.092467,0.085486,0.055366,0.057318,0.065231,0.065059,0.07024,0.05297,0.052671,0.055147,0.061216,0.057066,0.050281,0.051332,0.053226,1,0.064011,0.11358,0.071289,0.065298,0.073885,0.053539,0.083491,0.07542,0.059646,0.05632,0.05157,0.061238,0.055257,0.052358,0.054277,0.054453,0.052311,1,0.068183,0.073769,0.074882,0.053765,0.062459,0.062625,0.064441,0.069316,0.052324,0.053329,0.055493,0.05752,0.056673,0.051338,0.051764,0.052072,1,0.090336,0.075151,0.063757,0.056071,0.10861,0.10649,0.07209,0.062113,0.053611,0.073396,0.060715,0.058668,0.058779,0.058912,0.051755,1,0.086363,0.058499,0.057139,0.086631,0.084098,0.089691,0.059335,0.058876,0.067513,0.07654,0.068223,0.054668,0.053383,0.059346,1,0.055191,0.057119,0.067346,0.070317,0.074577,0.053674,0.055047,0.059715,0.063528,0.059829,0.054261,0.052288,0.054947,1,0.05246,0.0642,0.060051,0.054829,0.059255,0.050561,0.058337,0.053198,0.052269,0.052702,0.052014,0.051174,1,0.055515,0.058222,0.060646,0.052128,0.055451,0.055387,0.054847,0.055344,0.051638,0.052139,0.051012,1,0.13775,0.085997,0.08761,0.061333,0.11501,0.081385,0.072825,0.075227,0.074282,0.061798,1,0.093572,0.074293,0.064128,0.1074,0.082431,0.07493,0.073725,0.078894,0.06236,1,0.064915,0.076407,0.081037,0.10273,0.093884,0.062841,0.065108,0.075571,1,0.062579,0.10516,0.076874,0.068802,0.096087,0.082142,0.068907,1,0.069576,0.081185,0.085553,0.068716,0.072123,0.096066,1,0.10341,0.085065,0.10967,0.10332,0.078599,1,0.11703,0.086301,0.083538,0.11136,1,0.075257,0.078023,0.107,1,0.1556,0.093878,1,0.10398,1,-
1,0.28692,0.090365,0.16737,0.073665,0.24704,0.074043,0.081639,0.077269,0.054029,0.090838,0.090084,0.055742,0.052985,0.052751,0.058094,0.052603,0.053129,0.053935,0.05545,0.056082,1,0.084086,0.1262,0.076416,0.20059,0.06862,0.080969,0.068446,0.055284,0.083465,0.088088,0.055472,0.052146,0.05277,0.058966,0.053927,0.052033,0.0538,0.05553,0.056687,1,0.068839,0.16917,0.084141,0.14065,0.22597,0.05451,0.078159,0.056309,0.057067,0.092002,0.051559,0.059977,0.049741,0.061319,0.062448,0.052095,0.053156,0.057269,1,0.062301,0.16917,0.071858,0.07016,0.10749,0.052913,0.097456,0.080063,0.055664,0.053513,0.051228,0.058953,0.05203,0.051738,0.053395,0.052727,0.052631,1,0.073359,0.10484,0.19984,0.053036,0.13453,0.054949,0.055835,0.09717,0.05281,0.062039,0.051397,0.056458,0.061288,0.051315,0.052591,0.054383,1,0.10295,0.1007,0.086889,0.057008,0.1388,0.12973,0.065343,0.058014,0.050971,0.066788,0.051085,0.05373,0.057086,0.057327,0.053037,1,0.26231,0.061153,0.074913,0.084284,0.080705,0.14547,0.053724,0.07301,0.054644,0.07925,0.081338,0.051633,0.051938,0.065735,1,0.05691,0.095886,0.070713,0.073467,0.14958,0.052752,0.071656,0.051297,0.070426,0.076578,0.050569,0.051772,0.060902,1,0.051139,0.091928,0.071822,0.054947,0.060089,0.051897,0.061712,0.052158,0.051993,0.056119,0.055066,0.051639,1,0.05511,0.056822,0.098567,0.05023,0.078407,0.051518,0.060421,0.068472,0.050632,0.049901,0.060637,1,0.22094,0.078896,0.098644,0.056365,0.12518,0.06467,0.064926,0.087116,0.081833,0.055269,1,0.081618,0.079621,0.055326,0.10915,0.062165,0.062484,0.083456,0.085697,0.05381,1,0.057146,0.11817,0.062688,0.10249,0.12935,0.053315,0.053151,0.09239,1,0.059454,0.12188,0.06395,0.063048,0.12193,0.10239,0.062247,1,0.0592,0.10748,0.16093,0.056516,0.056834,0.18268,1,0.066043,0.066586,0.13184,0.11634,0.06207,1,0.13239,0.058598,0.056273,0.12355,1,0.060945,0.057991,0.16102,1,0.17293,0.062151,1,0.061214,1,-
1,0.40198,0.10499,0.29375,0.10159,0.44161,0.094565,0.109,0.078765,0.075171,0.17243,0.14532,0.088467,0.056456,0.058736,0.082394,0.059976,0.056095,0.05825,0.058584,0.059207,1,0.099014,0.24824,0.10329,0.50206,0.086332,0.10196,0.073038,0.080542,0.16026,0.15526,0.084056,0.055754,0.060279,0.084358,0.058494,0.055447,0.059935,0.061464,0.061517,1,0.10973,0.25164,0.11045,0.33684,0.55493,0.073363,0.084424,0.096369,0.077753,0.16845,0.052546,0.058322,0.06325,0.091126,0.069421,0.053247,0.053669,0.056934,1,0.095168,0.31296,0.10241,0.10987,0.10618,0.069306,0.18482,0.11942,0.086196,0.05483,0.059358,0.076559,0.059783,0.055789,0.055467,0.055846,0.058661,1,0.10578,0.16679,0.2627,0.066581,0.13659,0.087898,0.077806,0.13686,0.052199,0.062888,0.060139,0.073642,0.062457,0.052926,0.054676,0.05958,1,0.1035,0.11629,0.082175,0.078066,0.21998,0.17953,0.096491,0.055307,0.058381,0.093856,0.063561,0.058424,0.061175,0.061237,0.05895,1,0.38327,0.07875,0.076213,0.12068,0.094326,0.23741,0.05356,0.053906,0.073615,0.12605,0.085992,0.054154,0.05387,0.05592,1,0.073462,0.090699,0.1061,0.086906,0.20978,0.052593,0.056958,0.067039,0.097726,0.074618,0.052907,0.052664,0.05601,1,0.058731,0.10501,0.067904,0.068314,0.060483,0.054733,0.067427,0.062045,0.056365,0.056336,0.05753,0.054323,1,0.07294,0.073833,0.094589,0.050467,0.056454,0.060629,0.062805,0.061099,0.051636,0.051879,0.056452,1,0.21886,0.11808,0.062722,0.053378,0.14882,0.083346,0.069756,0.068615,0.0643,0.053471,1,0.12227,0.059322,0.053878,0.1715,0.089963,0.081252,0.080986,0.080112,0.051759,1,0.055445,0.056618,0.093298,0.15176,0.1422,0.058457,0.055947,0.058472,1,0.060614,0.09126,0.067982,0.065481,0.10186,0.071125,0.061937,1,0.05608,0.064168,0.10418,0.069815,0.084916,0.20101,1,0.1278,0.099541,0.14731,0.11137,0.057408,1,0.22812,0.094703,0.077525,0.081637,1,0.09433,0.091908,0.11959,1,0.27576,0.081422,1,0.094909,1,-
1,0.31085,0.088229,0.15117,0.073847,0.22669,0.083164,0.080421,0.075673,0.05725,0.14188,0.11458,0.058625,0.061265,0.063631,0.071609,0.058665,0.05534,0.060713,0.059764,0.066887,1,0.091778,0.12269,0.078321,0.1996,0.078822,0.0822,0.071217,0.060627,0.13858,0.13154,0.061066,0.061757,0.063801,0.07561,0.059587,0.056817,0.062493,0.061765,0.067348,1,0.067907,0.21675,0.08247,0.21222,0.25498,0.052275,0.098399,0.068627,0.067045,0.096418,0.061899,0.060478,0.05821,0.0655,0.066475,0.065646,0.064175,0.063206,1,0.062856,0.12486,0.069253,0.064482,0.088907,0.054298,0.10007,0.078292,0.054943,0.056892,0.062687,0.060658,0.058609,0.056362,0.056827,0.055823,0.06538,1,0.072355,0.14555,0.17704,0.052377,0.12371,0.066035,0.067196,0.095702,0.061486,0.059666,0.05872,0.061853,0.063619,0.064757,0.063351,0.06375,1,0.10246,0.083706,0.072447,0.059281,0.18273,0.13695,0.065694,0.062726,0.059195,0.081243,0.058399,0.056096,0.061863,0.061868,0.063013,1,0.22973,0.055291,0.096152,0.094721,0.084299,0.12411,0.060323,0.061015,0.063002,0.077528,0.07837,0.062079,0.061265,0.064193,1,0.052905,0.097917,0.074093,0.073189,0.1069,0.058973,0.059537,0.05916,0.066875,0.069419,0.062668,0.060537,0.06274,1,0.052408,0.084657,0.069111,0.05161,0.059031,0.053253,0.062851,0.051738,0.05229,0.05351,0.053369,0.053163,1,0.061355,0.066508,0.11488,0.05427,0.075188,0.056889,0.072378,0.090027,0.054055,0.053856,0.061584,1,0.2397,0.073123,0.082215,0.056256,0.14622,0.065616,0.062586,0.075225,0.074698,0.059259,1,0.080951,0.076666,0.057669,0.149,0.0659,0.068648,0.082547,0.084128,0.059724,1,0.054597,0.070714,0.064026,0.090298,0.10462,0.055404,0.055799,0.067834,1,0.063743,0.16368,0.082,0.069159,0.19915,0.12011,0.072922,1,0.065995,0.15257,0.211,0.074788,0.086421,0.29206,1,0.097241,0.08527,0.16537,0.13647,0.072078,1,0.32924,0.096233,0.094993,0.20737,1,0.079814,0.0869,0.19975,1,0.18532,0.095406,1,0.10801,1,-
1,0.24562,0.068213,0.14981,0.054655,0.19392,0.059722,0.061298,0.090742,0.051112,0.074907,0.088186,0.05281,0.062481,0.049477,0.06666,0.050505,0.05039,0.061277,0.06311,0.051941,1,0.078852,0.11333,0.060859,0.163,0.057689,0.065487,0.082754,0.052919,0.073609,0.096686,0.052754,0.062745,0.050151,0.068449,0.052304,0.049985,0.064444,0.066797,0.053764,1,0.055596,0.13974,0.063291,0.097449,0.1744,0.051924,0.078773,0.052407,0.05324,0.077182,0.050296,0.057095,0.049989,0.05953,0.059686,0.051365,0.050859,0.05331,1,0.052057,0.1486,0.057861,0.056194,0.11682,0.05114,0.077126,0.080504,0.052552,0.063545,0.050944,0.065829,0.05174,0.050468,0.057746,0.059953,0.051251,1,0.056935,0.077436,0.13182,0.050336,0.11473,0.051922,0.05223,0.079149,0.05016,0.058244,0.050355,0.058325,0.060174,0.050746,0.050655,0.052255,1,0.07059,0.067018,0.094155,0.052165,0.089663,0.11212,0.055931,0.064922,0.049833,0.072686,0.052678,0.051697,0.063272,0.065886,0.050473,1,0.13149,0.053412,0.066968,0.057244,0.060418,0.08011,0.050968,0.060557,0.052865,0.067045,0.064178,0.051228,0.051251,0.05679,1,0.052394,0.086351,0.054784,0.058773,0.099839,0.050943,0.062895,0.051189,0.063997,0.064949,0.050527,0.049628,0.05387,1,0.052279,0.091905,0.080802,0.050625,0.076017,0.050266,0.075914,0.051105,0.049395,0.064554,0.065759,0.051232,1,0.053568,0.054073,0.094054,0.050524,0.08349,0.050973,0.064529,0.07349,0.050385,0.049904,0.055841,1,0.10401,0.05509,0.074064,0.050829,0.08722,0.055853,0.053453,0.068911,0.071181,0.049607,1,0.065046,0.070957,0.052967,0.098415,0.057559,0.057985,0.079479,0.085765,0.050052,1,0.052169,0.083936,0.053238,0.080605,0.091856,0.051248,0.051507,0.062625,1,0.050787,0.089876,0.05486,0.052146,0.080552,0.076609,0.051743,1,0.052968,0.091251,0.13587,0.052208,0.054093,0.10734,1,0.06212,0.057872,0.099884,0.10303,0.053399,1,0.12317,0.05826,0.058436,0.10434,1,0.055331,0.05681,0.099977,1,0.16745,0.060417,1,0.061862,1,-
1,0.21191,0.067127,0.14185,0.058487,0.19779,0.065236,0.062652,0.095195,0.053853,0.14758,0.13457,0.060538,0.06985,0.050294,0.10141,0.051902,0.052823,0.078311,0.081859,0.04952,1,0.066856,0.13681,0.059669,0.22171,0.064839,0.065535,0.092263,0.057208,0.15763,0.16002,0.062321,0.071724,0.051716,0.11191,0.052129,0.055123,0.083897,0.090505,0.051595,1,0.062148,0.11789,0.070655,0.16842,0.1674,0.055752,0.098833,0.064046,0.062123,0.13318,0.051938,0.066091,0.05626,0.090165,0.090173,0.050769,0.051035,0.067558,1,0.054467,0.13998,0.062397,0.058289,0.10182,0.053382,0.11973,0.10252,0.05709,0.069056,0.050395,0.088118,0.051662,0.053496,0.070187,0.072391,0.050503,1,0.059765,0.092373,0.10152,0.05271,0.096626,0.057267,0.057437,0.096395,0.050193,0.062348,0.052709,0.07325,0.074771,0.050253,0.050013,0.060679,1,0.075593,0.069337,0.097828,0.057185,0.20849,0.18019,0.067442,0.075735,0.049532,0.12398,0.05586,0.057992,0.084466,0.089103,0.050385,1,0.14408,0.057301,0.083254,0.076975,0.071789,0.14223,0.052883,0.0678,0.062706,0.1043,0.10102,0.052368,0.051493,0.071816,1,0.053803,0.091826,0.06722,0.067065,0.13619,0.051644,0.066683,0.057868,0.089109,0.093544,0.050504,0.050529,0.067324,1,0.052333,0.1122,0.088786,0.054382,0.085101,0.050388,0.093731,0.051128,0.051918,0.078377,0.077266,0.051169,1,0.0563,0.060006,0.13277,0.05143,0.10226,0.055871,0.090948,0.1099,0.052091,0.053334,0.081824,1,0.27971,0.07502,0.10914,0.053624,0.24388,0.067028,0.067754,0.12343,0.12207,0.054982,1,0.086155,0.093578,0.055413,0.23196,0.068131,0.074478,0.12981,0.14335,0.056428,1,0.055161,0.10235,0.071158,0.15471,0.20654,0.056958,0.058658,0.10198,1,0.054183,0.15518,0.061888,0.058939,0.16912,0.12031,0.05693,1,0.058615,0.11979,0.14738,0.059992,0.06544,0.18405,1,0.081776,0.076971,0.2571,0.22307,0.063482,1,0.26217,0.070911,0.068707,0.20476,1,0.06691,0.069906,0.18856,1,0.36347,0.06863,1,0.07254,1,-
1,0.38264,0.055771,0.1997,0.052589,0.36906,0.055314,0.054585,0.12728,0.051998,0.14956,0.12173,0.052418,0.091472,0.05257,0.10961,0.051328,0.052111,0.080709,0.085091,0.054731,1,0.056555,0.16459,0.053643,0.33986,0.054478,0.054375,0.11629,0.052576,0.14227,0.12678,0.051583,0.089755,0.053107,0.10803,0.051564,0.051433,0.081806,0.086836,0.05517,1,0.053023,0.15525,0.056107,0.21386,0.28741,0.052377,0.11112,0.053528,0.052603,0.15083,0.051845,0.080747,0.051714,0.1131,0.10377,0.050617,0.050731,0.086802,1,0.050063,0.18284,0.05445,0.054291,0.16088,0.052406,0.13173,0.098777,0.052889,0.086296,0.052224,0.095434,0.052415,0.051889,0.075079,0.077235,0.05455,1,0.05288,0.12441,0.15394,0.05188,0.10765,0.051598,0.052328,0.11894,0.05149,0.074377,0.050621,0.088246,0.08528,0.051343,0.051154,0.075237,1,0.05982,0.058198,0.1221,0.052994,0.19276,0.14749,0.0538,0.096828,0.051722,0.12176,0.051197,0.051873,0.086958,0.09157,0.053086,1,0.30924,0.051075,0.10234,0.058552,0.057699,0.22587,0.05207,0.083682,0.054148,0.14734,0.12893,0.051872,0.052045,0.094579,1,0.05215,0.11079,0.055157,0.053948,0.19766,0.05146,0.082347,0.052446,0.12833,0.11756,0.051954,0.051141,0.090763,1,0.052238,0.12403,0.091144,0.052271,0.11645,0.053612,0.099402,0.050572,0.051402,0.082744,0.080387,0.055328,1,0.052543,0.052996,0.11816,0.052991,0.10166,0.051709,0.093686,0.095191,0.051499,0.052184,0.089497,1,0.18762,0.057566,0.13591,0.049213,0.20693,0.055452,0.053912,0.11287,0.11199,0.051423,1,0.05819,0.10193,0.05071,0.15322,0.053862,0.053197,0.09724,0.10598,0.050857,1,0.053384,0.1041,0.056148,0.17726,0.17085,0.052636,0.0529,0.11525,1,0.050833,0.16005,0.054467,0.052917,0.17251,0.13016,0.053233,1,0.051316,0.112,0.12956,0.051694,0.052812,0.15854,1,0.058093,0.055581,0.1503,0.14457,0.0521,1,0.21365,0.055612,0.055833,0.15994,1,0.053022,0.054278,0.16073,1,0.19206,0.053728,1,0.056415,1,-
1,0.53356,0.09247,0.33668,0.09602,0.47776,0.088828,0.096479,0.099996,0.091108,0.19759,0.20742,0.091503,0.062536,0.05538,0.11732,0.061971,0.066343,0.065678,0.07153,0.055622,1,0.086945,0.26715,0.093823,0.46144,0.084944,0.092031,0.092454,0.095778,0.20106,0.24381,0.089983,0.063961,0.055017,0.12824,0.061065,0.065208,0.070224,0.078234,0.055279,1,0.10026,0.43854,0.096261,0.32627,0.56559,0.086875,0.14816,0.09169,0.080017,0.24983,0.058194,0.056104,0.066834,0.11828,0.11599,0.054331,0.054191,0.060098,1,0.099336,0.27909,0.098262,0.099374,0.13287,0.087245,0.17992,0.15421,0.093676,0.062175,0.053993,0.10009,0.063243,0.06774,0.06086,0.062809,0.056133,1,0.098092,0.25631,0.39327,0.083795,0.18831,0.093046,0.085803,0.24637,0.058326,0.05638,0.067991,0.10582,0.10884,0.054693,0.054894,0.058332,1,0.10143,0.10495,0.10317,0.098554,0.26611,0.27194,0.10551,0.067869,0.056236,0.14203,0.068248,0.074032,0.070973,0.076537,0.055708,1,0.4262,0.099927,0.14837,0.12161,0.09989,0.43139,0.064115,0.059333,0.079728,0.1932,0.18535,0.053793,0.053292,0.06775,1,0.08957,0.16259,0.10388,0.089897,0.34144,0.060627,0.057426,0.072731,0.13553,0.1364,0.054547,0.054208,0.061596,1,0.077626,0.1196,0.092179,0.09018,0.067924,0.05274,0.078656,0.073195,0.074744,0.056028,0.05611,0.054966,1,0.10232,0.10374,0.19613,0.06152,0.061253,0.079477,0.09412,0.10862,0.055764,0.056097,0.058228,1,0.37442,0.13323,0.10745,0.059749,0.27421,0.098002,0.10636,0.091182,0.092618,0.059187,1,0.11972,0.091565,0.064,0.29389,0.085691,0.097215,0.10375,0.12007,0.059257,1,0.069079,0.0679,0.094419,0.21526,0.24873,0.055937,0.054541,0.073239,1,0.067598,0.16202,0.090854,0.083265,0.15935,0.10762,0.073347,1,0.070206,0.083605,0.10654,0.074389,0.083824,0.19626,1,0.10235,0.10594,0.18425,0.1773,0.069545,1,0.42512,0.065842,0.061264,0.12973,1,0.067574,0.063939,0.13877,1,0.3561,0.082776,1,0.085293,1,-
1,0.33235,0.087291,0.24317,0.068363,0.3259,0.085948,0.085417,0.073586,0.053923,0.16798,0.1365,0.065304,0.066643,0.050729,0.076629,0.054549,0.05392,0.065083,0.065149,0.050625,1,0.089783,0.17411,0.072882,0.28467,0.080055,0.086677,0.06656,0.054582,0.14665,0.14546,0.065134,0.063479,0.050722,0.075114,0.053269,0.052968,0.066492,0.066505,0.050942,1,0.076051,0.1858,0.08878,0.21946,0.32218,0.05236,0.075022,0.072263,0.069556,0.13258,0.051342,0.064273,0.053579,0.074834,0.072716,0.052432,0.051991,0.061162,1,0.064608,0.24772,0.085554,0.078479,0.10184,0.054096,0.19331,0.1262,0.065134,0.078636,0.050001,0.076899,0.05522,0.053412,0.063015,0.062802,0.0505,1,0.072331,0.12822,0.18982,0.051943,0.10736,0.064439,0.064161,0.13565,0.052034,0.073227,0.053508,0.068961,0.071817,0.051358,0.051298,0.06045,1,0.10447,0.097254,0.073104,0.054072,0.2284,0.18452,0.073443,0.0699,0.051032,0.083107,0.058385,0.055771,0.067545,0.067664,0.051276,1,0.29266,0.055594,0.065189,0.095147,0.086409,0.15254,0.054331,0.064275,0.060026,0.09404,0.083893,0.053628,0.052882,0.067894,1,0.053139,0.075829,0.080503,0.079074,0.1728,0.052775,0.068512,0.05727,0.084381,0.082477,0.053353,0.052909,0.064985,1,0.050812,0.077723,0.064082,0.053714,0.10175,0.050128,0.063401,0.052323,0.051596,0.055672,0.055162,0.051734,1,0.052977,0.052606,0.087568,0.051004,0.095683,0.050854,0.057826,0.066364,0.050872,0.050805,0.059239,1,0.24644,0.074728,0.094919,0.052503,0.12172,0.067534,0.062138,0.082004,0.081347,0.054422,1,0.084358,0.085227,0.05619,0.13705,0.074729,0.070436,0.10321,0.10296,0.057576,1,0.058557,0.10629,0.066105,0.12724,0.14471,0.05872,0.058406,0.093115,1,0.059649,0.14721,0.072966,0.066548,0.11531,0.10885,0.063672,1,0.060908,0.10859,0.17638,0.064962,0.065045,0.15339,1,0.090231,0.079832,0.18077,0.173,0.072683,1,0.24616,0.08746,0.085427,0.19103,1,0.082527,0.082819,0.24718,1,0.77959,0.089775,1,0.090662,1,-
1,0.4127,0.078142,0.27531,0.065575,0.31058,0.063698,0.06879,0.13608,0.061788,0.093369,0.12341,0.056961,0.074317,0.061062,0.065479,0.05843,0.059571,0.068739,0.068723,0.068811,1,0.080707,0.23505,0.070168,0.28926,0.063061,0.071275,0.12982,0.063751,0.090156,0.13174,0.058715,0.074405,0.061685,0.066503,0.060496,0.060604,0.070521,0.07054,0.072217,1,0.068902,0.22171,0.073946,0.15125,0.22624,0.059233,0.089073,0.053837,0.057668,0.10221,0.054147,0.064763,0.054073,0.069966,0.067391,0.062498,0.062369,0.061478,1,0.061327,0.3289,0.065175,0.066217,0.17519,0.060549,0.1083,0.12767,0.057926,0.07896,0.059411,0.066666,0.05645,0.05836,0.067785,0.067926,0.065355,1,0.065134,0.12295,0.20631,0.057535,0.11027,0.053702,0.056854,0.11231,0.054266,0.068368,0.053483,0.066609,0.067591,0.059321,0.059203,0.058735,1,0.072164,0.07573,0.14742,0.05993,0.11733,0.16278,0.06063,0.080529,0.057736,0.07036,0.055555,0.058372,0.069755,0.069705,0.064101,1,0.1821,0.056791,0.075461,0.05799,0.064489,0.10505,0.051509,0.064679,0.050968,0.075371,0.071299,0.055702,0.055679,0.060455,1,0.056209,0.091565,0.055736,0.064252,0.13838,0.052255,0.06905,0.051794,0.072849,0.072184,0.05701,0.056902,0.061336,1,0.06005,0.11849,0.10943,0.055295,0.11235,0.059325,0.075883,0.056031,0.060775,0.072531,0.072539,0.061271,1,0.054569,0.056951,0.10708,0.056996,0.09464,0.054842,0.070344,0.085257,0.057307,0.057135,0.065837,1,0.12765,0.056215,0.12649,0.053355,0.098995,0.058961,0.059178,0.07594,0.075863,0.053253,1,0.068829,0.09232,0.054019,0.088546,0.057024,0.061536,0.084049,0.084069,0.055054,1,0.053863,0.10599,0.053152,0.091558,0.12391,0.053365,0.053164,0.073208,1,0.053513,0.17231,0.064291,0.05707,0.10541,0.10496,0.058161,1,0.053118,0.097993,0.16534,0.059792,0.059949,0.11266,1,0.070784,0.058452,0.134,0.13328,0.065067,1,0.13832,0.065043,0.064966,0.17773,1,0.064271,0.064363,0.12047,1,0.93136,0.098685,1,0.099196,1,-
