col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,Indicator
1,0.066538,1,0.050454,0.056578,1,0.052228,0.051686,0.050332,1,0.056403,0.065692,0.057867,0.053875,1,0.050783,0.055074,0.058468,0.053946,0.067535,1,0.052262,0.055462,0.051634,0.050899,0.064263,0.060785,1,-
1,0.083309,1,0.065999,0.066377,1,0.053617,0.060167,0.063511,1,0.061821,0.063121,0.079553,0.056931,1,0.049818,0.051818,0.062443,0.052682,0.063858,1,0.056486,0.054644,0.051681,0.053658,0.066598,0.053523,1,-
1,0.11632,1,0.056825,0.059931,1,0.052456,0.04879,0.069259,1,0.10231,0.098,0.066133,0.05316,1,0.049164,0.048237,0.10282,0.063068,0.057377,1,0.064645,0.058429,0.050021,0.049675,0.080718,0.05934,1,-
1,0.068942,1,0.059961,0.054155,1,0.051858,0.050967,0.080091,1,0.087223,0.0665,0.065371,0.05316,1,0.0527,0.050134,0.081945,0.071842,0.060212,1,0.060344,0.053021,0.050792,0.051904,0.067988,0.060064,1,-
1,0.083439,1,0.058198,0.058294,1,0.054398,0.051938,0.064372,1,0.062557,0.06442,0.056821,0.054891,1,0.050711,0.052622,0.06945,0.060773,0.056302,1,0.062323,0.059951,0.055496,0.052446,0.066568,0.063635,1,-
1,0.079728,1,0.056376,0.053812,1,0.052823,0.05177,0.073113,1,0.10563,0.074589,0.062768,0.05401,1,0.051641,0.051221,0.090828,0.083691,0.061489,1,0.074985,0.0621,0.054025,0.05204,0.11287,0.062529,1,-
1,0.094508,1,0.056796,0.059164,1,0.056175,0.05236,0.089241,1,0.086753,0.089202,0.068513,0.053307,1,0.051567,0.054772,0.11651,0.081948,0.062572,1,0.069704,0.068108,0.054257,0.054678,0.10834,0.060539,1,-
1,0.13623,1,0.060701,0.059899,1,0.057671,0.054455,0.06151,1,0.10193,0.091952,0.0827,0.051707,1,0.054782,0.0556,0.14632,0.052601,0.077643,1,0.064518,0.058063,0.05727,0.052674,0.089527,0.064249,1,-
1,0.10195,1,0.058104,0.058612,1,0.055165,0.053069,0.087544,1,0.090824,0.097139,0.057529,0.052395,1,0.052894,0.053677,0.094361,0.078842,0.053784,1,0.070032,0.067419,0.049756,0.049536,0.08722,0.054878,1,-
1,0.14526,1,0.056021,0.056276,1,0.055112,0.053308,0.070044,1,0.074084,0.081972,0.056488,0.053281,1,0.053183,0.053683,0.077668,0.065849,0.057042,1,0.070682,0.073965,0.052197,0.053159,0.087367,0.059328,1,-
1,0.11028,1,0.079338,0.070003,1,0.05919,0.059021,0.099019,1,0.08733,0.071838,0.080968,0.055785,1,0.052852,0.049802,0.12072,0.080388,0.06631,1,0.061589,0.056878,0.062097,0.056871,0.094093,0.068644,1,-
1,0.085138,1,0.074215,0.067749,1,0.057406,0.053756,0.06588,1,0.076259,0.064045,0.074129,0.056354,1,0.052346,0.05361,0.07744,0.054264,0.060606,1,0.05528,0.05147,0.049842,0.052474,0.067971,0.056562,1,-
1,0.097263,1,0.068566,0.073703,1,0.055617,0.053908,0.086154,1,0.081493,0.079399,0.074502,0.055675,1,0.05583,0.058573,0.12816,0.081206,0.070416,1,0.063823,0.056915,0.056242,0.052787,0.10619,0.071058,1,+
1,0.1423,1,0.062628,0.06968,1,0.059921,0.056874,0.06942,1,0.095381,0.084297,0.062773,0.053993,1,0.052611,0.052281,0.076976,0.059336,0.06252,1,0.064343,0.054108,0.050191,0.050955,0.091167,0.069496,1,+
1,0.11986,1,0.083055,0.079924,1,0.05593,0.055553,0.084602,1,0.08212,0.091173,0.066096,0.054783,1,0.054836,0.05872,0.11296,0.083443,0.058171,1,0.063889,0.058748,0.051832,0.053505,0.082108,0.057427,1,+
1,0.10199,1,0.069466,0.061906,1,0.054675,0.054966,0.058395,1,0.089345,0.076991,0.080298,0.057106,1,0.053879,0.053035,0.081463,0.055633,0.071552,1,0.059014,0.056248,0.051845,0.052786,0.07587,0.069625,1,+
1,0.098212,1,0.066803,0.063439,1,0.058573,0.050226,0.076695,1,0.075661,0.077662,0.073931,0.053475,1,0.052157,0.053105,0.073801,0.061267,0.066275,1,0.063472,0.061685,0.049959,0.049767,0.10128,0.072523,1,+
1,0.16838,1,0.11106,0.10003,1,0.071873,0.064725,0.083023,1,0.081527,0.078405,0.068278,0.059813,1,0.056128,0.056805,0.11013,0.07433,0.067997,1,0.063535,0.061547,0.053878,0.054963,0.11991,0.066596,1,+
1,0.16604,1,0.11024,0.090512,1,0.11358,0.085182,0.11063,1,0.09323,0.075215,0.16062,0.096516,1,0.057077,0.05419,0.098439,0.060655,0.12222,1,0.056837,0.054705,0.059395,0.054128,0.094993,0.11714,1,+
1,0.286,1,0.18487,0.18785,1,0.097832,0.087306,0.10003,1,0.15618,0.1528,0.14445,0.086396,1,0.067583,0.072417,0.09304,0.067748,0.078546,1,0.067578,0.066055,0.06253,0.061766,0.08633,0.067298,1,+
1,0.11648,1,0.061942,0.059828,1,0.050765,0.0539,0.080458,1,0.077564,0.077291,0.059891,0.051609,1,0.055105,0.053276,0.089259,0.079327,0.054867,1,0.08219,0.074952,0.055679,0.051894,0.081239,0.06054,1,+
1,0.18995,1,0.074805,0.074824,1,0.059195,0.05863,0.10931,1,0.10604,0.10607,0.075584,0.060744,1,0.055621,0.057074,0.11313,0.10846,0.067056,1,0.073236,0.067287,0.054153,0.052249,0.10552,0.059726,1,+
1,0.12147,1,0.078568,0.072161,1,0.05993,0.055934,0.085434,1,0.072701,0.079428,0.078188,0.059843,1,0.053706,0.053957,0.082129,0.063337,0.078564,1,0.058455,0.055125,0.05091,0.054381,0.08795,0.078877,1,+
1,0.081001,1,0.069342,0.060554,1,0.054892,0.053611,0.058963,1,0.078657,0.068018,0.077804,0.052304,1,0.049986,0.050657,0.067844,0.054219,0.066591,1,0.059603,0.056472,0.049229,0.052426,0.080073,0.075517,1,+
1,0.15472,1,0.080371,0.085566,1,0.064911,0.058682,0.064785,1,0.085887,0.085703,0.073575,0.057299,1,0.055626,0.053441,0.07869,0.059248,0.061567,1,0.054654,0.05082,0.05385,0.052415,0.065143,0.06724,1,+
