col 1,col 2,col 3,col 4,col 5,col 6,col 7,col 8,col 9,col 10,col 11,col 12,col 13,col 14,col 15,col 16,col 17,col 18,col 19,col 20,col 21,col 22,col 23,col 24,col 25,col 26,col 27,col 28,col 29,col 30,col 31,col 32,col 33,col 34,col 35,col 36,col 37,col 38,col 39,col 40,col 41,col 42,col 43,col 44,col 45,col 46,col 47,col 48,col 49,col 50,col 51,col 52,col 53,col 54,col 55,col 56,col 57,col 58,col 59,col 60,col 61,col 62,col 63,col 64,col 65,col 66,col 67,col 68,col 69,col 70,col 71,col 72,col 73,col 74,col 75,col 76,col 77,col 78,col 79,col 80,col 81,col 82,col 83
2.04E+05,1.75E+05,6.58E+05,4.65E+05,77260,1.14E+05,38454,46852,1.60E+05,78888,28374,22399,2.05E+06,29135,15267,75416,2.18E+05,49236,33458,89588,21608,2.62E+05,1.10E+08,4.11E+05,9542.4,17177,43555,3.71E+05,12915,5618,38250,12566,27053,46255,32377,24740,73677,15145,13621,26965,30615,64585,8784.7,45652,86970,24332,39213,23869,15891,16947,7579,11200,4332.6,15024,4126.4,10412,8491.7,4780.3,25807,64496,12497,13817,22308,6775.3,11673,27324,9222.9,84555,7490.8,23564,8276.7,64761,5428.3,25680,12225,54164,16263,19781,40704,54928,9722.2,11574,-
7785.6,17120,1.44E+05,1.42E+07,6.21E+06,7.68E+06,18912,20847,6896,8772.2,4229.9,21386,20367,27901,18013,13971,38248,14247,31843,7286.3,17806,17413,12792,10702,4117.9,4710.4,23015,16185,5877,18444,1.90E+05,5717.3,14017,4691.4,5935.3,3775.7,2784.8,3733.3,2687,3936.8,7358.8,19455,15064,5392.2,16271,4414.4,10420,19665,5874.2,7675.8,14790,37895,2585.4,7466.4,4209.1,39782,11358,1.07E+05,19533,18260,3789.7,5195.4,3085.9,10277,17558,42809,24931,8713.5,16143,29540,6836.6,3100.3,10998,14848,56008,74299,31335,8613.7,25926,40764,69834,9930,-
1.74E+05,44039,2.33E+05,63434,1.73E+05,72939,65747,47846,38741,54386,74175,88555,84530,94306,62222,49028,40084,53302,1.30E+05,58861,1.18E+05,28700,61434,44943,86305,82837,94971,28846,21782,60187,41181,33831,42115,45107,63187,46472,68795,1.00E+05,35754,37478,88486,1.35E+05,21983,53564,57041,42057,21642,1.77E+05,43239,52782,1.29E+05,31983,1.14E+05,18601,15211,20283,7727.7,22069,26983,14400,16421,12924,26575,42019,12270,12224,41294,8221.3,11038,23187,31228,30698,20591,30427,37810,5774.7,29483,11577,7732.8,28895,4.68E+05,1.18E+05,-
81470,73640,81365,6.04E+05,6.24E+05,3.86E+05,1.27E+05,5.90E+06,4.84E+05,58185,88491,1.37E+05,30182,86391,5.82E+05,47521,2.30E+05,38574,20447,1.17E+05,30112,25231,1.36E+05,99954,35530,1.11E+05,45127,29963,78156,48307,19667,71712,22955,36575,7.46E+05,2.08E+05,52551,31461,24156,17126,44676,2.44E+05,28380,50146,24270,15970,16203,21845,20459,62959,54502,17246,9302.7,8331.3,25368,20434,16083,18372,21715,7104.4,9840.9,13032,20618,2.61E+05,9156.6,8621.9,14578,27388,35669,56035,15128,11608,53251,32041,44925,33205,23896,28882,58149,46283,16834,16275,-
3312.2,2856.3,8721,4083.2,4427.7,2414.4,2406.2,3456,6614.9,1487.9,33665,34257,2423,2092.7,50004,3902.3,6926.4,2441.1,5611.7,2298.6,6965.7,1757.9,17132,69689,67892,6601.8,2183.6,1113.3,4016.9,2940.1,4425.8,1917.2,1078.5,2551.3,2.74E+05,6238.9,6067.6,3344.3,905.93,1294.8,1727.6,2432.4,3052.4,43593,8513.9,3230.9,2832.9,4155.2,2481.6,5554.2,6584,1271.6,4797.8,2431.2,6742.3,2982.5,1444.2,2299,3682.3,735.99,2.10E+05,2371.4,3852.7,2348.6,1969.2,70955,1899.2,1718.4,1334.7,1554.7,1206.5,1315.8,73174,1085.2,1274.3,854.29,1045.9,7188.9,1520.5,1548.1,1575.6,2537.1,-
48020,7.59E+05,1.49E+05,66088,16686,69399,18682,13074,30840,83248,91731,1.66E+05,62475,44824,98057,67573,46853,62269,12926,30511,19474,11044,57248,1.72E+05,43886,34710,26578,23847,18825,10510,10630,6630.6,24345,16344,42665,36831,57965,26714,28544,39672,9269.8,29670,74794,27880,6214.6,3772.5,45126,53165,84630,34270,29254,7547.3,1.28E+05,71902,75316,47036,62001,3.10E+05,8.83E+05,28794,40482,24352,11151,4814.7,28795,3278.8,2598.1,3571.4,8305.1,926.08,54897,3.17E+05,1.00E+05,80587,82814,30367,39096,7604.9,12386,38515,1.09E+05,29042,-
4179.3,16989,6887.9,10031,28067,12079,4443.8,16912,28818,7878.8,22674,52528,18140,11723,52718,9446.6,6449.7,10355,13474,2830.4,4953.3,11150,6703.1,15673,32869,13599,90729,9702.2,9313.6,11369,46608,4655.2,15066,9334.1,1.46E+05,8505.3,8440.4,4817.2,7856.8,24864,9356.8,23964,7701.1,13232,12687,5838.9,6020.8,33426,7320.4,4183.5,9843.3,9098.4,11894,11811,2.09E+05,4.60E+08,5256.6,2899.8,3267.7,4205.2,6968.2,2935.3,14958,9073.9,12885,24324,10034,9040.6,4569.6,7128.2,15170,3591.8,19788,7061,7507.9,6517,10241,1890.8,14778,4968,15588,4431.8,-
5437.4,4739.9,4104.4,81619,1378.3,7013.4,3582.4,5136,6042,13211,8924.1,4364.9,13347,10948,11174,8161.8,19110,62705,4021.6,12331,6055.7,3855,3898.2,7607.9,5806.6,9373.8,31319,8161.5,4580.8,4854.1,30752,4.21E+05,4768.2,35731,3.25E+05,1.07E+05,80088,37148,78985,3380.2,2071.5,2486.8,2804.8,2547.9,5106.6,8183.4,990.51,2231.8,2986.4,2176.5,6273.5,6.14E+05,5346.4,1441,7969.7,2676.2,29685,4111.8,4411.2,7145.3,26656,6446.3,38488,1566.5,1802.9,3392.6,2.70E+05,2613.6,2595.3,3707.8,1572.1,872.13,1412.4,1148.5,2030.3,4240,2132.9,2278.1,3483,2124,673.94,2427.7,-
1.03E+05,1.31E+05,26942,64759,68690,1.02E+05,1.18E+05,24136,29149,33143,33487,23505,13300,19527,50309,18743,32724,19851,59524,21065,25149,14611,24466,13635,23623,7933.2,47339,23198,13974,8601,10334,6741.8,5710.2,6644.2,34755,9952.9,13648,19182,7981.7,6920.1,4.59E+06,2.62E+06,1.06E+05,31073,27851,19378,9517.1,29574,6728.1,4943.7,22255,7561.4,27809,4200.6,26686,48008,16807,67333,75767,20319,9555.1,1.93E+05,18530,35222,45124,35038,66074,13190,21542,41577,6216.6,5240.9,8433.3,5915.7,17404,36387,10100,4839.5,7155.7,24933,10397,3036.5,-
43697,28433,7773.5,7165,80438,15885,12914,20511,47820,42490,22135,1.58E+05,8944,50909,94641,28954,31362,38318,13798,11840,22151,59088,3.62E+09,1.14E+08,14657,7688.7,15654,22304,28349,24867,22677,20156,14478,42634,22607,1.12E+05,83010,30802,17238,11118,11442,28163,2.10E+07,34727,1.80E+05,7.82E+05,1.29E+07,3.24E+06,1.16E+05,9.67E+05,13263,3.54E+05,5.14E+05,39699,30772,18591,13513,38296,61510,19993,14367,24573,23960,16467,10852,12395,13495,19116,23656,18348,15197,19047,20535,16735,20360,11991,28641,29397,76126,26919,9009.7,40599,-
