col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,Indicator
1,0.061078,1,0.054437,0.055195,1,0.055298,0.066195,0.059372,1,0.049713,0.059355,0.055059,0.066837,1,0.050687,0.054852,0.052354,0.064936,0.060785,1,0.052998,0.055773,0.052701,0.061557,0.080887,0.068661,1,-
1,0.12981,1,0.06465,0.070874,1,0.058132,0.073833,0.05441,1,0.051014,0.051812,0.053947,0.06182,1,0.057275,0.058198,0.050607,0.068181,0.053523,1,0.053191,0.051947,0.051179,0.058746,0.0722,0.060544,1,-
1,0.16911,1,0.07061,0.072926,1,0.074324,0.0925,0.061067,1,0.048039,0.047957,0.049565,0.055906,1,0.064015,0.07152,0.055966,0.088347,0.05934,1,0.048041,0.047468,0.051128,0.051937,0.1083,0.062554,1,-
1,0.093489,1,0.064752,0.059685,1,0.072073,0.075928,0.058525,1,0.05403,0.051618,0.052614,0.061692,1,0.058471,0.053361,0.054818,0.071882,0.060064,1,0.051887,0.049856,0.050198,0.05437,0.1434,0.059958,1,-
1,0.11486,1,0.077781,0.084602,1,0.066886,0.084383,0.072876,1,0.052952,0.054196,0.052535,0.06054,1,0.060057,0.067422,0.067505,0.090442,0.063635,1,0.052293,0.053092,0.052127,0.058613,0.085031,0.061778,1,-
1,0.097801,1,0.074125,0.070536,1,0.082415,0.096195,0.071446,1,0.052266,0.053418,0.052434,0.059019,1,0.067822,0.071967,0.066913,0.11877,0.062529,1,0.053498,0.051603,0.052707,0.053782,0.19749,0.061247,1,-
1,0.2004,1,0.092673,0.089687,1,0.082064,0.1017,0.072567,1,0.053361,0.053155,0.054186,0.063688,1,0.074544,0.084943,0.074704,0.097973,0.060539,1,0.052853,0.052137,0.052855,0.054873,0.14268,0.062335,1,-
1,0.21139,1,0.075772,0.076812,1,0.088478,0.10859,0.073364,1,0.054954,0.060056,0.05807,0.076437,1,0.062613,0.067978,0.059954,0.10241,0.064249,1,0.051796,0.050489,0.052471,0.058492,0.1462,0.063932,1,-
1,0.13597,1,0.086293,0.084344,1,0.083116,0.10396,0.07955,1,0.051424,0.053439,0.0515,0.054496,1,0.065782,0.068074,0.074927,0.10201,0.054878,1,0.052397,0.050914,0.049534,0.052824,0.12722,0.059645,1,-
1,0.16037,1,0.087521,0.1038,1,0.079238,0.11725,0.090656,1,0.052047,0.050759,0.049744,0.060168,1,0.068558,0.082289,0.07839,0.10954,0.059328,1,0.052485,0.051658,0.048927,0.054099,0.14022,0.06932,1,-
1,0.13989,1,0.074404,0.070976,1,0.07653,0.083379,0.06848,1,0.054222,0.052945,0.051707,0.072667,1,0.061969,0.064102,0.060401,0.12004,0.068644,1,0.053499,0.053465,0.051939,0.064298,0.15968,0.069602,1,-
1,0.12376,1,0.056731,0.055893,1,0.070706,0.093368,0.053179,1,0.053103,0.05609,0.048368,0.059962,1,0.054827,0.057247,0.050514,0.08338,0.056562,1,0.050341,0.054137,0.050011,0.056309,0.083039,0.064431,1,-
1,0.1651,1,0.08254,0.083631,1,0.075868,0.10205,0.066949,1,0.056086,0.062302,0.057112,0.071675,1,0.062505,0.071396,0.057273,0.15,0.071058,1,0.054667,0.05744,0.052662,0.064218,0.23712,0.070766,1,+
1,0.22123,1,0.068172,0.068608,1,0.097506,0.1303,0.062584,1,0.05533,0.053554,0.052272,0.063348,1,0.06125,0.068141,0.062223,0.12212,0.069496,1,0.05365,0.052637,0.05659,0.05657,0.145,0.074267,1,+
1,0.25392,1,0.060751,0.062754,1,0.087907,0.12549,0.059286,1,0.057699,0.056186,0.053401,0.058936,1,0.060212,0.069259,0.05671,0.10555,0.057427,1,0.050291,0.0482,0.05204,0.052003,0.12605,0.055953,1,+
1,0.16952,1,0.085342,0.085997,1,0.082698,0.11068,0.082031,1,0.054453,0.059333,0.052333,0.072518,1,0.057298,0.063549,0.062483,0.087144,0.069625,1,0.050633,0.052204,0.054942,0.056887,0.11451,0.088156,1,+
1,0.17413,1,0.081536,0.098169,1,0.071668,0.094015,0.073567,1,0.050866,0.051555,0.05468,0.067088,1,0.059604,0.068222,0.070004,0.10913,0.072523,1,0.051818,0.05223,0.053419,0.055893,0.14099,0.072345,1,+
1,0.24805,1,0.064852,0.073134,1,0.070194,0.10356,0.079501,1,0.056329,0.062005,0.05345,0.074876,1,0.061904,0.076431,0.069099,0.14206,0.066596,1,0.058996,0.063928,0.055762,0.077623,0.20733,0.071504,1,+
1,0.14199,1,0.091485,0.12925,1,0.076061,0.14807,0.080724,1,0.054663,0.082741,0.06638,0.12516,1,0.055341,0.066065,0.059138,0.11456,0.11714,1,0.054519,0.060508,0.054313,0.07913,0.17809,0.1385,1,+
1,0.36071,1,0.16721,0.17838,1,0.091972,0.10274,0.091359,1,0.069291,0.07125,0.071564,0.065955,1,0.066381,0.068942,0.065304,0.080238,0.067298,1,0.06639,0.066659,0.064754,0.065115,0.094819,0.082546,1,+
1,0.1315,1,0.10239,0.10043,1,0.08971,0.11112,0.093925,1,0.054316,0.053993,0.052089,0.059283,1,0.0757,0.083868,0.085877,0.13607,0.06054,1,0.052556,0.052167,0.051281,0.055241,0.14777,0.058605,1,+
1,0.21389,1,0.085863,0.097204,1,0.071265,0.084318,0.06879,1,0.057072,0.059731,0.055981,0.060389,1,0.069647,0.078558,0.073207,0.082503,0.059726,1,0.056407,0.05521,0.053712,0.053637,0.15709,0.060369,1,+
1,0.12746,1,0.069627,0.079932,1,0.077684,0.13446,0.066696,1,0.052017,0.061625,0.057626,0.075775,1,0.054908,0.067114,0.057776,0.10843,0.078877,1,0.052075,0.052513,0.055198,0.058311,0.15576,0.076629,1,+
1,0.12893,1,0.065014,0.063235,1,0.074036,0.090714,0.061103,1,0.049948,0.052792,0.050005,0.07397,1,0.057897,0.063,0.055793,0.090939,0.075517,1,0.052873,0.0509,0.049533,0.057362,0.1486,0.079536,1,+
1,0.17116,1,0.074226,0.079299,1,0.071049,0.088904,0.057493,1,0.054242,0.058828,0.055615,0.06235,1,0.051269,0.059844,0.054384,0.073115,0.06724,1,0.05332,0.054217,0.051151,0.056084,0.12153,0.074707,1,+
