col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,Indicator
1,0.056138,1,0.057905,0.059492,1,0.054142,0.051887,0.056691,1,0.057951,0.052214,0.060901,0.058517,1,0.059396,0.058294,0.064294,0.059056,0.069238,1,0.052739,0.05443,0.05754,0.058907,0.058373,0.066848,1,-
1,0.06965,1,0.057144,0.069466,1,0.052188,0.066678,0.074972,1,0.070156,0.056609,0.056986,0.057074,1,0.05399,0.065505,0.068081,0.076078,0.062851,1,0.057765,0.068862,0.076394,0.095718,0.066783,0.10107,1,-
1,0.057055,1,0.056437,0.11006,1,0.052531,0.080823,0.11306,1,0.076342,0.056335,0.055274,0.053333,1,0.053232,0.092953,0.1365,0.13729,0.05846,1,0.054819,0.091111,0.14647,0.13692,0.058728,0.18535,1,-
1,0.069067,1,0.061596,0.17273,1,0.052869,0.10014,0.12169,1,0.10054,0.05971,0.065916,0.05946,1,0.053648,0.12678,0.1474,0.12511,0.069013,1,0.05632,0.12595,0.14761,0.12366,0.065636,0.17078,1,-
1,0.069698,1,0.077993,0.217,1,0.056651,0.089203,0.10423,1,0.090848,0.075158,0.087565,0.071383,1,0.06061,0.14527,0.16847,0.11502,0.090785,1,0.056618,0.1194,0.14639,0.10904,0.086336,0.19673,1,-
1,0.057184,1,0.055811,0.12019,1,0.054215,0.087368,0.11183,1,0.062564,0.051882,0.052747,0.052004,1,0.052317,0.095109,0.1154,0.11206,0.055615,1,0.052973,0.10067,0.13147,0.13653,0.057299,0.16116,1,-
1,0.064436,1,0.05585,0.084666,1,0.050917,0.073025,0.097581,1,0.084358,0.052795,0.054229,0.058662,1,0.053322,0.078035,0.093346,0.095923,0.06274,1,0.058892,0.067124,0.099798,0.10264,0.061538,0.10554,1,-
1,0.08326,1,0.063179,0.18274,1,0.052032,0.093233,0.11491,1,0.072004,0.07137,0.074815,0.063837,1,0.056695,0.12188,0.14126,0.13159,0.076997,1,0.054614,0.12564,0.16607,0.16094,0.078283,0.2188,1,-
1,0.068404,1,0.058597,0.10058,1,0.049652,0.065758,0.064927,1,0.069795,0.056038,0.062469,0.051402,1,0.053822,0.076729,0.072486,0.063076,0.058078,1,0.05306,0.11384,0.11355,0.090785,0.067909,0.095025,1,-
1,0.080767,1,0.062199,0.082923,1,0.056387,0.066079,0.08477,1,0.05638,0.05436,0.059097,0.057147,1,0.051233,0.06262,0.066765,0.065504,0.058669,1,0.05553,0.0623,0.076298,0.081511,0.052027,0.067673,1,-
1,0.061992,1,0.05834,0.14134,1,0.050538,0.081218,0.097047,1,0.07992,0.057129,0.063809,0.056384,1,0.049576,0.10219,0.10684,0.10066,0.060476,1,0.051392,0.10366,0.12853,0.14414,0.063849,0.14926,1,-
1,0.062898,1,0.054235,0.073496,1,0.053837,0.067275,0.061655,1,0.073126,0.055041,0.055143,0.053549,1,0.050398,0.075621,0.066051,0.077814,0.069415,1,0.05386,0.085538,0.079321,0.11037,0.06448,0.14998,1,-
1,0.090377,1,0.068007,0.16429,1,0.056414,0.11021,0.16681,1,0.093477,0.061927,0.065022,0.06033,1,0.062883,0.1272,0.1529,0.16538,0.069877,1,0.060959,0.12315,0.17484,0.19477,0.069664,0.24293,1,+
1,0.10523,1,0.080059,0.14061,1,0.060444,0.095484,0.13332,1,0.088356,0.056866,0.067074,0.062773,1,0.060076,0.10302,0.15538,0.19763,0.069999,1,0.065902,0.10863,0.17347,0.17912,0.07267,0.28059,1,+
1,0.2246,1,0.14436,0.19842,1,0.071124,0.080532,0.11829,1,0.10308,0.093518,0.13816,0.12912,1,0.081589,0.096815,0.13901,0.16425,0.18073,1,0.095875,0.12047,0.21915,0.17618,0.1908,0.29518,1,+
1,0.20255,1,0.12781,0.16192,1,0.072106,0.069808,0.088581,1,0.097783,0.090731,0.088947,0.076871,1,0.07224,0.089668,0.09452,0.07853,0.0779,1,0.080615,0.094468,0.10954,0.11034,0.091242,0.11529,1,+
1,0.066044,1,0.054354,0.095566,1,0.054005,0.06624,0.081025,1,0.086351,0.061118,0.062348,0.059774,1,0.056481,0.087679,0.10254,0.098955,0.068173,1,0.056614,0.087087,0.10944,0.11972,0.064357,0.18518,1,+
1,0.093033,1,0.073534,0.14928,1,0.060727,0.094247,0.13987,1,0.095877,0.060399,0.064584,0.060965,1,0.061852,0.11499,0.13806,0.12218,0.061205,1,0.062518,0.11675,0.16409,0.17017,0.067126,0.16659,1,+
1,0.10033,1,0.079424,0.16046,1,0.058461,0.081937,0.13489,1,0.081792,0.062277,0.0731,0.075859,1,0.066189,0.081554,0.10657,0.13542,0.10509,1,0.06789,0.085674,0.14054,0.18563,0.083336,0.19081,1,+
1,0.07181,1,0.059144,0.095445,1,0.052601,0.06459,0.088616,1,0.084117,0.055714,0.065768,0.055936,1,0.051622,0.073457,0.11031,0.093066,0.075117,1,0.054768,0.070896,0.12893,0.10772,0.069899,0.19942,1,+
1,0.09654,1,0.080959,0.099516,1,0.059044,0.058704,0.068675,1,0.076343,0.058598,0.066862,0.064716,1,0.057075,0.071429,0.082194,0.07018,0.078334,1,0.054129,0.06485,0.07437,0.078756,0.069286,0.10035,1,+
1,0.067605,1,0.064193,0.10719,1,0.050997,0.068453,0.12441,1,0.070753,0.051981,0.069569,0.064336,1,0.052345,0.073259,0.13968,0.11841,0.07929,1,0.051883,0.063991,0.12406,0.13356,0.065583,0.15018,1,+
1,0.091208,1,0.066977,0.13737,1,0.053357,0.074744,0.099499,1,0.097656,0.059154,0.060511,0.05353,1,0.056354,0.1053,0.16557,0.10197,0.060041,1,0.058676,0.10611,0.18105,0.11198,0.054316,0.19549,1,+
1,0.092109,1,0.068611,0.12427,1,0.054232,0.064731,0.085887,1,0.085122,0.06232,0.069055,0.067096,1,0.060568,0.078634,0.10319,0.11583,0.086718,1,0.054398,0.077284,0.10558,0.13442,0.076039,0.18252,1,+
1,0.080507,1,0.06238,0.13323,1,0.048506,0.075424,0.10787,1,0.070858,0.053869,0.065903,0.063565,1,0.051376,0.075042,0.0952,0.12045,0.082527,1,0.05343,0.084332,0.12953,0.16975,0.074622,0.18576,1,+
