col 1,col 2,col 3,col 4,col 5,col 6,col 7,col 8,col 9,col 10,col 11,col 12,col 13,col 14,col 15,col 16,col 17,col 18,col 19,col 20,col 21,col 22,col 23,col 24,col 25,col 26,col 27,col 28,col 29,col 30,col 31,col 32,col 33,col 34,col 35,col 36,col 37,col 38,col 39,col 40,col 41,col 42,col 43,col 44,col 45,col 46,col 47,col 48,col 49,col 50,col 51,col 52,col 53,col 54,col 55,col 56,col 57,col 58,col 59,col 60,col 61,col 62,col 63,col 64,col 65,col 66,col 67,col 68,col 69,col 70,col 71,col 72,col 73,col 74,col 75,col 76,col 77,col 78,col 79,col 80,col 81,col 82,col 83,col 84,col 85,col 86,col 87,col 88,col 89,col 90,col 91,col 92,col 93,col 94,col 95,col 96,col 97,col 98,col 99,col 100,col 101,col 102,col 103,col 104,col 105,col 106,col 107,col 108,col 109,col 110,col 111,col 112,col 113,col 114,col 115,col 116,col 117,col 118,col 119,col 120,col 121,col 122,col 123,col 124,col 125,col 126,col 127,col 128,col 129,col 130,col 131,col 132,col 133,col 134,col 135,col 136,col 137,col 138,col 139,col 140,col 141,col 142,col 143,col 144,col 145,col 146,col 147,col 148,col 149,col 150,col 151,col 152,col 153,col 154,col 155,col 156,col 157,col 158,col 159,col 160,col 161,col 162,col 163,col 164,col 165,col 166,col 167,col 168,col 169,col 170,col 171,col 172,col 173,col 174,col 175,col 176,col 177,col 178,col 179,col 180,col 181,col 182,col 183,col 184,col 185,col 186,col 187,col 188,col 189,col 190,col 191,col 192,col 193,col 194,col 195,col 196,col 197,col 198,col 199,col 200,col 201,col 202,col 203,col 204
14.223,-6.5862,0.00085524,-0.011851,0.97716,0.95485,1.0624,1.14E+05,1116.5,14.556,22.636,-7.3193,-0.00020645,-0.014167,1.0762,1.1581,1.1094,-5.21E+05,-5609.7,21.034,13.386,-5.1963,0.001725,-0.01424,1.0229,1.0463,1.2637,59300,606.58,13.086,9.3113,-9.5499,0.001042,0.018255,0.86878,0.75478,0.80828,83379,724.38,10.718,11.398,-9.42,0.0026087,0.0052799,0.93813,0.88009,1.0645,35962,337.37,12.15,5.7583,-6.1193,0.0021806,-0.0028442,1.0015,1.0031,1.2626,45929,460,5.7494,15.069,-4.7334,-0.0013492,-0.012414,1.025,1.0506,1.2729,-75969,-778.67,14.702,6.7229,-4.4931,-0.0036247,-0.015713,1.0566,1.1164,1.3115,-29150,-307.99,6.3629,11.805,-6.3279,0.00091734,-0.048814,0.95942,0.92049,1.0498,1.05E+05,1003.4,12.304,7.0849,-6.9483,0.002604,-0.017277,0.95453,0.91112,1.1301,36656,349.9,7.4224,10.857,-3.5825,-0.019063,-0.033467,0.76511,0.58539,0.92774,-4013.5,-30.708,14.19,9.9821,-7.2819,-0.0046892,0.049975,0.89297,0.7974,1.0544,-19043,-170.05,11.178,10.295,-13.342,0.0023952,0.014901,0.93193,0.8685,1.1021,38908,362.6,11.047,5.9851,-5.3162,0.00066129,0.0096103,0.99157,0.98322,1.279,1.50E+05,1486.8,6.0359,13.84,-5.1326,0.0010322,-3.84E-05,1.0145,1.0292,1.2695,98283,997.06,13.642,5.0896,-4.9514,0.0042687,0.0065539,0.99442,0.98887,1.2432,23295,231.65,5.1182,14.092,-6.6183,-0.0019624,0.052929,1.1692,1.3671,1.4957,-59582,-696.65,12.052,5.6193,-5.381,0.0032795,-0.012217,0.98929,0.9787,1.2465,30166,298.43,5.6802,13.339,-5.0246,0.00062429,-0.0027949,0.98948,0.97906,1.266,1.59E+05,1568.3,13.481,21.643,-12.284,0.0009107,-0.034511,1.2145,1.4751,1.2887,1.33E+05,1619.7,17.82,81.82,11.364,0.68833,-
21.501,-21.535,-0.0010289,0.008395,0.78783,0.62067,0.85734,-76568,-603.22,27.291,19.673,-19.565,0.0037529,0.12768,0.83315,0.69415,1.1153,22200,184.96,23.613,15.611,-15.685,0.00091478,-0.028171,0.96286,0.9271,1.4903,1.05E+05,1013.5,16.214,11.107,-10.885,0.0049009,0.04442,0.59946,0.35935,0.58827,12232,73.324,18.528,19.697,-18.627,0.0084554,0.0086548,0.83863,0.7033,0.84309,9918.3,83.177,23.487,13.69,-13.686,0.089337,-0.038055,1.5246,2.3243,0.98021,1706.6,26.018,8.9793,12.05,-12.062,0.040763,-0.019869,1.4875,2.2128,1.3853,3649.3,54.284,8.1006,14.686,-11.787,0.0028472,0.012619,0.92186,0.84983,1.3943,32378,298.48,15.931,25.287,-23.277,0.0049855,0.010249,0.87285,0.76187,0.97715,17508,152.82,28.97,28.33,-26.931,0.0049349,-0.0017375,0.92845,0.86201,0.99376,18814,174.68,30.514,27.654,-25.545,0.0087106,0.017361,0.98428,0.96881,1.0951,11300,111.22,28.096,9.5544,-9.2838,-0.010527,0.021396,0.50231,0.25232,0.53052,-4771.6,-23.968,19.021,18.837,-14.947,0.0043616,0.028165,0.7768,0.60343,0.89777,17810,138.35,24.249,23.222,-20.883,0.0044819,0.035868,0.92755,0.86034,1.1376,20695,191.96,25.036,25.827,-23.167,0.0061506,0.022381,0.9485,0.89964,1.1185,15421,146.27,27.23,14.927,-21.416,-0.0032589,-0.0011554,0.93491,0.87406,1.1987,-28688,-268.21,15.966,19.069,-18.243,0.0059015,0.0065098,0.72759,0.52939,0.87151,12329,89.703,26.209,23.997,-19.792,0.0054595,0.027651,0.94471,0.89248,1.027,17304,163.47,25.401,20.742,-19.38,0.00085142,-0.10109,1.0825,1.1718,1.3922,1.27E+05,1376.3,19.161,26.054,-24.754,0.0062484,-0.0085703,1.051,1.1045,1.0944,16819,176.76,24.79,76.377,11.364,0.55691,-
7.4815,-4.6645,-0.00019627,-0.034433,0.97857,0.9576,1.1311,-4.99E+05,-4878.9,7.6454,6.4877,-5.3953,0.003144,-0.023817,0.97391,0.94851,1.1497,30977,301.69,6.6615,17.002,-4.6421,0.0017019,-0.016277,1.0013,1.0026,1.2754,58835,589.13,16.98,7.3998,-6.6213,0.0015644,-0.025963,0.99216,0.98439,1.2124,63422,629.25,7.4583,9.3874,-6.9217,0.0056354,-0.0029664,0.98588,0.97196,1.1516,17495,172.48,9.5218,6.3207,-5.7119,-0.0020033,-0.042213,0.98185,0.96403,1.2061,-49012,-481.22,6.4375,16.866,-4.7378,0.0035278,-0.019215,0.9812,0.96275,1.2022,27814,272.91,17.19,7.405,-4.4425,0.0031867,0.025483,0.96402,0.92934,1.3319,30252,291.63,7.6814,19.876,-5.5879,-0.0007631,-0.09039,0.98807,0.97629,0.96685,-1.29E+05,-1279.4,20.116,3.9353,-4.6901,0.010116,-0.1146,0.99382,0.98767,0.91988,9823.9,97.631,3.9598,20.537,-6.9775,0.01149,-0.09585,0.98701,0.97419,0.95611,8590.1,84.785,20.807,9.8636,-8.6405,0.0047119,-0.0066503,1.0056,1.0113,0.85382,21342,214.62,9.8085,9.3915,-6.8845,0.0039105,-0.0035056,0.98642,0.97302,1.0874,25225,248.82,9.5208,6.9016,-5.2611,0.0022087,-0.042844,0.98267,0.96564,1.131,44491,437.2,7.0234,17.565,-4.8142,-0.00068003,-0.032759,0.97334,0.94739,1.1904,-1.43E+05,-1393.2,18.046,8.3601,-4.5382,0.0019156,-0.046718,0.98,0.9604,1.1309,51160,501.36,8.5307,14.001,-5.3635,0.0041426,-0.021974,0.98882,0.97777,1.292,23869,236.03,14.16,5.7137,-5.2326,0.0011674,-0.020086,0.97677,0.95409,1.1888,83674,817.31,5.8496,11.038,-4.9971,-0.0040981,-0.037426,1.0126,1.0254,1.274,-24709,-250.2,10.9,5.1161,-4.1769,0.0038079,-0.10287,0.98057,0.96151,1.1346,25751,252.5,5.2175,66.579,11.364,0.68739,-
5.2678,-5.5818,0.0014021,-0.010795,0.84695,0.71733,1.0271,60405,511.6,6.2196,7.2572,-5.071,-0.00057341,-0.023641,0.9649,0.93104,1.2281,-1.68E+05,-1623.7,7.5211,5.5625,-5.2283,-0.0031792,-0.017424,1.0736,1.1526,1.3917,-33769,-362.54,5.1812,7.7982,-9.0274,-0.00037415,-0.0029673,0.8509,0.72403,0.93519,-2.27E+05,-1935.1,9.1647,6.3067,-10.448,3.15E-05,0.0044376,0.98318,0.96664,1.1739,3.12E+06,30700,6.4146,5.6847,-5.3299,0.0010024,-0.00045825,0.91687,0.84065,1.1531,91465,838.62,6.2001,4.6989,-5.7265,-0.000958,-0.012232,1.0721,1.1494,1.3714,-1.12E+05,-1199.7,4.383,6.1753,-4.7693,-0.001645,-0.0023991,1.1455,1.3123,1.4273,-69639,-797.75,5.3907,6.5445,-5.4209,0.0029516,-0.055188,0.77306,0.59763,0.92089,26191,202.48,8.4657,5.7599,-5.0956,-0.00199,-0.024006,0.99817,0.99634,1.2543,-50160,-500.68,5.7705,6.1919,-5.4647,-0.0024744,-0.012304,1.0954,1.1998,1.3836,-44267,-484.88,5.6529,11.565,-11.654,0.0087676,-0.080226,1.2972,1.6826,1.0583,14795,191.91,8.9154,16.354,-14.636,0.00033474,0.0078193,1.2569,1.5799,1.1584,3.75E+05,4719.7,13.011,11.81,-5.1412,0.0013411,-0.011528,1.0683,1.1414,1.3215,79661,851.06,11.055,6.7564,-5.3108,-0.0019813,0.0068346,1.0848,1.1768,1.3929,-54751,-593.93,6.2283,5.7497,-4.9245,-0.0010332,0.0070447,1.1212,1.257,1.3989,-1.09E+05,-1216.6,5.1283,8.1938,-4.4816,0.00075762,-0.087719,0.97088,0.94261,1.3516,1.28E+05,1244.2,8.4395,6.411,-4.9956,0.0015887,0.00065185,1.0582,1.1198,1.3456,66607,704.83,6.0585,5.037,-5.0199,-0.0023422,-0.0068572,1.0748,1.1552,1.3812,-45889,-493.21,4.6865,5.9018,-4.8248,-0.0017228,-0.041006,1.1429,1.3063,1.3832,-66340,-758.2,5.1639,73.824,11.364,0.69028,-
8.5712,-8.6874,-0.058159,-0.043355,0.62037,0.38486,0.46518,-1066.7,-6.6174,13.816,7.0963,-7.2011,-0.056195,-0.04875,0.81339,0.6616,0.83412,-1447.4,-11.773,8.7243,8.7995,-8.5181,-0.064901,-0.035311,0.54117,0.29286,0.44535,-833.83,-4.5124,16.26,5.9903,-6.0856,-0.034041,-0.026163,0.77776,0.60491,0.39603,-2284.8,-17.77,7.702,7.9461,-8.0862,-0.051807,-0.030271,0.64284,0.41324,0.41404,-1240.8,-7.9765,12.361,8.323,-8.5288,-0.067879,-0.032233,0.59669,0.35604,0.49335,-879.04,-5.2451,13.949,9.0106,-8.642,-0.069492,-0.062518,0.47182,0.22262,0.32908,-678.96,-3.2035,19.097,8.6323,-8.7821,-0.060104,-0.037005,0.61734,0.3811,0.47726,-1027.1,-6.3407,13.983,8.4457,-8.4788,-0.0085496,-0.047155,0.87203,0.76043,0.4108,-10200,-88.944,9.6851,8.8815,-8.9536,-0.057832,-0.046807,0.61518,0.37845,0.43703,-1063.7,-6.5439,14.437,8.387,-8.4823,-0.056653,-0.027139,0.77471,0.60018,0.40165,-1367.5,-10.594,10.826,6.12,-6.2165,-0.049254,-0.037737,0.69474,0.48267,0.40575,-1410.5,-9.7996,8.8091,8.3492,-8.507,-0.056158,-0.027639,0.62052,0.38504,0.4638,-1105,-6.8564,13.455,8.8103,-8.9644,-0.058217,-0.04078,0.61452,0.37764,0.41084,-1055.6,-6.4867,14.337,8.8427,-9.0737,-0.059844,-0.059263,0.59679,0.35615,0.35851,-997.24,-5.9514,14.817,7.4592,-7.698,-0.058233,-0.050991,0.79903,0.63845,0.40275,-1372.1,-10.964,9.3353,8.3148,-8.4534,-0.052371,-0.037883,0.64695,0.41855,0.41407,-1235.3,-7.9919,12.852,9.349,-9.4615,-0.068802,-0.049732,0.59823,0.35788,0.4392,-869.49,-5.2015,15.628,10.083,-10.203,-0.069627,-0.077949,0.46582,0.21699,0.17866,-669.03,-3.1165,21.645,8.4209,-8.3921,-0.067222,-0.050908,0.58451,0.34165,0.41793,-869.51,-5.0824,14.407,68.648,11.364,0.65511,-
14.017,-5.1598,0.0061642,-0.013539,0.9333,0.87104,1.0706,15141,141.31,15.018,9.6339,-11.375,0.0035493,-0.035387,0.94026,0.88409,1.0979,26492,249.09,10.246,18.98,-3.7189,0.0035046,-0.054434,1.0033,1.0065,1.1259,28627,287.21,18.918,11.2,-11.287,0.01057,0.014512,1.5209,2.3133,0.89922,14390,218.86,7.3641,15.505,-4.7914,0.0071052,-0.017828,0.93679,0.87758,1.053,13185,123.51,16.551,6.4386,-4.7495,0.0049922,-0.036188,0.97277,0.94629,1.1614,19486,189.55,6.6188,12.526,-12.192,-0.00065862,0.059978,1.062,1.1279,1.5841,-1.61E+05,-1712.5,11.794,7.0645,-6.4289,2.42E-05,-0.053298,1.009,1.0182,1.2085,4.16E+06,41999,7.0012,16.658,-5.8949,0.0057648,-0.062354,0.76814,0.59003,0.79851,13325,102.35,21.686,6.4999,-5.9769,0.0039256,-0.060663,0.9048,0.81866,1.0153,23048,208.54,7.1838,18.008,-10.861,0.009789,-0.044216,1.0097,1.0195,1.1321,10315,104.15,17.835,7.6602,-8.2317,-0.00029143,0.002809,0.74102,0.54911,0.80627,-2.54E+05,-1884.2,10.337,13.893,-5.4878,0.0029099,0.00086822,0.93006,0.86502,1.1086,31962,297.26,14.938,6.4447,-6.2822,0.0019288,-0.027806,0.95388,0.90989,1.1545,49455,471.74,6.7563,17.164,-4.3919,0.0067425,-0.013019,1.0109,1.022,1.189,14993,151.57,16.979,16.448,-17.019,0.0046286,-0.014547,0.94569,0.89433,1.0837,20431,193.22,17.393,13.113,-5.1873,-0.0013425,0.034135,1.1524,1.3279,1.4287,-85836,-989.14,11.38,17.878,-8.4934,-0.0017723,-0.02921,1.1497,1.3217,1.0309,-64866,-745.74,15.551,18.99,-16.658,0.00074906,-0.034248,1.0306,1.0622,1.1482,1.38E+05,1418,18.426,8.7332,-5.1671,-0.0014455,-0.076965,1.0638,1.1316,1.2368,-73589,-782.81,8.2098,73.224,11.364,0.67038,+
14.738,-14.262,-0.0013195,0.012235,0.97446,0.94957,1.1419,-73849,-719.63,15.125,16.906,-17.084,-0.00053841,-0.0040955,1.0343,1.0698,1.241,-1.92E+05,-1987,16.345,10.478,-8.2593,-0.00066945,0.036313,1.0152,1.0306,1.2904,-1.52E+05,-1539.5,10.321,18.392,-17.962,0.0041025,0.001051,0.74066,0.54858,0.52851,18054,133.72,24.832,11.849,-18.162,0.01162,0.024757,0.99023,0.98056,1.2235,8521.5,84.383,11.966,13.344,-8.5871,0.00027938,-0.006197,1.0524,1.1075,1.289,3.77E+05,3964.2,12.68,11.821,-7.0444,-0.00010891,-0.0097745,1.0203,1.0409,1.2369,-9.37E+05,-9557.6,11.586,10.082,-5.5807,0.0044413,-0.00098964,0.97894,0.95832,1.186,22042,215.78,10.299,14.747,-11.129,5.64E-06,-0.0015513,1.0842,1.1756,1.3187,1.92E+07,2.09E+05,13.602,14.308,-10.176,0.0013698,-0.025037,0.99687,0.99375,1.2185,72777,725.49,14.353,9.1676,-5.2235,0.0013931,-0.016196,0.77971,0.60795,0.85087,55968,436.39,11.758,11.443,-11.398,-0.015302,-0.016586,0.71286,0.50816,0.58056,-4658.7,-33.21,16.052,11.614,-17.015,3.17E-05,0.0099224,1.0089,1.018,1.2383,3.18E+06,32071,11.511,13.671,-18.424,0.00059145,0.0028338,1.0484,1.0991,1.2592,1.77E+05,1858.4,13.04,11.236,-6.2774,0.0020035,-0.0015255,0.87073,0.75816,1.0252,43461,378.42,12.904,10.225,-10.153,0.00078322,-0.011798,0.90213,0.81383,0.99499,1.15E+05,1039.1,11.334,12.171,-19.65,0.0066806,0.01447,1.0354,1.072,1.2725,15499,160.47,11.755,22.966,-7.7319,6.40E-05,0.0079018,1.0719,1.149,1.3243,1.68E+06,17965,21.425,11.95,-7.1556,-0.00040665,0.010613,1.0133,1.0267,1.3126,-2.49E+05,-2524.8,11.793,11.292,-6.3741,0.00070983,-2.24E-05,1.0144,1.029,1.2199,1.43E+05,1449.6,11.132,72.412,11.364,0.67338,+
5.8829,-7.9284,0.0030713,-0.011435,0.90099,0.81179,0.98529,29336,264.31,6.5294,12.315,-16.33,0.0026912,-0.023127,0.98799,0.97612,1.0641,36712,362.71,12.465,7.6221,-11.935,0.00085386,-0.025867,0.9387,0.88115,1.0724,1.10E+05,1032,8.1199,5.8489,-6.2626,-0.0058023,0.060005,0.84316,0.71091,1.0469,-14531,-122.52,6.9369,7.5465,-8.4642,0.0041149,-0.0069036,0.96679,0.93468,0.98991,23495,227.15,7.8058,11.587,-15.003,0.00027151,-0.022176,0.99627,0.99255,1.1011,3.67E+05,3655.7,11.631,6.5044,-9.9814,-0.00019479,-0.030156,0.96545,0.93209,1.0979,-4.96E+05,-4785,6.7372,6.9666,-6.0086,-0.0097243,-0.021105,0.79168,0.62676,0.93347,-8141.3,-64.453,8.7997,6.7725,-9.2106,0.0059039,-0.053092,0.9019,0.81342,0.91798,15276,137.78,7.5092,6.5784,-6.8617,0.0036753,-0.036942,0.90302,0.81545,1.0185,24570,221.87,7.2849,6.8855,-7.3593,0.0043312,-0.025057,0.9516,0.90555,1.1097,21971,209.08,7.2357,6.5295,-7.2956,-0.006729,0.015982,0.76314,0.58238,0.75951,-11341,-86.548,8.5561,7.5547,-8.9427,0.0026206,-0.0075247,0.9603,0.92217,0.992,36645,351.9,7.867,6.324,-7.4955,0.0050407,-0.015954,0.96614,0.93344,1.0763,19167,185.18,6.5456,8.8813,-7.2992,0.0023958,-0.023015,0.91689,0.84068,1.0155,38271,350.9,9.6864,6.2163,-7.1256,0.00037374,-0.011692,0.97191,0.94462,1.1517,2.60E+05,2527.4,6.3959,7.4142,-6.2901,-0.00050861,0.030145,1.0111,1.0223,1.2654,-1.99E+05,-2010,7.3328,5.8788,-8.2005,-0.00011715,-0.023479,0.99573,0.99149,1.1242,-8.50E+05,-8463.3,5.9039,6.2285,-8.2288,-0.013983,-0.025552,1.0754,1.1566,1.2471,-7690.9,-82.71,5.7916,6.0729,-5.5021,-0.0006927,-0.061818,0.95875,0.9192,1.0774,-1.38E+05,-1327,6.3342,71.135,11.364,0.68651,+
20.985,-22.279,-0.00056686,0.00030993,1.5211,2.3136,0.62176,-2.68E+05,-4081.5,13.796,58.022,-27.955,-0.0005042,-9.24E-05,2.195,4.818,0.18164,-4.35E+05,-9555.6,26.434,23.128,-27.664,0.0016183,-4.80E-05,1.8448,3.4033,0.74651,1.14E+05,2103.1,12.536,17.241,-23.421,-0.00097852,-0.00024832,1.3965,1.9503,0.69327,-1.43E+05,-1993.1,12.346,22.202,-31.743,-0.00048715,2.61E-05,1.9262,3.7103,0.57194,-3.95E+05,-7616.3,11.526,35.814,-23.911,-0.0024998,0.0010762,1.5394,2.3697,0.88975,-61581,-947.97,23.265,27.453,-48.091,-0.00072451,-0.00037392,2.1202,4.4952,0.301,-2.93E+05,-6204.5,12.948,20.977,-22.912,0.0055128,0.002383,1.6296,2.6555,0.67894,29560,481.71,12.872,25.046,-31.09,0.00050904,-0.00024961,1.8631,3.4712,0.60988,3.66E+05,6819.1,13.443,26.091,-23.028,0.0056322,-0.0011521,1.6871,2.8464,0.84324,29955,505.37,15.465,14.506,-27.086,-0.00038067,0.00038825,1.1446,1.3102,0.094383,-3.01E+05,-3441.7,12.673,23.381,-16.529,-0.0015136,-0.00025468,1.326,1.7583,0.90927,-87608,-1161.7,17.632,42.703,-25.604,-0.0023051,-0.00041053,1.948,3.7947,0.56297,-84510,-1646.3,21.921,16.45,-18.088,-0.0036567,-0.0027,1.3756,1.8924,0.92691,-37620,-517.51,11.958,25.721,-41.61,-0.0025523,-0.0013426,1.9784,3.9139,0.65038,-77513,-1533.5,13.001,23.011,-25.439,0.0017631,0.00010186,1.7652,3.1158,0.82846,1.00E+05,1767.2,13.036,26.312,-31.354,-0.00087442,-0.00032542,2.079,4.3222,0.27435,-2.38E+05,-4943,12.656,23.675,-23.05,-0.00074924,-0.00022124,1.6749,2.8051,0.7339,-2.24E+05,-3744,14.135,8.6485,-22.469,-0.0015459,-0.00094959,1.0075,1.015,0.26137,-65172,-656.59,8.5843,26.24,-31.556,-0.0003274,-0.00045369,2.0764,4.3114,0.27522,-6.34E+05,-13168,12.637,73.523,11.364,0.67489,+
5.0396,-5.9681,0.0038267,-0.00090786,0.81414,0.66282,0.99454,21275,173.21,6.1901,11.927,-9.7347,0.016974,-0.003527,1.1113,1.2351,1.5064,6547.4,72.764,10.732,3.0907,-3.0945,0.0047101,-0.0019263,0.51524,0.26547,0.60838,10939,56.361,5.9986,24.101,-15.829,0.0019541,0.022431,0.97182,0.94444,0.66,49732,483.31,24.8,23.69,-14.061,0.003025,-0.0007035,1.0111,1.0224,0.91488,33425,337.97,23.429,2.9083,-3.2188,0.0061719,-0.0020706,0.49804,0.24804,0.6127,8069.5,40.189,5.8394,3.8618,-9.5883,0.0067368,-0.002052,0.49777,0.24777,0.55431,7388.8,36.779,7.7582,13.061,-18.747,0.0072089,-0.0027102,0.91442,0.83617,0.97217,12685,115.99,14.283,5.0744,-6.4682,0.0044245,-0.0027038,0.80439,0.64704,0.9947,18180,146.24,6.3084,8.1637,-26.094,0.0052195,0.060232,1.5564,2.4225,0.74372,29820,464.13,5.2451,6.1629,-6.6154,0.0041183,-0.0014461,0.58219,0.33894,0.67451,14136,82.3,10.586,4.2246,-12.027,0.0024512,0.026275,0.7923,0.62773,0.89385,32323,256.1,5.3322,4.6649,-4.7236,0.0031934,-0.0015898,0.88392,0.78132,1.1111,27680,244.67,5.2775,8.0719,-6.6104,0.0084418,-0.0018548,0.95423,0.91056,1.1363,11304,107.86,8.4591,4.9725,-4.8391,0.0077189,-0.0019782,0.96129,0.92408,1.3192,12454,119.72,5.1728,12.404,-31.937,0.012493,-0.0021749,1.1343,1.2867,1.0339,9079.5,102.99,10.935,4.0575,-5.5872,0.001633,0.027279,0.6174,0.38118,0.47251,37807,233.42,6.5719,4.2731,-4.4495,0.0050054,-0.0015428,0.76027,0.578,0.92425,15189,115.48,5.6205,5.189,-5.1927,0.0060402,-0.0018538,0.84836,0.71972,1.1123,14045,119.16,6.1165,4.5474,-5.2392,0.001845,0.027315,0.61539,0.37871,0.49762,33355,205.27,7.3894,71.486,11.364,0.57538,+
