,electrode1,electrode2,electrode3,electrode4,electrode5,electrode6,electrode7,electrode8,electrode9,electrode10,electrode11,electrode12,electrode13,electrode14,electrode15,electrode16,electrode17,electrode18,electrode19,electrode20,electrode21
electrode1,1,0.64882319,0.189828215,0.505061776,0.100567759,0.666762883,0.171206548,0.16853405,0.050838925,0.014941159,0.383549231,0.340509136,0.06886368,0.234827648,0.027693444,0.290295867,0.039305684,0.035182117,0.233332659,0.221840262,0.02861679
electrode2,0.64882319,1,0.24090575,0.300112022,0.122392439,0.583345141,0.14391636,0.171962429,0.044683749,0.017531166,0.385610587,0.393277033,0.06891414,0.262285381,0.026383287,0.330267077,0.03217698,0.031704296,0.27773498,0.271682384,0.026264735
electrode3,0.189828215,0.24090575,1,0.096417464,0.423007982,0.159847489,0.444531015,0.577659636,0.017845721,0.039284549,0.077621328,0.076875602,0.261051565,0.022860754,0.170744593,0.034198405,0.22642927,0.211190215,0.021619554,0.02696443,0.186736125
electrode4,0.505061776,0.300112022,0.096417464,1,0.071337234,0.530664649,0.149400534,0.115871027,0.058487546,0.010502435,0.293472081,0.206385442,0.062858541,0.155057088,0.028670847,0.179583535,0.040584926,0.035613248,0.13251664,0.122952974,0.028625451
electrode5,0.100567759,0.122392439,0.423007982,0.071337234,1,0.126208619,0.383708584,0.488202489,0.02074067,0.057878792,0.088019098,0.104580449,0.317176591,0.034623431,0.210512217,0.053099071,0.223268742,0.235266912,0.036607699,0.04521659,0.19886693
electrode6,0.666762883,0.583345141,0.159847489,0.530664649,0.126208619,1,0.305693861,0.22602943,0.09854766,0.020336251,0.683294645,0.584345785,0.148439847,0.410432384,0.065722753,0.505763821,0.104761503,0.091283503,0.393476567,0.371488483,0.06674953
electrode7,0.171206548,0.14391636,0.444531015,0.149400534,0.383708584,0.305693861,1,0.731146367,0.057421324,0.045795957,0.303057558,0.333685395,0.696959743,0.119810953,0.463372254,0.190523136,0.654619089,0.603184382,0.118416548,0.12978063,0.516601278
electrode8,0.16853405,0.171962429,0.577659636,0.115871027,0.488202489,0.22602943,0.731146367,1,0.031440122,0.048012423,0.164688374,0.19692875,0.550603909,0.058181511,0.343653336,0.097849409,0.443263292,0.430508731,0.061789327,0.07441045,0.365986316
electrode9,0.050838925,0.044683749,0.017845721,0.058487546,0.02074067,0.09854766,0.057421324,0.031440122,1,0.005972516,0.211134341,0.087890909,0.030301566,0.151763916,0.023596135,0.111361811,0.037511327,0.028051829,0.066707749,0.053583565,0.025582726
electrode10,0.014941159,0.017531166,0.039284549,0.010502435,0.057878792,0.020336251,0.045795957,0.048012423,0.005972516,1,0.019175528,0.035969978,0.105672778,0.007089082,0.103981397,0.019561653,0.049010101,0.07927847,0.014386259,0.024189124,0.050087126
electrode11,0.383549231,0.385610587,0.077621328,0.293472081,0.088019098,0.683294645,0.303057558,0.164688374,0.211134341,0.019175528,1,0.718470504,0.172953721,0.647787297,0.09553359,0.739019929,0.191597474,0.145610456,0.547997279,0.49057104,0.109410669
electrode12,0.340509136,0.393277033,0.076875602,0.206385442,0.104580449,0.584345785,0.333685395,0.19692875,0.087890909,0.035969978,0.718470504,1,0.324774673,0.560935957,0.196355718,0.813577371,0.315500049,0.289133599,0.669083184,0.671512611,0.213155751
electrode13,0.06886368,0.06891414,0.261051565,0.062858541,0.317176591,0.148439847,0.696959743,0.550603909,0.030301566,0.105672778,0.172953721,0.324774673,1,0.093062178,0.646835742,0.186203173,0.67910574,0.769043576,0.144323528,0.187236044,0.616118887
electrode14,0.234827648,0.262285381,0.022860754,0.155057088,0.034623431,0.410432384,0.119810953,0.058181511,0.151763916,0.007089082,0.647787297,0.560935957,0.093062178,1,0.101860504,0.800279197,0.187861122,0.135654679,0.740813009,0.627923647,0.143680453
electrode15,0.027693444,0.026383287,0.170744593,0.028670847,0.210512217,0.065722753,0.463372254,0.343653336,0.023596135,0.103981397,0.09553359,0.196355718,0.646835742,0.101860504,1,0.162754041,0.701195512,0.845975291,0.185326888,0.257952468,0.840818143
electrode16,0.290295867,0.330267077,0.034198405,0.179583535,0.053099071,0.505763821,0.190523136,0.097849409,0.111361811,0.019561653,0.739019929,0.813577371,0.186203173,0.800279197,0.162754041,1,0.309376063,0.243783414,0.867170351,0.799208455,0.214004197
electrode17,0.039305684,0.03217698,0.22642927,0.040584926,0.223268742,0.104761503,0.654619089,0.443263292,0.037511327,0.049010101,0.191597474,0.315500049,0.67910574,0.187861122,0.701195512,0.309376063,1,0.891032805,0.276453806,0.297763496,0.848045888
electrode18,0.035182117,0.031704296,0.211190215,0.035613248,0.235266912,0.091283503,0.603184382,0.430508731,0.028051829,0.07927847,0.145610456,0.289133599,0.769043576,0.135654679,0.845975291,0.243783414,0.891032805,1,0.238187788,0.299550775,0.889371917
electrode19,0.233332659,0.27773498,0.021619554,0.13251664,0.036607699,0.393476567,0.118416548,0.061789327,0.066707749,0.014386259,0.547997279,0.669083184,0.144323528,0.740813009,0.185326888,0.867170351,0.276453806,0.238187788,1,0.906741947,0.263120997
electrode20,0.221840262,0.271682384,0.02696443,0.122952974,0.04521659,0.371488483,0.12978063,0.07441045,0.053583565,0.024189124,0.49057104,0.671512611,0.187236044,0.627923647,0.257952468,0.799208455,0.297763496,0.299550775,0.906741947,1,0.331513027
electrode21,0.02861679,0.026264735,0.186736125,0.028625451,0.19886693,0.06674953,0.516601278,0.365986316,0.025582726,0.050087126,0.109410669,0.213155751,0.616118887,0.143680453,0.840818143,0.214004197,0.848045888,0.889371917,0.263120997,0.331513027,1
