instance code,patient num,instance num,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109,col110,col111,col112,col113,col114,col115,col116,col117,col118,col119,col120,col121,col122,col123,col124,col125,col126,col127,col128,col129,col130,col131,col132,col133,col134,col135,col136,col137,col138,col139,col140,col141,col142,col143,col144,col145,col146,col147,col148,col149,col150,col151,col152,col153,col154,col155,col156,col157,col158,col159,col160,col161,col162,col163,col164,col165,col166,col167,col168,col169,col170,col171,col172,col173,col174,col175,col176,col177,col178,col179,col180,col181,col182,col183,col184,col185,col186,col187,col188,col189,col190,col191,col192,col193,col194,col195,col196,col197,col198,col199,col200,col201,col202,col203,col204,col205,col206,col207,col208,col209,col210,col211,col212,col213,col214,col215,col216,col217,col218,col219,col220,col221,col222,col223,col224,col225,col226,col227,col228,col229,col230,col231,class
HC_1,1,1,9.75,9.75,9.75,9.75,9.75,9.75,6.875,9.25,9.75,8.875,9.25,12.75,9.125,9.5,8.875,8.875,9.75,9.25,9.25,9.75,9.75,9.625,9.625,9.625,9.5,9.5,9.625,9.625,9.625,9.5,9.5,9.625,9.625,9.625,9.625,9.625,18.875,9.625,9.125,9.625,9.625,9.125,9.125,9.125,9.125,9.125,9.125,9.25,9.125,8,9.625,9.25,9.25,23.125,9.125,8.375,9.125,8.625,9.25,9.25,9.125,9.25,9.25,9.125,9.125,9.125,9.125,9.125,9.125,9.125,9.125,9.125,9.125,9.125,9.125,9.125,9.125,9.125,9.125,9.125,9,9.125,9.125,9.125,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,4.625,5.875,9.625,17.25,9.625,8.75,9.625,9.625,9.625,9.5,9.625,9.625,9.625,9.375,9.375,9.375,9.625,10,9.375,9.375,9.375,9.625,19.125,9.375,4.625,9.75,9.375,9.375,9.625,10,10,9.375,9.375,9.375,9.375,9.375,9.375,9.375,9.375,9.375,9.375,9.375,9.375,9.375,9.375,9.375,9.375,9.375,9.375,9.375,9.375,9.375,9.375,9.375,9.375,9.375,9.375,9.375,9.375,9.375,9.375,9.375,9.375,9.375,9.75,9.375,10,8,9.375,9.375,9.125,9.375,9.375,9.375,9.375,9.375,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,8.125,20,9.25,8.25,9.5,7.875,9.5,9.75,8.125,9.25,9.5,9.5,9.5,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9,12.5,9.25,9.25,9.25,9.625,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.375,9.375,9.375,9.375,9.375,9.375,9.375,9.375,4.375,18,7.5,11.125,9.375,7.5,9.375,9.375,9.5,9.5,9.375,9.375,9.5,0
HC_2,2,2,8.25,8,7.875,8,8,8,8,7.875,12,8.25,7.75,8,7.875,8,8,7.125,7.125,8.375,8,8,8.375,6.875,8.125,8,8.625,8,8,8,7.75,15.375,8.5,8,8,9.875,8,8,6.875,9.25,8.625,8,8.625,8.625,7.25,7.25,7.25,7.75,4.625,5.125,9.75,4.375,7.875,8.375,6.125,8.375,7.625,9.75,9.75,7.5,7.875,9,7.25,8.5,9.625,7.375,8.625,8.625,7.75,7.875,8.625,8.625,7.5,8,19.625,8,7.875,7.5,8,8.625,8,8,8.25,8.625,7.625,8.875,7.875,7.875,7.875,7.25,8,7.875,7.875,8,7.875,15.875,7.875,7.875,8,7.875,7.875,7.25,7.25,7.75,7.875,8,7.25,7.5,7.5,7.5,7.5,7.5,7.875,7.875,7.5,7.5,9.625,18.25,7.875,11.5,8,7.625,7.5,7.5,8.25,8.375,8.375,7.5,7.5,8.375,8.375,7.5,7.5,7.125,7.125,8.375,7.5,8.375,7.125,7.5,7.25,7.125,7.125,8.375,8.375,8,8.625,8.625,8.625,7.625,7.625,7.625,7.625,7.75,7.5,7.625,7.625,7.375,7.375,7.5,7.375,7.625,7.625,7.625,7.625,7.75,7.75,7.625,7.625,7.75,8.25,8.25,8.25,8,8.25,8.25,8.25,8.375,9.25,9,8.25,7.875,4.625,8.25,8,9,8.375,8.25,8.25,8.25,8.25,7.75,7.75,7.75,4.5,7.875,7.75,7.75,7.25,7.625,7.25,7.75,7.75,6.875,7.75,7.75,8.25,8.5,8.5,7.75,8.5,8.5,7.75,7.75,7.75,7.875,7.875,8,8,7.75,8,7.25,8,8,8.375,7.625,7.75,7.25,7.875,7.875,7.625,8,7.875,0
HC_3,3,3,13.125,5,9.625,4.125,7.25,9.625,9.625,9.625,19.125,9,8.75,9.625,9.5,9.625,9.625,8.125,8.125,9.25,9,9,9.25,9.125,9.125,9.125,9,9.125,9.125,9.125,9,21.25,7.75,7.875,7.875,9,9,9,9.125,9.125,9.125,9,8.875,9.125,9.375,9.375,9.375,9.375,9.375,8.75,8.75,8.625,9.375,8.25,8.75,7.75,8.625,8.75,9.375,9.375,9.375,9.375,9.375,9.375,9.375,8.125,8.125,8.125,8,8.125,8.125,8.125,9,8,8.125,8.125,8.125,7.5,8.125,9,8.125,8.125,8.5,9.125,9,9,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.75,9.5,9,8.625,9.25,9.25,9.25,9.25,9.25,9.5,9.25,9.25,9.5,9.5,9.5,9.5,9.125,9.125,9.125,9.125,9.5,21.75,8.625,9.125,7.625,8.625,8.5,9.5,9.5,9.5,9.125,9.125,9.125,9.125,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,20.625,9.125,9.5,8.875,9.125,8.875,9.5,9.5,9.5,8.625,9.5,9.5,9.5,9,9,9,8.625,9,9,9,9.75,19.5,9,9,7.75,8.625,7.75,9.25,9.25,9.25,8.625,9.125,9,9,8.625,8.625,8.375,8.875,8.375,9.375,8.625,8.625,21.375,8.875,8.625,8.625,8.625,8.625,8.625,9.5,9.5,8.875,8.625,8.625,9.375,8.875,8.875,8.125,8.25,7.25,7.25,7.25,8.375,8.25,7.5,7.25,7.375,8.375,7.25,8.375,8.25,8.25,7.375,9.125,9.375,9.125,8.375,6.125,8.375,8.375,8.375,8.375,9,9,8.375,8.375,9,8.375,8.125,8.375,9.875,9.625,9.625,8.375,9,9,9,0
HC_4,4,4,8.875,8.875,8.875,9,8.875,8.875,8.875,9.5,11.875,10.25,8.875,10.625,9.625,8.875,9.25,9.5,9.5,9.625,8.875,8.875,10.25,8.75,8.75,14.875,10.75,8.75,8.75,9.125,9.375,10.75,10.25,13.375,11,11.125,9.5,10.25,10.75,10.75,9.5,8.125,9.5,9.5,9.5,9.5,9.5,8.375,9.5,9.5,9.5,7.875,9.5,12,9.5,9.25,8.25,9.5,12.875,9.375,9.625,9.25,9.5,9.5,9.125,12,11.75,11.75,12,12,9.25,9.25,7.875,9.375,10.875,11.625,12,9.125,8.625,7.875,9.125,10.125,9.25,12,9.125,10.125,14.875,14.875,10,10.125,11,10,9.875,8.375,10.75,11,9.875,12.5,8.25,8.25,8.25,10.5,11.375,9.125,8.25,10.5,9.125,10.875,10.875,10.875,8.375,8.375,10.875,10.875,8.75,8,10.5,12.5,11,10.5,10.625,10.875,10.875,11.25,9.125,11.625,11.625,11.625,10.875,10.875,10.875,8.375,10.125,11.75,8.5,8.5,9.75,11.375,12.625,12.125,8.875,9.375,10.375,10.875,9.25,10.625,12.125,11.375,11.375,11.625,11.625,11.625,9.375,9.375,10.625,10.625,11.625,9.75,11.625,10.25,10.25,11.625,8.75,11.625,9.75,10.25,9.375,10.625,10.625,9.375,10.375,10.375,8.75,8.25,20.75,12.375,17.25,8.75,9.75,10.375,11.875,10.25,8.75,9.5,11.5,9.125,10.25,10.375,9.5,8.75,12.375,9,9,10.125,9,9.125,9.125,10.125,10.125,9.25,16.5,19.75,13.5,9.25,9.25,16.375,10.125,10.125,9.125,19.125,9.125,9.125,8.875,8.875,8.875,8.875,8.875,8.625,19.75,8.75,11.125,11.625,11.375,11.375,12,8.625,12,11.375,9.375,9.25,9.125,9.125,9.125,0
HC_5,5,5,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.25,8.125,7.5,8.125,8,8.125,8.25,8.125,8.125,8.125,8.125,8.125,8.125,7.625,7.625,7.625,7.75,7.625,7.625,7.625,7.625,7.75,8.75,7.625,7.625,8,7.625,7.625,7.75,7.75,8.375,7.625,7.625,8.125,9.875,8.5,8.5,9.875,8.5,8.5,8.5,9.25,9.125,9.875,8.5,8.25,9.75,7.625,7.625,8.5,8.5,8.375,8.25,8.25,8.25,8,8,8,8,8,8,8,8,8,8,8,8,8.875,8,8.125,8,8,8,8,8.5,8,9,9,9,8.25,9,9,9,9.25,7.125,9.25,7.5,9.625,8.25,7.125,8.625,9,9,9,7.5,7.5,9,9.125,9.125,9.125,9.125,9.125,9.125,9.125,9.5,9.875,9.125,9.125,10.625,9.5,9.5,9.5,9.875,9.125,8.75,9.125,9.125,9.125,8.25,8.25,8.25,8.25,8.125,8.25,8.25,8.25,11.5,8.75,8.25,8.25,5,8.25,8.25,8.25,8.25,8.625,8.25,8.25,8.125,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,9.125,8.125,8.25,8.125,8.5,8.125,8.125,8.5,8.5,8.125,8.125,8.125,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.375,8.5,8.625,8.625,8.75,8,8.75,8.5,8.5,8.375,8.5,8.625,8.625,0
HC_6,6,6,10,10,10,10,10,9.875,9.875,10,10,10.125,9,9.875,9,9,9.875,10,10.125,10.125,9.875,9.875,10,9.875,9.875,9.875,9.875,9.875,9.875,9.875,9.875,9.875,8.875,8.875,8.875,8.5,8.875,8.875,9.875,9.875,9.875,8.875,8.875,9.875,9.875,9.875,9.875,9.875,9.875,9.875,9.875,9.875,9.875,10,9.875,9.875,9.875,9.875,9.875,9.875,9.875,9.875,9.875,10.125,9.875,9.375,9.375,9.375,9.375,9.375,9.375,9.375,9.375,10,9.375,9.375,9.375,10,9.375,9.375,9.375,10.125,9.375,9.375,9.375,10.125,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,10.5,9.75,10.5,10.5,9.75,9.75,9.75,9.25,9.75,9.75,9.875,9.875,9.875,9.875,9.875,9.875,9.875,9.875,9.875,9.875,9.875,9.875,8.75,9.875,9.875,9.875,9.875,9.875,9.875,9.875,9.875,10,10,10,10,9.75,9.75,9.75,9.75,10,9.75,9.75,9.75,10.5,9.75,10,10,10,9.75,10,9.75,10,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.5,9.625,9.625,9.375,10,9.5,10.125,10.125,9.25,9.25,9.5,9.5,10.125,10,10,10,10,10,10,10,10,9.375,9.875,9.875,10,10.25,9.75,10,10,10,10,10,10,10,9.375,9.375,9.375,9.375,10.375,9.625,9.625,10,10,10.375,9.625,9.625,10,9.375,10,10,10.25,9.625,10,9.625,10.25,10,10,10,10,10,10,10,10,10.25,10,9.875,9.875,10.125,9.5,10,10,10,9.875,10,10,10.25,0
HC_7,7,7,4.875,8.5,8,6.875,4.875,4.875,4.5,4.5,7,5.875,21.625,7.5,10.625,13.625,8,8.5,16.875,4.875,5.625,4.5,4.875,10.125,4.375,4.875,4.125,4.375,4.375,4.875,9.25,4.125,22.625,7.25,10.125,9.75,10.125,10.125,5.25,6.5,6.5,10.125,10.125,10.125,9.5,4.25,9.75,10.25,9.5,8.875,8.875,7.125,10.125,9.5,9.5,11.875,9.5,8.25,16,10.25,8.875,8.875,8.25,9,8.875,5,5,8.625,5.75,6.375,6.875,8,8,10.375,8.875,12.375,11.125,9.125,9.125,12.5,5,8.625,8.875,9.125,8.625,8.625,5.75,6.125,7.625,9.875,5.75,5.75,8.5,8.5,4.125,7.625,9.375,8.75,7.625,8.75,13.125,13.125,5.75,7.625,8.75,5.75,5.75,7.875,9,9,7.5,17.5,9.25,7.25,8.625,7,9.25,8.25,10.875,9.25,8,9,7.625,7.5,8.375,7.25,7.5,7.5,7.625,7.875,7.875,7.875,7.875,7.875,7.875,7.625,8.625,7.75,7.875,7.875,8.375,7.875,7.625,8,7.875,7.875,7.875,7.875,7.875,5.875,6.5,6.5,8.5,6.375,6.5,6.5,8.75,5,7.625,7.625,6.5,7.625,6.5,5,7.625,6.875,7.625,6.5,6.25,6.5,17.875,4.625,4.625,8,8.25,18.125,18.125,4.625,9.5,7.875,7.875,10,10,8.625,10,7.875,8.625,9.125,8.375,8.25,9.125,8.25,8.25,8.25,4.25,11,11,8.25,8.25,9.375,11,5,9.75,11,7.25,8.25,5,9.75,8.25,7.5,7.5,7.25,8,7.75,7.75,7.75,7.75,7.75,7.75,9.25,10,7,8,11.125,8.125,8,8,24.25,7.75,7.75,7.75,7.75,7.75,0
HC_8,8,8,4.25,4.25,4.875,28.5,8,8,8,9.25,16,8,8,8,7.25,8,9.25,8,8,8,8,8,8,8.75,8.75,7.625,29.875,8.25,8.25,8.25,13.875,7.75,8.25,8.25,8.25,16,8.25,9.875,8.25,8.75,8.25,8.25,8.25,8.25,4.25,7.5,5.75,36.125,4.25,8.125,8.5,9.25,19.25,8.125,8.125,8.5,8.5,8.5,8.5,8.125,8.5,8.125,8.5,9.25,9.25,8.5,8.5,8.5,40.375,8.5,8.5,8.5,8.5,7.75,21.125,8.25,8.25,8.125,8.5,8.5,8,8.625,9,8.5,9.25,9.125,9,9,9,9,8.625,8.125,9,8.875,9,8.125,8.125,9,6.875,8.125,8.75,8.125,9.5,8.625,9,9,9,8.5,8.875,8.5,4.75,8.625,8.875,8.875,8.5,21.125,8.5,8.875,8.875,14.125,8.875,8.875,8.625,8.25,8.625,8.875,8.5,8.5,4.25,8.875,4.5,19.75,8.25,8.25,9,5.5,16.875,8.25,8.25,8.625,8.625,8.5,8.625,8.375,9,8.375,8.25,8.25,8.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9,9.25,9.25,9.25,9.25,8.75,8.75,9.25,8.75,9.25,9.25,9.25,9.25,9.25,8.875,8.875,8.875,9.25,8.875,8.875,8.875,9.25,16.125,9.125,8.875,8.875,9.5,8.875,9.25,9.125,8.875,8.875,8.875,8.875,8.875,9.25,8.5,8.5,9,9,8.5,8.5,8.5,9,9,8.5,9,9.25,8.5,8.25,8.75,9,9,8.5,8.5,9,9.125,9.125,9.125,9.125,9.5,9.5,8.625,9,9.125,9.5,9.5,8.625,8.625,8.625,8.625,8.625,9.125,9.125,9.5,9.5,9.125,0
HC_9,9,9,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,8.875,8.875,9.5,9.5,9.5,9.5,9.5,9.5,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,8.875,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,9.75,9.75,8.75,8.75,9.625,8.75,8.75,9.875,9.875,9.875,8.75,9.875,9.875,9.75,9.75,9.75,9.75,9.375,8.125,9.75,9.75,8.875,9.375,8.125,8.125,10,8.125,8.125,9.75,9.75,9.75,9.75,9.75,9.75,8.375,8.375,8.375,8.375,8.375,9.75,8.375,8.875,8.375,9.75,9.75,8.375,8.5,8.875,8.375,9.75,9.75,9.75,9.75,9.75,9.75,9.875,9.875,9.875,9.875,9.875,9.875,9.875,8.25,10.5,9.875,9.875,9.875,8.25,8.25,8.25,9.875,9.875,9.875,9.75,9.875,9.875,8.75,8.75,9.25,8.75,8.75,9.25,9.25,7.5,7.75,9.125,9.375,8.75,7.75,8.75,8.75,10,10,10,9.375,9.375,10,10.25,9.5,9.5,8.5,10.25,10.25,10.25,9.625,10.25,10,10,10,9.375,8.875,8.875,10.25,10.25,10,10,10.25,10.25,10.375,10.375,10.375,9.875,10.375,10.375,10.375,10.375,9.875,9.875,10.375,11.25,9.375,9.875,9.875,10.375,10.375,10.375,9.875,9.875,10.375,9.75,9.75,9.75,10.25,10.25,9.75,9.75,10.25,10.25,10.25,9.75,9.875,9.375,9.75,9.75,10.25,10.25,10.25,9.75,10.25,10.25,9.875,9.875,9.875,9.875,9.875,9.875,9.875,9.875,10.125,9.875,9.875,11,9,9.875,9.875,9.875,9.875,9.875,9.875,9.875,10.125,0
HC_10,10,10,8.625,8.625,8.625,8.625,8.625,8.625,8.625,8.625,8.625,8.625,8.625,8.25,8.625,8.25,8.625,8.625,8.625,8.625,8.625,8.625,8.625,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.5,8.5,8.5,8.5,8.5,8.375,8.375,8.5,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,22.125,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,24.875,8.375,8.375,8.25,7.375,8.375,8.375,8.5,8.375,8.375,8.375,8.375,8.375,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.125,8.25,8.125,8.125,8.25,8.25,8.25,8.25,8.25,8.25,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.25,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,22.875,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,9.875,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.625,8.25,8.25,8.625,8.125,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,8.375,7.75,8.375,8.375,8.375,8.375,8.375,7.875,8.375,8.375,8.375,0
