electrode1,electrode2,electrode3,electrode4,electrode5,electrode6,electrode7,electrode8,electrode9,electrode10,electrode11,electrode12,electrode13,electrode14,electrode15,electrode16,electrode17,electrode18,electrode19,electrode20,electrode21
-0.004,-0.007,-0.005,0.003,-0.001,-0.002,-0.005,-0.001,0.003,-0.004,0.001,0.001,0.004,0.004,0.005,0.003,0.002,0.004,0.004,0.006,0.002
0.0037145,-0.35968,-1.0987,0.86729,-1.1696,0.010774,-1.5632,-1.5588,0.63662,-0.8114,-0.010423,-0.52141,-2.2331,0.63997,-0.12212,0.18497,-0.58551,-0.55223,0.68447,0.98718,0.078063
0.20631,-0.75147,-2.4041,2.0082,-2.3001,0.082837,-4.4846,-3.963,1.4876,-2.0052,-0.10781,-1.4701,-6.0809,1.7905,-0.47689,0.36386,-2.114,-1.865,1.6401,2.2999,-0.11824
0.70476,-1.0953,-3.6007,3.4556,-3.3115,0.26084,-8.8194,-6.928,2.5751,-3.6134,-0.41372,-2.882,-11.304,3.3345,-1.2169,0.39957,-4.807,-4.1129,2.614,3.6229,-0.88746
1.4578,-1.2226,-4.0124,4.9713,-4.291,0.57435,-13.205,-9.134,3.7719,-5.3303,-1.0459,-4.3692,-15.877,4.4827,-2.4048,0.06093,-8.0529,-6.8403,2.8811,4.1032,-2.4654
2.3077,-1.0546,-3.3479,6.2021,-5.6229,1.0234,-16.038,-9.4862,5.0137,-6.8419,-2.037,-5.4648,-17.933,4.3626,-4.0653,-0.7934,-10.974,-9.4689,1.8432,3.1285,-4.8983
3.067,-0.70377,-2.1813,6.8544,-7.6715,1.5568,-16.791,-8.2713,6.3365,-8.0729,-3.2934,-6.0141,-17.706,2.6921,-6.2629,-2.0857,-13.142,-11.864,-0.4426,0.92313,-8.0347
3.5907,-0.40999,-1.6178,6.8696,-10.337,2.0772,-16.296,-7.0599,7.6267,-9.1518,-4.5935,-6.2112,-17.466,0.012495,-9.0179,-3.5188,-14.734,-14.326,-3.257,-1.5942,-11.567
3.7635,-0.41338,-2.4175,6.5628,-13.011,2.4923,-15.769,-7.3888,8.3973,-10.178,-5.593,-6.2218,-19.327,-2.6237,-11.978,-4.6443,-15.938,-16.9,-5.6344,-3.4504,-14.942
3.4686,-0.85299,-4.3194,6.5185,-14.837,2.7895,-15.55,-9.3403,7.9824,-10.979,-5.8697,-5.7783,-22.867,-4.2331,-14.145,-4.975,-16.283,-18.704,-6.8204,-4.1431,-17.239
2.7099,-1.6343,-6.0797,7.1734,-14.913,3.0947,-14.738,-11.246,6.1058,-11.047,-5.055,-4.2533,-24.924,-4.3879,-14.192,-4.1978,-14.765,-18.178,-6.5397,-3.7449,-17.418
1.8642,-2.2716,-6.2181,8.4301,-12.562,3.6732,-12.117,-10.887,3.3243,-9.8343,-3.0321,-1.2946,-22.171,-3.3894,-11.457,-2.4466,-10.9,-14.392,-5.0795,-2.721,-15.068
1.7048,-1.9629,-4.0172,9.7289,-7.941,4.8083,-7.5133,-7.3453,0.89011,-7.2936,-0.11498,2.513,-14.353,-2.1051,-6.8546,-0.41208,-5.7243,-8.3058,-3.2124,-1.6901,-11.084
2.9243,-0.089747,-0.096029,10.544,-2.473,6.571,-2.2555,-1.9393,0.050243,-4.2082,2.9262,5.6842,-5.063,-1.5556,-2.6546,0.92282,-1.5448,-2.6108,-1.912,-1.2001,-7.4219
5.5004,3.187,3.9306,10.851,1.7732,8.6766,1.7925,2.7043,1.2516,-1.9034,5.1284,6.7378,0.98844,-2.3958,-0.96506,0.84667,-0.39192,0.067995,-1.8791,-1.513,-5.8482
8.6038,6.8652,6.4956,11.189,3.4429,10.625,3.6847,4.7029,3.8095,-1.4535,5.8589,5.2728,1.7671,-4.5261,-2.1467,-0.60684,-2.497,-0.91564,-3.1168,-2.4731,-6.6963
11.219,9.7247,6.968,12.263,2.6239,12.029,3.8743,4.1921,6.3082,-2.9584,5.2411,2.2354,-0.94611,-7.1176,-4.6498,-2.6753,-6.2198,-3.9757,-4.8995,-3.5873,-8.775
12.826,11.058,5.7039,14.301,0.2956,12.774,3.3417,2.7041,7.489,-5.3909,4.0585,-0.87683,-4.0081,-9.1222,-6.4631,-4.3903,-9.4546,-6.8732,-6.241,-4.3177,-10.489
13.46,10.871,3.4573,16.609,-2.593,12.879,2.4873,1.5315,7.0019,-7.1386,3.146,-3.0847,-6.0481,-9.9084,-6.7493,-5.165,-11.109,-8.4662,-6.5202,-4.3629,-11.034
13.245,9.5549,0.87046,17.795,-5.3959,12.276,1.041,0.85993,5.5135,-6.9833,2.787,-4.2771,-7.8963,-9.5063,-6.1062,-4.9606,-11.335,-8.97,-5.7475,-3.6899,-10.562
12.039,7.4871,-1.6005,16.705,-7.591,10.823,-1.0992,0.278,4.1748,-4.9277,2.6206,-4.7202,-10.346,-8.3395,-5.4165,-4.008,-10.612,-8.8337,-4.3193,-2.3483,-9.4053
9.5941,4.8873,-3.5884,13.357,-8.8423,8.4887,-3.2815,-0.34709,3.8641,-2.1924,2.0604,-4.4949,-12.371,-6.8216,-4.7035,-2.5041,-8.905,-7.7783,-2.6191,-0.36621,-7.3994
5.9716,1.8777,-4.8641,8.9993,-9.2314,5.5157,-4.5104,-0.7356,4.6485,-0.25977,0.82708,-3.5114,-12.014,-5.207,-3.1909,-0.61495,-5.8041,-5.084,-0.88316,2.1075,-4.0547
1.7679,-1.409,-5.4775,5.2414,-9.1426,2.4008,-4.3393,-0.71794,5.7526,0.24463,-0.80158,-1.9046,-8.6902,-3.6686,-0.29234,1.3461,-1.3099,-0.63181,0.68071,4.6329,0.70841
-2.054,-4.7342,-5.7467,3.0746,-8.8754,-0.26871,-3.2469,-0.57232,6.1051,-0.19074,-2.1657,-0.17766,-4.0833,-2.3226,3.6703,2.9267,3.6992,4.57,1.8552,6.6184,6.1436
-4.6104,-7.7029,-6.0339,2.5444,-8.5243,-2.0589,-2.1832,-0.76824,5.1606,-0.71179,-2.669,1.1291,-0.67358,-1.1006,7.6988,3.8281,7.8587,8.9424,2.6148,7.7503,11.03
-5.5317,-9.8412,-6.4799,3.0624,-8.1747,-2.8976,-1.8218,-1.4701,3.3535,-0.96373,-2.1635,1.8278,0.37444,0.34472,10.88,4.1856,10.192,11.393,3.3096,8.2819,14.438
-5.1423,-10.843,-6.9082,3.8356,-7.9323,-3.1114,-2.184,-2.3263,1.7514,-1.1995,-1.0173,2.0561,-0.15565,2.4786,12.877,4.4806,10.681,11.93,4.4834,8.803,16.221
-4.2897,-10.853,-6.9765,4.1128,-7.6804,-3.2537,-2.8024,-2.7025,1.2072,-1.7034,0.11418,1.8595,-0.65247,5.4931,13.852,5.0757,10.109,11.421,6.3585,9.634,16.914
-3.9102,-10.524,-6.4439,3.3591,-7.0517,-3.8374,-3.1203,-2.1327,1.7824,-2.3034,0.60744,0.87196,-0.13431,8.9825,14.164,5.7739,9.4253,10.865,8.4461,10.416,17.23
-4.5583,-10.71,-5.3157,1.4857,-5.863,-5.1166,-2.7733,-0.62571,2.8491,-2.4861,0.11606,-1.5085,1.2818,12.013,14.19,5.8419,9.212,10.789,9.7198,10.332,17.626
-6.1661,-11.953,-3.7653,-1.0281,-4.503,-6.9861,-1.6618,1.3878,3.6005,-1.891,-1.3248,-5.5692,2.9068,13.612,14.308,4.5383,9.5719,11.155,9.2827,8.7705,18.172
-8.1812,-14.131,-2.0054,-3.368,-3.7016,-9.0307,0.036139,3.3573,3.5018,-0.63182,-3.3804,-10.862,4.1025,13.335,14.769,1.7257,10.306,11.619,6.9951,5.8363,18.637
-9.9636,-16.522,-0.31593,-4.8965,-3.8896,-10.726,1.8233,4.8479,2.5209,0.78391,-5.6497,-16.268,4.4241,11.469,15.417,-1.9224,11.072,11.801,3.5783,2.281,18.625
-11.118,-18.229,0.84377,-5.5144,-4.8876,-11.69,2.9565,5.5559,1.1589,1.7567,-7.85,-20.441,3.5442,8.7722,15.572,-5.2541,11.451,11.388,0.17686,-0.97335,17.728
-11.515,-18.645,0.93197,-5.5456,-6.2054,-11.777,2.7998,5.2677,0.2188,1.8832,-9.7553,-22.294,1.4113,6.0217,14.381,-7.2418,11.052,10.181,-2.2493,-3.2657,15.713
-11.063,-17.645,-0.27987,-5.2881,-7.4675,-10.962,1.3137,3.9793,0.29984,1.1474,-10.981,-21.285,-1.4542,3.7038,11.477,-7.455,9.7053,8.2092,-3.3137,-4.3306,12.67
-9.5671,-15.461,-2.3483,-4.6877,-8.4466,-9.1672,-0.73859,2.1047,1.3209,-0.050956,-10.961,-17.518,-3.9871,1.9681,7.3759,-6.1598,7.6143,5.8383,-3.2141,-4.2304,9.0062
-6.9056,-12.485,-4.2754,-3.4335,-8.8598,-6.3466,-2.1414,0.46312,2.5097,-1.1219,-9.3025,-11.71,-5.0655,0.71532,3.2299,-4.0752,5.3348,3.7278,-2.4551,-3.2664,5.2887
