Date,Classifier,Number of Features Before Reduction,Number of Features After Reduction,Accuracy,Num Folds,Num Seeds,,,,,,
7/30/18,<class 'sklearn.linear_model.logistic.LogisticRegression'>,"(25, 945)","(25, 124)",0.516666667,10,10,,,,,,
7/30/18,<class 'sklearn.linear_model.logistic.LogisticRegressionCV'>,"(25, 945)","(25, 124)",0.541666667,10,10,,,,,,
7/30/18,<class 'sklearn.ensemble.forest.RandomForestClassifier'>,"(25, 945)","(25, 124)",0.708333333,10,10,,,,,,
7/30/18,<class 'sklearn.ensemble.gradient_boosting.GradientBoostingClassifier'>,"(25, 945)","(25, 124)",0.433333333,10,10,,,,,,
7/30/18,<class 'sklearn.svm.classes.SVC'>,"(25, 945)","(25, 124)",0.516666667,10,10,,,,,,
7/30/18,<class 'sklearn.neighbors.classification.KNeighborsClassifier'>,"(25, 945)","(25, 124)",0.766666667,10,10,,,,,,
"",,,,,,,,,,,,
7/30/18,<class 'sklearn.linear_model.logistic.LogisticRegression'>,"(25, 945)","(25, 126)",0.591666667,10,10,,,,,,
7/30/18,<class 'sklearn.linear_model.logistic.LogisticRegressionCV'>,"(25, 945)","(25, 126)",0.558333333,10,10,,,,,,
7/30/18,<class 'sklearn.ensemble.forest.RandomForestClassifier'>,"(25, 945)","(25, 126)",0.716666667,10,10,,,,,,
7/30/18,<class 'sklearn.ensemble.gradient_boosting.GradientBoostingClassifier'>,"(25, 945)","(25, 126)",0.433333333,10,10,,,,,,
7/30/18,<class 'sklearn.svm.classes.SVC'>,"(25, 945)","(25, 126)",0.45,10,10,,,,,,
7/30/18,<class 'sklearn.neighbors.classification.KNeighborsClassifier'>,"(25, 945)","(25, 126)",0.658333333,10,10,,,,,,
"",,,,,,,,,,,,
7/30/18,<class 'sklearn.linear_model.logistic.LogisticRegression'>,"(25, 945)","(25, 4)",0.616666667,10,10,,,,,,
7/30/18,<class 'sklearn.linear_model.logistic.LogisticRegressionCV'>,"(25, 945)","(25, 4)",0.741666667,10,10,,,,,,
7/30/18,<class 'sklearn.ensemble.forest.RandomForestClassifier'>,"(25, 945)","(25, 4)",0.716666667,10,10,,,,,,
