hig1_E1,hig1_E2,hig1_E3,hig1_E4,hig1_E5,hig1_E6,hig1_E7,hig1_E8,hig1_E9,hig1_E10,hig1_E11,hig1_E12,hig1_E13,hig1_E14,hig1_E15,hig1_E16,hig1_E17,hig1_E18,hig1_E19,hig1_E20,hig1_E21,hig2_E1,hig2_E2,hig2_E3,hig2_E4,hig2_E5,hig2_E6,hig2_E7,hig2_E8,hig2_E9,hig2_E10,hig2_E11,hig2_E12,hig2_E13,hig2_E14,hig2_E15,hig2_E16,hig2_E17,hig2_E18,hig2_E19,hig2_E20,hig2_E21,hig3_E1,hig3_E2,hig3_E3,hig3_E4,hig3_E5,hig3_E6,hig3_E7,hig3_E8,hig3_E9,hig3_E10,hig3_E11,hig3_E12,hig3_E13,hig3_E14,hig3_E15,hig3_E16,hig3_E17,hig3_E18,hig3_E19,hig3_E20,hig3_E21,hig4_E1,hig4_E2,hig4_E3,hig4_E4,hig4_E5,hig4_E6,hig4_E7,hig4_E8,hig4_E9,hig4_E10,hig4_E11,hig4_E12,hig4_E13,hig4_E14,hig4_E15,hig4_E16,hig4_E17,hig4_E18,hig4_E19,hig4_E20,hig4_E21,hig5_E1,hig5_E2,hig5_E3,hig5_E4,hig5_E5,hig5_E6,hig5_E7,hig5_E8,hig5_E9,hig5_E10,hig5_E11,hig5_E12,hig5_E13,hig5_E14,hig5_E15,hig5_E16,hig5_E17,hig5_E18,hig5_E19,hig5_E20,hig5_E21,hig6_E1,hig6_E2,hig6_E3,hig6_E4,hig6_E5,hig6_E6,hig6_E7,hig6_E8,hig6_E9,hig6_E10,hig6_E11,hig6_E12,hig6_E13,hig6_E14,hig6_E15,hig6_E16,hig6_E17,hig6_E18,hig6_E19,hig6_E20,hig6_E21,hig7_E1,hig7_E2,hig7_E3,hig7_E4,hig7_E5,hig7_E6,hig7_E7,hig7_E8,hig7_E9,hig7_E10,hig7_E11,hig7_E12,hig7_E13,hig7_E14,hig7_E15,hig7_E16,hig7_E17,hig7_E18,hig7_E19,hig7_E20,hig7_E21,hig8_E1,hig8_E2,hig8_E3,hig8_E4,hig8_E5,hig8_E6,hig8_E7,hig8_E8,hig8_E9,hig8_E10,hig8_E11,hig8_E12,hig8_E13,hig8_E14,hig8_E15,hig8_E16,hig8_E17,hig8_E18,hig8_E19,hig8_E20,hig8_E21,hig9_E1,hig9_E2,hig9_E3,hig9_E4,hig9_E5,hig9_E6,hig9_E7,hig9_E8,hig9_E9,hig9_E10,hig9_E11,hig9_E12,hig9_E13,hig9_E14,hig9_E15,hig9_E16,hig9_E17,hig9_E18,hig9_E19,hig9_E20,hig9_E21,hig10_E1,hig10_E2,hig10_E3,hig10_E4,hig10_E5,hig10_E6,hig10_E7,hig10_E8,hig10_E9,hig10_E10,hig10_E11,hig10_E12,hig10_E13,hig10_E14,hig10_E15,hig10_E16,hig10_E17,hig10_E18,hig10_E19,hig10_E20,hig10_E21,hig11_E1,hig11_E2,hig11_E3,hig11_E4,hig11_E5,hig11_E6,hig11_E7,hig11_E8,hig11_E9,hig11_E10,hig11_E11,hig11_E12,hig11_E13,hig11_E14,hig11_E15,hig11_E16,hig11_E17,hig11_E18,hig11_E19,hig11_E20,hig11_E21,Indicator
2.0217,2.0298,1.9845,2.0048,2.0061,1.9968,2.0028,1.9964,1.9888,2.0231,2.0113,2.0362,1.9938,1.9725,2.0237,2.0016,1.9967,2.0227,2.0078,2.0077,2.0244,2.0165,2.0132,2.0022,1.9944,1.9976,2.0191,1.9999,2.0236,1.9966,2.0075,2.0105,1.995,1.9981,1.9995,2.0006,2.0125,2.0186,1.9997,2.0136,2.0072,2.0117,2.0064,2.0139,1.9982,2.0266,1.9885,2.0125,2.0173,2.0139,2.014,2.0183,2.0117,2.0165,2.0003,2.0138,1.9989,2.0066,2.01,1.996,1.9957,2.002,2.0177,2.0033,2.0199,2.0061,2.0162,2.0124,1.9985,1.998,2.0049,1.9983,2.0174,2.0204,2.0251,2.0066,2.0047,2.0007,2.0166,2.0021,2.0059,1.9902,1.9858,2.0003,2.0044,2.005,2.0097,1.996,2.0011,2.0293,2.0121,2.0115,2.009,2.0151,2.0035,2.0066,2.0026,2.0074,1.9876,1.9938,2.0081,1.9989,1.9993,2.0102,1.9997,2.0152,2.0051,1.9989,2.0046,2.0182,2.0046,1.9902,1.9924,2.0122,1.9988,2.0103,2.0111,2.0036,2.0329,1.9919,2.0219,2.0135,2.0136,2.0129,2.0128,2.0142,2.0117,2.0127,2.0145,2.0352,2.0099,2.0297,1.9983,1.9934,1.9939,2.0178,2.0011,2.0146,2.0117,1.9976,2.0347,2.0057,2.0182,2.0122,2.0002,2.0179,2.0145,2.0127,2.0108,2.0091,2.0217,2.0385,2.0108,2.0175,1.9935,2.0001,1.9963,2.0119,1.9874,2.0009,2.0006,2.0059,2.0093,2.0097,2.0037,2.0062,2.0077,2.0002,2.0075,2.0003,2.0075,2.0126,2.0012,2.0291,1.9972,2.0322,2.0025,2.0079,1.9973,2.0258,2.0023,2.0102,2.0159,2.0048,2.0414,2.0079,2.0298,2.0165,1.9961,2.0108,2.0146,2.0262,2.0166,2.0122,2.0146,2.0373,2.0137,2.0291,2.0178,2.0153,2.0176,2,2.004,2.0151,2.0049,1.999,1.9999,1.9999,2.0121,2.0119,2.0142,2.0102,2.0161,2.0085,2.011,2.0203,2.0115,2.0236,1.9977,2.0192,2.0029,1.9965,2.0013,2.0031,1.9949,2.0027,2.0183,2.0082,2.0249,2.0133,2.0344,-
2.0002,2.0143,2.0056,2.007,2.0147,1.9997,1.99,2.0119,2.0065,2.0155,1.9948,2.0127,2.0076,2.0199,2.0086,2.0146,2.0105,1.9911,2.014,2.0051,2.0165,1.9971,2.0123,2.0112,2.0072,2.0075,2.0069,1.995,2.0036,1.9935,2.0059,2.0083,2.0027,1.9972,2.0062,2.012,1.9904,2.0117,1.9965,1.9877,1.9781,1.9676,2.012,2.0055,2.005,1.9955,1.9907,2.0201,2.0065,2.0132,2.0062,1.9677,1.9784,1.9998,2.0015,2.0081,2.0013,2.0125,2.0061,1.9916,1.991,1.9897,1.9924,1.9849,2.0039,1.9976,1.9991,2.0045,2.0103,2.0212,2.0153,2.0163,2.0081,2.0035,2.0072,1.9962,1.9962,2.0075,2.003,2.006,2.0106,1.9984,2.0077,2.0089,1.9735,1.9931,2.0013,2.0097,2.0029,2.0153,2.0123,1.9871,2.0121,2.0007,1.9916,1.9546,1.9471,2.0172,2.0123,1.9913,2.0128,2.001,2.0044,1.9994,1.9974,1.9906,1.9445,1.9702,2.0028,2.0139,1.9839,1.9873,1.9956,1.988,1.9967,1.9734,1.9794,1.9739,1.9678,1.9823,1.9821,2.0164,2.0112,2.0146,2.0051,2.0008,2.0035,1.9934,1.9979,2.003,2.005,2.0062,1.9907,1.9819,2.0037,1.9979,1.9875,1.9972,2.0018,1.9568,1.979,2.0064,2.0042,1.9939,2.0048,1.9941,1.9975,2.018,1.9961,1.99,2.0063,1.9945,2.0131,2.0056,1.9884,1.9914,1.9954,1.9798,1.9882,1.9699,1.9866,1.9757,1.9776,1.9897,1.9928,2.0087,2.0198,2.0116,2.0002,2.0045,2.0027,2.0058,2.0057,2.0008,1.9996,2.0021,1.9965,2.0173,2.0034,1.9959,2.0132,2.011,1.9994,2.0088,2.008,2.0041,2.0134,1.9933,1.9943,1.9986,1.9936,1.9887,1.9855,1.9919,1.998,2,2.0014,2.0001,2.0142,2.0286,2.025,1.9958,2.024,2.0173,2.0173,2.0061,2.0045,2.0063,2.0002,2.0091,2.025,2.0155,1.99,2.0266,1.9976,2.0082,2.0065,2.0119,2.0062,2.0003,2.0099,1.9915,2.0219,2.0088,2.0089,2.003,2.0099,1.9975,2.0102,2.0064,2.0158,-
1.9575,1.9729,1.9577,1.9604,1.9646,1.9793,1.9422,1.9403,1.953,1.9908,1.9512,1.9595,1.9771,1.9552,1.948,1.9415,1.9631,1.9284,1.9318,1.9382,1.9937,1.9485,1.9404,1.9242,1.9318,1.9455,1.945,1.9635,1.9263,1.9197,1.9207,1.9931,1.9418,2.0041,1.9999,1.9969,1.9853,1.9755,1.9879,1.9746,1.9888,1.9861,2.0074,1.9569,1.9751,1.9723,1.9723,1.9752,1.9889,1.993,1.9726,1.9886,1.9742,2.0042,1.9734,1.9456,1.9511,1.943,1.9549,1.9469,1.9601,1.9184,1.928,1.9319,1.9823,1.945,1.9456,1.942,1.9329,1.9528,1.9381,1.949,1.9293,1.9184,1.9204,1.992,1.9494,1.9748,1.9616,1.9608,1.9547,1.9475,1.9685,1.9409,1.9334,1.9342,1.9945,1.9579,1.9628,2.0113,1.9994,2.0005,1.9935,2.0011,1.9924,1.9819,1.9856,2.002,1.9649,1.996,2.0013,1.9966,1.9602,1.9755,1.9783,1.9736,1.978,1.9716,2.0048,1.9789,1.9414,1.9528,1.9625,1.9452,1.9057,1.9413,1.9068,1.9316,1.9188,1.9874,1.9457,1.9104,1.9339,1.9443,1.9442,1.8984,1.9296,1.9063,1.9244,1.9101,1.9689,1.9417,1.9229,1.9286,1.9318,1.9391,1.9196,1.9274,1.9257,1.9118,1.9057,1.9853,1.9407,1.8842,1.9009,1.9085,1.8885,1.9068,1.9116,1.9058,1.8987,1.8933,1.969,1.9141,1.9052,1.9024,1.9067,1.9146,1.8981,1.9037,1.9017,1.8778,1.9065,2.0016,1.9327,1.9043,1.9182,1.9346,1.9094,1.881,1.8999,1.8883,1.8934,1.8917,1.9661,1.9248,1.8797,1.9089,1.8848,1.9235,1.8718,1.8852,1.8946,1.8923,1.8901,1.9687,1.9167,1.8931,1.8935,1.9035,1.8986,1.9169,1.9017,1.9065,1.8935,1.8861,1.9962,1.9447,1.9214,1.9113,1.8841,1.8668,1.8577,1.8742,1.8695,1.8689,1.8749,1.9306,1.9336,1.9154,1.9168,1.9184,1.9209,1.8864,1.8888,1.8875,1.8865,1.889,1.9351,1.9354,1.8944,1.8708,1.855,1.9443,1.8374,1.8622,1.8761,1.8661,1.871,1.9653,1.9592,-
2.0065,2.0085,1.9989,1.9966,2.0059,2.0069,2.0048,2.0032,1.9998,1.9952,1.9818,1.9999,2.0024,1.9918,1.9942,2.0005,2.0164,2.0006,2.0059,1.9945,2.0013,2.0014,2.009,2.0048,2.0113,1.9926,2.0169,1.9994,2.0066,2.0004,2.0105,2.0036,2.0025,2.0099,2.0077,2.0013,2.0224,2.0099,2.0174,2.0074,2.0157,2.0036,1.9924,1.9907,2.0185,2.0058,1.9923,1.9896,1.9826,1.9709,1.9862,1.9889,2.0065,2.0237,2.0085,1.9968,1.9986,1.9962,2.0025,2.0037,1.9951,1.9946,2.0009,1.994,1.9892,1.9792,1.9902,1.9958,2.0021,1.989,2.0086,1.9883,1.9998,1.9907,1.9931,1.997,1.9893,1.999,2.0026,2.0087,1.9842,2.0058,1.9985,2.0049,1.9962,1.9981,2.0134,1.9944,2.0185,2.004,2.0004,2.0163,2.0078,1.9998,1.9897,1.9995,2.0008,1.9958,1.9872,2.0075,2.009,2.013,1.9836,1.9785,1.9658,1.9674,1.9607,2.0059,2.0261,2.0106,1.9865,1.9865,1.978,1.9854,1.9879,1.9652,1.9791,1.9793,1.9863,1.9705,1.9697,1.9981,1.9892,1.978,1.9826,1.9952,1.9853,1.9808,1.9801,1.9842,1.9796,1.9775,1.996,1.9867,1.9967,1.9841,2.0057,1.9823,1.9957,1.9859,1.9893,2.0031,1.9971,1.9904,1.9776,1.9598,1.9814,1.9922,1.9566,1.9767,1.9743,1.9761,1.9711,1.9791,2.0095,1.9996,1.9861,1.9941,2.0179,1.9863,2.0017,1.9949,2.0062,1.9885,2.0017,1.9769,1.9663,1.9503,1.9572,1.9677,1.942,1.9625,1.9642,1.9702,1.9609,1.9637,1.9701,1.9535,1.9654,1.9738,1.9943,1.9586,1.974,1.9651,1.9752,1.9762,1.9785,1.9886,1.9684,1.969,1.9816,1.996,1.9672,1.9893,1.9846,1.9838,1.9951,1.9912,1.9683,1.9475,1.9466,1.9692,1.9724,1.9312,1.9649,1.9546,1.9665,1.9634,1.962,1.998,1.9755,1.9962,1.986,1.9996,1.9681,1.9923,1.9743,1.9988,1.9924,1.9791,1.9902,1.9726,1.9933,1.9972,2.0172,1.9922,2.0016,1.9996,2.0062,1.9975,2.0073,-
2.0284,2.0222,2.0106,2.0192,2.0021,1.989,1.9854,1.9758,1.9941,1.9858,1.981,2.0091,2.016,2.0034,2.0128,1.9999,1.9891,1.9853,1.9616,1.9871,1.983,1.9753,2.0204,2.0005,1.9911,2.0049,1.9959,1.9877,1.9565,1.9544,1.9798,1.9665,1.9542,2.001,2.017,2.0111,2.0197,2.0062,1.9951,2.0013,1.9865,2.012,1.9974,1.9925,2.0016,2.0027,1.9859,2.0039,1.9839,1.9785,1.9706,1.966,1.9862,1.9787,1.9713,2.022,2.0205,1.9981,2.0049,2.0061,1.9809,1.9801,1.9706,1.977,1.9806,1.9701,1.9731,1.9692,1.9809,1.9944,1.9674,1.9373,1.9394,1.9439,1.9513,1.9527,1.9456,2.0396,2.0275,2.0059,2.0222,2.0109,1.9931,1.9586,1.949,1.9641,1.9634,1.9464,1.9829,1.9955,1.9892,1.9969,1.9848,1.9578,1.949,1.9756,1.9885,1.9872,1.9784,1.9454,1.9752,1.9648,1.9634,1.9669,1.9639,1.955,1.9469,1.954,1.9698,1.9569,1.9884,1.989,1.9942,2.0049,1.9787,1.9725,1.9544,1.9628,1.9819,1.9642,1.9545,1.965,1.9688,1.9835,1.9879,1.9551,1.9568,1.9532,1.9494,1.9687,1.9479,1.9602,1.9823,1.9833,1.9762,1.9916,1.9899,1.9621,1.9383,1.9229,1.9488,1.949,1.9467,1.9461,1.9293,1.9756,1.9516,1.9274,1.9175,1.9172,1.9283,1.9224,1.938,1.9293,1.9472,1.9462,1.9624,1.9643,1.9361,1.9219,1.9147,1.914,1.9238,1.9465,1.9518,1.9584,1.9577,1.9834,1.98,1.9435,1.9447,1.9295,1.9429,1.9733,1.9538,1.9522,1.9812,1.956,1.9603,1.9848,1.938,1.9222,1.9109,1.9103,1.9464,1.949,1.9581,1.9722,1.9649,1.9675,1.9894,1.9854,1.9802,1.9366,1.9128,1.9462,1.9421,1.9562,1.9301,1.9239,1.955,1.94,1.9189,1.9256,1.9142,1.9274,1.9516,1.9452,1.9524,1.9485,1.9523,1.9773,1.9722,1.9547,1.9541,1.9524,1.956,1.986,1.9454,1.964,1.9326,1.9243,1.9162,1.9497,1.9091,1.9047,1.8947,1.9033,1.9155,1.939,1.9529,-
1.9941,2.0004,1.9745,1.971,1.9828,1.9794,1.9477,1.9559,1.977,1.949,1.9616,1.9683,1.9871,1.9792,1.9703,1.9864,1.9725,1.9435,1.9554,1.9601,1.9426,1.9626,1.9826,1.9972,1.9819,1.9745,1.9801,1.9853,1.9642,1.9812,1.9683,1.9536,1.9775,1.9656,1.9815,1.9782,1.9798,1.9633,1.9819,1.9522,1.9577,1.971,1.9457,1.9607,1.9923,1.9974,1.9865,1.9777,1.9862,1.9898,1.9942,1.9923,1.9916,1.967,1.9855,1.9876,1.9869,1.9744,1.9662,1.9649,1.9719,1.9408,1.9479,1.969,1.9267,1.943,1.9891,1.9888,1.9519,1.9618,1.9616,1.9722,1.9319,1.964,1.9631,1.9334,1.9567,1.9935,1.9854,1.968,1.9679,1.9696,1.9806,1.9553,1.9738,1.9784,1.9488,1.9792,1.9964,1.9984,2.0151,2.0006,1.9981,2.0076,1.9831,1.9901,1.9807,1.971,1.9917,2.0177,2.0066,2.0059,1.9924,2.0004,2.0133,2.0047,2.0047,1.9878,1.9885,1.9961,1.9818,1.9728,1.9545,1.9377,1.9222,1.9392,1.911,1.9345,1.9376,1.9044,1.9142,1.9852,1.9644,1.941,1.9302,1.9302,1.9289,1.9209,1.9355,1.938,1.9077,1.9187,1.9946,1.9773,1.9712,1.9557,1.9586,1.976,1.9484,1.9698,1.9693,1.9536,1.9787,1.977,1.9665,1.938,1.9506,1.9491,1.9422,1.918,1.9433,1.9661,1.8947,1.9285,1.9867,1.9981,1.9665,1.9625,1.9859,1.9832,1.9768,1.9832,1.9727,1.968,1.9982,1.968,1.9247,1.9097,1.8941,1.906,1.9244,1.905,1.9351,1.9498,1.9112,1.9173,1.9689,1.9088,1.8912,1.9029,1.9165,1.9349,1.9085,1.9225,1.9242,1.9064,1.9312,1.9589,1.9397,1.9231,1.9116,1.9356,1.9439,1.929,1.9439,1.9349,1.9199,1.9566,1.9198,1.8897,1.8736,1.8672,1.86,1.8734,1.8887,1.9153,1.9157,1.8791,1.8747,1.9079,1.8885,1.873,1.8688,1.8604,1.8735,1.8892,1.9156,1.9186,1.8845,1.8789,1.913,1.9017,1.9003,1.9074,1.9169,1.9173,1.9213,1.9495,1.921,1.9027,1.9431,-
1.9861,1.9962,1.9922,1.9981,1.9996,1.9849,1.9875,1.9993,2.0089,2.0069,2.0032,1.996,1.9962,2.0005,2.008,2.0002,1.9931,2.0029,2.0143,2.008,2.008,1.9926,1.9909,1.9979,1.993,1.9978,2.0081,1.9987,2.0067,1.9945,1.9805,1.9946,1.9938,1.9985,2.0089,2.0056,1.9978,1.9876,1.9998,2.004,2.0012,1.9926,1.9972,1.9832,2.0005,2.0023,1.9884,1.994,1.9963,2.004,2.0065,1.9973,1.9748,1.9922,1.9833,1.9872,2.0016,1.9885,1.983,1.9902,1.9933,1.9904,1.9902,1.9798,1.9886,1.9724,1.996,2.0127,1.9908,1.9947,1.9882,1.9886,2.0197,1.9864,1.966,1.9765,1.9789,1.9763,1.9964,1.9631,1.9768,1.9715,1.9814,2.0066,1.9886,1.946,1.9637,1.9682,2.0081,2.0137,2.0028,2.0045,1.9931,2.0095,2.0143,2.0004,2.0103,2.0099,2.0033,2.0121,2.0099,1.9966,2.009,1.9874,1.9964,2.012,2.0051,2.008,2.0076,2.0071,1.9512,1.972,1.9436,1.9197,1.943,1.9554,1.9996,1.9526,1.9492,1.9415,1.9348,1.9657,1.9807,1.9557,1.9426,1.9588,1.9629,2.0055,1.9713,1.958,1.937,1.9412,1.925,1.9499,1.9175,1.9187,1.9097,1.9406,1.9708,1.9416,1.9286,1.9028,1.9211,1.902,1.9406,1.8981,1.9072,1.9086,1.9202,1.9751,1.9289,1.9127,1.9011,1.8745,1.9348,1.9437,1.8934,1.9307,1.9039,1.9249,2.0113,1.9476,1.914,1.8895,1.9185,1.8922,1.9232,1.8909,1.9012,1.8911,1.9163,1.9911,1.9056,1.8903,1.8964,1.8818,1.9238,1.9375,1.9106,1.9261,1.8962,1.9368,1.9995,1.9194,1.9079,1.9019,1.9019,1.9112,1.9045,1.8769,1.9123,1.8928,1.9256,1.9601,1.9312,1.8892,1.8735,1.9057,1.8919,1.8994,1.8853,1.8881,1.9028,1.9122,1.9909,1.9202,1.8591,1.8896,1.8883,1.8934,1.8984,1.885,1.8859,1.9031,1.9124,1.9923,1.9285,1.8597,1.8886,1.8871,1.8963,1.9145,1.8819,1.9076,1.8873,1.919,1.9942,1.947,1.8801,1.8846,1.9006,-
2.038,2.0192,2.0297,2.0206,2.0164,2.0191,2.0241,2.0165,2.0105,2.0257,1.9986,2.0296,2.0119,2.0178,1.9885,1.9975,2.0209,2.0274,1.9998,1.9701,2.033,1.9881,1.9921,2.0253,2.0283,2.029,2.0116,2.0283,2.0196,2.0134,2.0095,2.0079,2.0141,2.026,2.0146,2.0266,2.0244,2.0059,2.0142,2.0075,1.9992,2.0024,2.0229,2.012,2.0122,2.0162,2.0111,2.0104,2.0202,2.0067,2.007,2.01,2.0026,2.0141,2.0138,2.0389,2.0242,2.0267,2.0318,2.0232,2.0117,2.0236,2.0055,2.0064,2.0192,1.9965,2.0128,2.0116,2.015,2.0156,2.0031,1.9755,2.0019,1.9804,2.0143,2.0165,1.9665,1.9922,2.0267,2.035,2.029,2.0162,1.9989,2.0245,2.003,2.0175,2.017,1.977,2.0264,2.0239,2.0116,2.0128,2.0059,2.0143,2.0044,1.9936,1.9982,2.0125,2.002,1.9921,1.9991,2.0139,2.0045,1.9947,1.996,2.0097,1.9913,2.0013,2.0139,1.989,2.0268,2.0106,2.0075,2.0097,2.0077,1.9866,2.0071,1.9932,2.0038,2.0027,1.9682,2.0254,1.9898,2.009,1.9943,2.0024,1.9802,2.0046,1.9939,2.0149,2.0095,1.9815,2.0109,1.9946,2.0044,1.9976,2.0044,1.9903,2.0029,1.9882,1.995,2.0148,1.9877,2.0215,2.0076,2.0043,2.018,2.0093,2.0048,2.0206,2.019,2.0164,2.0076,2.0007,2.0087,1.9974,2.0049,2.0282,2.0146,2.0153,2.0169,2.0105,2.015,2.0209,2.002,2.0022,1.9839,1.9985,1.9919,1.9986,1.9944,2.0048,1.9982,2.0083,1.9882,1.9802,1.9985,1.9958,2.0024,1.9904,2.0047,2.0067,2.0001,1.995,1.9979,2.0127,2.0031,2.0016,1.9966,2.0067,1.9905,1.9933,2.0019,2.0012,1.9952,2.0068,2.0195,1.9892,2.008,1.9793,2.0081,2.0131,2.0032,2.0171,1.9988,2.0016,2.0107,2.0035,2.0049,2.0194,1.9968,2.006,2.0038,2.009,2.0215,2.0132,2.0004,2.0175,2.0081,1.9904,2.0119,2.0087,2.0166,2.0187,2.0181,2.0096,2.0131,2.004,2.0192,2.0258,1.9973,-
1.9819,1.9631,1.9999,2.007,1.9719,1.9885,1.9649,1.9568,1.9901,2.0411,2.0368,1.9785,1.9649,1.9981,2.0049,1.9667,1.9708,1.9631,1.952,1.9901,2.0404,2.0331,1.9851,1.969,1.9936,1.9974,1.9802,1.9815,1.969,1.9693,1.9805,2.0117,2.0025,1.9954,1.9977,2.0155,2.0105,2.0012,2.0044,1.9981,1.9932,1.9961,2.0147,2.0076,1.9903,1.9787,1.9745,1.982,2.0006,2.0038,1.9846,1.9786,1.9901,1.9951,1.9986,1.958,1.9368,1.9579,1.9786,1.9508,1.9541,1.95,1.9352,1.9588,1.9967,1.9717,1.9119,1.9068,1.9454,1.9463,1.9262,1.9378,1.9436,1.9351,1.9304,1.957,1.947,1.9561,1.958,1.9767,1.97,1.9565,1.9714,1.9668,1.9608,1.9428,1.9847,1.9659,1.9942,1.9904,1.9945,1.9932,2.0057,2.0085,2.0036,2.0035,2.0044,2.0226,2.0037,1.989,1.9947,2.0002,1.968,1.9886,2.0064,1.9912,2.0025,2.0086,2.0082,1.9828,1.9316,1.9247,1.956,1.947,1.944,1.9457,1.95,1.9348,1.9426,1.9663,1.9606,1.9187,1.9027,1.936,1.9398,1.9224,1.9188,1.947,1.9175,1.9287,1.9462,1.9338,1.9463,1.9276,1.9568,1.9487,1.9484,1.9482,1.9749,1.9616,1.9559,1.9715,1.9664,1.9523,1.9402,1.9707,1.9671,1.9665,1.9699,1.9995,1.9731,1.9666,1.9819,1.9914,1.9359,1.9415,1.9292,1.9405,1.9542,1.9566,1.9675,1.9656,1.9424,1.9594,1.9617,1.9519,1.942,1.96,1.9562,1.9536,1.9509,1.9798,1.9425,1.945,1.957,1.9568,1.9846,1.9898,1.9893,1.9811,1.9825,1.965,1.996,1.9826,1.9549,1.9719,1.97,1.9417,1.9156,1.9476,1.9548,1.9441,1.9325,1.9775,1.9643,1.9332,1.9576,1.9547,1.9469,1.9511,1.9594,1.969,1.9398,1.9236,1.9807,1.9442,1.9338,1.9379,1.9487,1.9578,1.9597,1.968,1.9848,1.9334,1.9389,1.9697,1.958,1.9475,1.9364,1.956,1.9064,1.899,1.8994,1.9003,1.8966,1.9213,1.939,1.8973,1.8961,1.9146,1.9134,-
2.0138,2.0257,2.0262,2.0268,2.0244,2.0252,2.0095,2.0218,2.0073,2.0171,2.0119,2.0099,2.013,2.0252,2.0205,2.0214,2.0179,2.0057,2.0259,2.0161,2.0233,2.0105,2.0312,2.0126,2.0284,2.0185,2.0268,2.0295,1.9968,2.0097,2.0218,2.0254,2.0189,2.024,2.0358,2.0204,2.0254,2.0237,2.0221,2.0123,2.0328,2.0349,2.0201,2.0198,2.0193,2.0131,2.0216,2.0178,2.0139,2.0391,2.0238,2.0332,2.0261,2.0089,2.0111,2.0317,2.0225,2.0286,2.0276,2.0185,2.0194,2.0144,2.0277,2.018,2.0362,2.002,2.0366,2.0269,2.0312,2.0263,2.0202,2.0306,2.03,2.0234,2.0172,2.0329,2.0151,2.0268,2.0172,2.0304,2.0273,2.0169,2.0332,2.0168,2.0241,2.0265,2.0298,2.0204,1.9894,2.0219,2.0363,2.0287,2.0139,2.0167,2.0003,2.0347,2.025,1.9959,2.0098,2.0101,2.0264,2.0218,2.0304,2.0045,2.0223,2.0202,2.0369,1.9992,2.016,2.0085,2.0056,2.0098,2.0512,2.0203,1.9883,2.0114,2.0079,2.0185,2.0155,2.0238,2.0304,2.0217,2.0035,2.0422,2.0226,2.0152,2.0262,2.0072,2.026,2.0192,2.0248,2.0351,2.0258,2.0034,2.0369,2.019,2.0072,2.0224,2.018,2.0312,2.0223,2.0184,2.0217,1.9946,1.9848,2.0201,1.9929,1.981,1.9957,1.9794,1.988,1.9856,2.0152,2.0278,2.0116,1.9904,2.023,2.0006,1.9745,2.0096,1.9944,2.0019,2.0026,2.0316,2.0136,2.0055,1.9895,2.0221,2.0097,1.9792,1.991,1.9714,1.9925,1.9995,2.0119,2.033,2.0352,1.9977,2.0338,2.0071,1.9841,2.0056,1.9993,2.0173,2.0146,2.0256,2.0029,2.0062,2.0167,2.0065,1.9882,1.9781,2.0051,1.9861,1.9899,2.0144,2.0096,2.0287,1.9883,1.9816,2.0268,2.0042,1.972,1.9898,1.9715,1.9765,1.9932,2.0398,2.0122,1.9953,1.9698,2.014,2.0181,1.9908,1.9742,1.9709,1.9941,2.0106,2.0357,2.0313,2.0097,2.0017,2.0328,2.0051,1.9772,2.0088,1.9746,2.0054,2.0107,2.0272,2.0308,-
